seeds,num_tasks,per_jitter,max_reaction_time
1753367886,3,0,2126.538930519332
1753367887,3,0,2126.538930519332
1753367888,3,0,2126.538930519332
1753367889,3,0,2126.538930519332
1753367890,3,0,2126.538930519332
1753367891,3,0,2126.538930519332
1753367892,3,0,2126.538930519332
1753367893,3,0,2126.538930519332
1753367894,3,0,2126.538930519332
1753367895,3,0,2126.538930519332
1753367896,3,0.02,2245.9546426069737
1753367897,3,0.02,2246.592168959738
1753367898,3,0.02,2245.85872453694
1753367899,3,0.02,2246.4291846221267
1753367900,3,0.02,2246.265724389119
1753367901,3,0.02,2246.2270836185817
1753367902,3,0.02,2244.946667415108
1753367903,3,0.02,2245.272626607237
1753367904,3,0.02,2246.4731626074854
1753367905,3,0.02,2246.537293196985
1753367906,3,0.05,2266.0345195856644
1753367907,3,0.05,2263.364381698282
1753367908,3,0.05,2245.7618992169664
1753367909,3,0.05,2265.493692637876
1753367910,3,0.05,2266.3383958174127
1753367911,3,0.05,2266.4009558659673
1753367912,3,0.05,2264.1414016112903
1753367913,3,0.05,2265.273679157359
1753367914,3,0.05,2266.7578432075334
1753367915,3,0.05,2267.061573633564
1753367916,3,0.1,2304.5203417497796
1753367917,3,0.1,2305.3488352990553
1753367918,3,0.1,2302.8588911263396
1753367919,3,0.1,2306.4907974206835
1753367920,3,0.1,2324.6422820770786
1753367921,3,0.1,2299.3295748408927
1753367922,3,0.1,2285.454452151469
1753367923,3,0.1,2299.441418104616
1753367924,3,0.1,2279.1824184880725
1753367925,3,0.1,2304.696211566119
1753367926,3,0.2,2346.113026189057
1753367927,3,0.2,2383.9919988652364
1753367928,3,0.2,2351.1090464545578
1753367929,3,0.2,2329.502439083237
1753367930,3,0.2,2384.435562236443
1753367931,3,0.2,2350.0228624972115
1753367932,3,0.2,2351.435146242704
1753367933,3,0.2,2395.160555016366
1753367934,3,0.2,2362.6627783543445
1753367935,3,0.2,2350.2154296538865
1753367936,3,0.3,2437.0660048574246
1753367937,3,0.3,2490.194519265213
1753367938,3,0.3,2405.7270615858015
1753367939,3,0.3,2451.1973606658003
1753367940,3,0.3,2441.405130073428
1753367941,3,0.3,2416.0178385483814
1753367942,3,0.3,2431.8600412037777
1753367943,3,0.3,2504.5824051971176
1753367944,3,0.3,2496.102445505574
1753367945,3,0.3,2405.012737223864
1753367946,3,0.4,2568.838136327897
1753367947,3,0.4,2567.5585576386584
1753367948,3,0.4,2602.9748631269977
1753367949,3,0.4,2532.580441997772
1753367950,3,0.4,2561.3186243873497
1753367951,3,0.4,2493.5939685179437
1753367952,3,0.4,2460.6288683803577
1753367953,3,0.4,2518.1806835700563
1753367954,3,0.4,2496.945480328738
1753367955,3,0.4,2593.409432606064
