seeds,num_tasks,final_e2e_max,letG2023,R,exceed,false_percentage,adjust,inserted,run_time_G,run_time_our,finalpercent
1755016010,5,1020.0,910,0.8921568627450981,safe,0.011,False,False,0.000258821000898,5.4598000133410096e-05,0.0114
1755016011,5,76.0,59,0.7763157894736842,safe,0.011,False,False,0.000371095000446,5.184299880056642e-05,0.0114
1755016012,5,421.0,413,0.980997624703088,safe,0.011,False,False,0.0068855150002491,4.806400102097541e-05,0.0114
1755016013,5,2608.0,2304,0.8834355828220859,safe,0.011,False,False,0.0747472479997668,7.258699952217285e-05,0.0114
1755016014,5,164.0,132,0.8048780487804879,safe,0.011,False,False,0.0002677899992704,4.34220000897767e-05,0.0114
1755016015,5,5000.0,4080,0.816,safe,0.011,,False,0.000898127000255,5.621200034511276e-05,0.0114
1755016016,5,326.0,263,0.8067484662576687,safe,0.011,False,False,0.0021810569996887,5.6443999710609205e-05,0.0114
1755016017,5,1020.0,712,0.6980392156862745,safe,0.011,False,False,0.0016319200003636,5.6912000218289904e-05,0.0114
1755016018,5,2424.0,2212,0.9125412541254124,safe,0.011,False,False,0.2803012189997389,7.695999920542818e-05,0.0114
1755016019,5,760.0,630,0.8289473684210527,safe,0.011,False,False,0.0003274859991506,5.2129998948657885e-05,0.0114
1755016020,5,2642.0,2321,0.8785011355034065,safe,0.011,False,False,0.0260073749996081,6.392400064214598e-05,0.0114
1755016021,5,2160.0,2090,0.9675925925925926,safe,0.011,False,False,0.0143643339997652,7.346799975493923e-05,0.0114
1755016022,5,712.0,556,0.7808988764044944,safe,0.011,False,False,0.0034465549997548,5.572299960476812e-05,0.0114
1755016023,5,0.0,165,,,0.011,False,False,0.0002255440012959,0.0002497659988875,0.0114
1755016024,5,902.0,701,0.7771618625277162,safe,0.011,False,False,0.0017451869989599,4.851599987887312e-05,0.0114
1755016025,5,272.0,236,0.8676470588235294,safe,0.011,False,False,0.0012699559993052,5.66160015296191e-05,0.0114
1755016026,5,0.0,702,,,0.011,False,False,0.0013147310000931,0.0008163399998011,0.0114
1755016027,5,662.0,531,0.8021148036253777,safe,0.011,False,False,0.0034108270010619,0.0002132749996235,0.0114
1755016028,5,250.0,225,0.9,safe,0.011,False,False,0.0026788800005306,5.077799869468436e-05,0.0114
1755016029,5,760.0,590,0.7763157894736842,safe,0.011,False,False,0.0001766029999998,2.796400076476857e-05,0.0114
1755016030,5,2190.0,2105,0.9611872146118722,safe,0.011,False,False,0.0070352040002035,5.307299943524413e-05,0.0114
1755016031,5,2090.0,2045,0.9784688995215312,safe,0.011,False,False,0.0132744420006929,6.112499977461994e-05,0.0114
1755016032,5,2506.0,2253,0.8990422984836393,safe,0.011,False,False,0.1228413999997428,8.804400022199843e-05,0.0114
1755016033,5,2520.0,2260,0.8968253968253969,safe,0.011,False,False,0.0124469559996214,6.78409996908158e-05,0.0114
1755016034,5,440.0,335,0.7613636363636364,safe,0.011,,False,0.0002615559988043,4.610799987858627e-05,0.0114
1755016035,5,2560.0,2290,0.89453125,safe,0.011,False,False,0.0021994140006427,4.304200047045015e-05,0.0114
1755016036,5,704.0,552,0.7840909090909091,safe,0.011,False,False,0.0078119040008459,4.756199996336363e-05,0.0114
1755016037,5,2306.0,2153,0.9336513443191674,safe,0.011,False,False,0.1263868949990865,7.220699990284629e-05,0.0114
1755016038,5,256.0,229,0.89453125,safe,0.011,False,False,0.0018068970002786,4.282400004740339e-05,0.0114
1755016039,5,2550.0,2285,0.8960784313725491,safe,0.011,False,False,0.0042069259998243,5.797699850518256e-05,0.0114
1755016040,5,2058.0,2030,0.9863945578231292,safe,0.011,False,False,0.0764042400005564,6.789299914089497e-05,0.0114
1755016041,5,4002.0,3009,0.7518740629685158,safe,0.011,,False,0.1432103650004137,6.934900011401623e-05,0.0114
1755016042,5,100.0,86,0.86,safe,0.011,,False,0.0002227869990747,4.0349001210415736e-05,0.0114
1755016043,5,94.0,68,0.723404255319149,safe,0.011,False,False,0.0001616080007806,0.0001277939991268,0.0114
1755016044,5,2460.0,2230,0.9065040650406504,safe,0.011,False,False,0.0138521999997465,6.461600059992634e-05,0.0114
1755016045,5,144.0,122,0.8472222222222222,safe,0.011,False,False,0.000423370000135,4.765700032294262e-05,0.0114
1755016046,5,210.0,205,0.9761904761904762,safe,0.011,False,False,0.0055434820005757,6.126699918240774e-05,0.0114
1755016047,5,2250.0,2125,0.9444444444444444,safe,0.011,False,False,0.0073906819998228,6.431700057873968e-05,0.0114
1755016048,5,0.0,355,,,0.011,False,False,0.0002948150013253,0.0005279590004647,0.0114
1755016049,5,2052.0,2026,0.9873294346978556,safe,0.011,False,False,0.1036007519996928,0.000133112000185,0.0114
1755016050,5,28.0,22,0.7857142857142857,safe,0.011,False,False,9.45880001381738e-05,5.318000148690771e-05,0.0114
1755016051,5,2342.0,2181,0.9312553373185312,safe,0.011,False,False,0.0286286030004703,7.61579995014472e-05,0.0114
1755016052,5,562.0,491,0.8736654804270463,safe,0.011,False,False,0.0033521539990033,5.669999882229604e-05,0.0114
1755016053,5,350.0,275,0.7857142857142857,safe,0.011,False,False,0.0003271309997217,4.8333000449929386e-05,0.0114
1755016054,5,2028.0,2015,0.9935897435897436,safe,0.011,False,False,0.2651010879999376,8.380500003113411e-05,0.0114
1755016055,5,2210.0,2130,0.9638009049773756,safe,0.011,False,False,0.0032886520002648,6.041999949957244e-05,0.0114
1755016056,5,2320.0,2160,0.9310344827586208,safe,0.011,False,False,0.0134162069989542,6.208200102264527e-05,0.0114
1755016057,5,422.0,361,0.8554502369668247,safe,0.011,False,False,0.0017175869998027,0.0001479999991715,0.0114
1755016058,5,662.0,531,0.8021148036253777,safe,0.011,False,False,0.0032465490003232,5.324499943526462e-05,0.0114
1755016059,5,2904.0,2452,0.8443526170798898,safe,0.011,False,False,0.0085782990008738,5.826400047226343e-05,0.0114
1755016060,5,324.0,262,0.808641975308642,safe,0.011,False,False,0.0015481990012631,3.362400093465112e-05,0.0114
1755016061,5,450.0,435,0.9666666666666668,safe,0.011,False,False,0.000971371999185,5.168999996385537e-05,0.0114
1755016062,5,526.0,464,0.8821292775665399,safe,0.011,False,False,0.0033312309988104,5.599799987976439e-05,0.0114
1755016063,5,2606.0,2403,0.922102839600921,safe,0.011,False,False,0.1314045540002553,7.452600038959645e-05,0.0114
1755016064,5,2540.0,2270,0.8937007874015748,safe,0.011,False,False,0.0039463269986299,5.693599996448029e-05,0.0114
1755016065,5,196.0,183,0.9336734693877552,safe,0.011,False,False,0.0020903999993606,5.739699918194674e-05,0.0114
1755016066,5,362.0,341,0.9419889502762432,safe,0.011,,False,0.0015615100001014,0.0002036489986494,0.0114
1755016067,5,2308.0,2154,0.9332755632582322,safe,0.011,False,False,0.0673501459987164,5.553499977395404e-05,0.0114
1755016068,5,2622.0,2411,0.91952707856598,safe,0.011,False,False,0.0268541389996244,5.615400004899129e-05,0.0114
1755016069,5,2620.0,2310,0.8816793893129771,safe,0.011,False,False,0.0015597919991705,7.372399886662606e-05,0.0114
1755016070,5,2244.0,2122,0.9456327985739752,safe,0.011,False,False,0.0256351030002406,8.395399891014677e-05,0.0114
1755016071,5,3640.0,3320,0.912087912087912,safe,0.011,False,False,0.0008373639993806,6.191100146679673e-05,0.0114
