seeds,num_tasks,final_e2e_max,mrt,R,exceed,false_percentage,adjust,inserted,run_time_our,run_time_G
1755023037,3,457.7370014736756,254.11333399293227,0.5551513929938353,safe,0.0,True,False,0.0011381320000509731,0.00036248100150260143
1755023038,3,246.78350762557204,230.1311486832726,0.9325223994807428,safe,0.0,False,False,3.4303997381357476e-05,0.0006682310013275128
1755023039,3,204.79213193209827,164.339014456092,0.8024674234583432,safe,0.0,False,False,2.8462000045692548e-05,0.0001898299997264985
1755023040,3,126.6127406470842,117.53508660741798,0.9283037868600528,safe,0.0,False,False,6.969900277908891e-05,0.00016886699813767336
1755023041,3,41.18252105497269,32.7523578443156,0.7952975438438058,safe,0.0,False,False,4.4022999645676464e-05,8.664800043334253e-05
1755023042,3,1245.814396427916,1149.7448475583533,0.9228861464877754,safe,0.0,False,False,3.178300175932236e-05,0.00014553900109604
1755023043,3,1313.0474164459079,1303.0474164459074,0.9923841288023947,safe,0.0,False,False,3.5904002288589254e-05,0.003494328000670066
1755023044,3,182.80799099411416,180.80799099411365,0.9890595592177099,safe,0.0,,False,4.264699964551255e-05,0.00033756400080164894
1755023045,3,1135.0859041258727,1117.5140584190608,0.9845193692891958,safe,0.0,False,False,3.852000008919276e-05,0.0031064649992913473
1755023046,3,1347.7769061103631,1296.7769061103604,0.9621599095749556,safe,0.0,False,False,2.9146998713258654e-05,0.007530007002060302
1755023047,3,36.05349115818346,26.033371094685663,0.7220762888249889,safe,0.0,False,False,0.00020108999888179824,3.938099689548835e-05
1755023048,3,78.52396453035954,76.3787177153485,0.972680355254075,safe,0.0,False,False,5.175700061954558e-05,0.0005037609989813063
1755023049,3,494.5543987320823,292.6022838148324,0.5916483294153156,safe,0.0,True,False,0.0010108089991263114,0.0022048419996281154
1755023050,3,2440.047117197221,2440.0,0.9999806900461516,safe,0.0,True,False,0.004599781001161318,3.9793001633370295e-05
1755023051,3,24.98757653299133,21.039723389832886,0.8420073616204414,safe,0.0,False,False,0.0001247830005013384,0.0001309810031671077
1755023052,3,117.62642093280192,108.027753924992,0.9183970154690545,safe,0.0,False,False,4.2376999772386625e-05,0.00013232700075604953
1755023053,3,70.28878360742544,66.7787641881113,0.9500628800333466,safe,0.0,False,False,0.0001335580018348992,0.0004404940009408165
1755023054,3,1584.0069077146586,1543.6238488615072,0.9745057558420535,safe,0.0,False,False,8.144499952322803e-05,0.0017825409995566588
1755023055,3,270.0611495825415,256.47886938049777,0.949706648945844,safe,0.0,False,False,5.339600102161057e-05,0.0011013990006176755
1755023056,3,24.700479036694638,21.70047903669462,0.8785448656464004,safe,0.0,False,False,4.569899829220958e-05,0.00028735500018228777
1755023057,3,309.1466923876968,287.48894184919334,0.9299434505631301,safe,0.0,False,False,5.629699808196165e-05,0.004930533999868203
1755023058,3,1300.3600423497076,1098.3600423497066,0.8446584073477115,safe,0.0,False,False,8.051099939621054e-05,0.0026937349975924008
1755023059,3,284.1855411367541,234.26495069584126,0.8243380354917833,safe,0.0,False,False,5.0394999561831355e-05,0.000223170001845574
1755023060,3,153.55458617778856,137.98260592009473,0.8985899370034817,safe,0.0,False,False,6.683500032522716e-05,0.00023877000057836995
1755023061,3,345.9784470962202,292.29918378225227,0.8448479558062206,safe,0.0,False,False,4.892799915978685e-05,0.00014006899800733663
1755023062,3,20.522238247242036,17.463604221300248,0.8509600176602162,safe,0.0,False,False,4.857599924434908e-05,0.00011691599866026081
1755023063,3,91.17082563164878,79.58711158860666,0.8729449474347967,safe,0.0,False,False,7.9728000855539e-05,0.0010774629990919493
1755023064,3,302.96513805704075,228.48838590116452,0.7541738543467199,safe,0.0,False,False,4.311299926484935e-05,0.00012029599747620523
1755023065,3,1482.2888753830466,1467.8204152150522,0.9902391089832233,safe,0.0,True,False,0.00530672499735374,0.0005161830013094004
1755023066,3,2335.90396647517,2326.402119676613,0.9959322613707896,safe,0.0,,False,6.419499914045446e-05,0.0012693239987129346
1755023067,3,1442.1521368082113,1188.4220011917414,0.8240614640158365,safe,0.0,False,False,7.422400085488334e-05,0.0001977640022232663
1755023068,3,1429.412847781496,1387.8118686412545,0.9708964563982981,safe,0.0,False,False,0.007170536999183241,0.014673983998363838
1755023069,3,562.0000000000014,527.6968229039625,0.9389623183344505,safe,0.0,,False,7.018600081210025e-05,5.441200119093992e-05
1755023070,3,73.62331500565318,69.63974413368061,0.9458925359219875,safe,0.0,False,False,0.0001711490003799554,0.0007645619989489205
1755023071,3,97.31346895193991,81.77395517235202,0.8403148716519152,safe,0.0,False,False,8.372500087716617e-05,0.00031114500234252773
1755023072,3,1241.5186849495867,1222.5361442447881,0.9847102255206337,safe,0.0,False,False,0.0001103349968616385,0.010831371000676882
1755023073,3,413.9042690044736,327.3548084825712,0.7908949798220928,safe,0.0,False,False,6.696699711028486e-05,0.0001479399979871232
1755023074,3,21.86433552215577,17.916038108044283,0.8194183669514876,safe,0.0,False,False,5.669799793395214e-05,6.263499744818546e-05
1755023075,3,389.03837598441606,282.20654347792197,0.7253951304002628,safe,0.0,False,False,6.124499850557186e-05,0.00015252600132953376
1755023076,3,113.6180865466408,108.56489161451239,0.9555247312666717,safe,0.0,False,False,6.377100362442434e-05,0.0027098329992440995
1755023077,3,41.77065299032894,37.19598806431948,0.8904813643428409,safe,0.0,False,False,7.102000017766841e-05,0.0001514370014774613
1755023078,3,309.39413202854695,296.9283488687383,0.9597090511120021,safe,0.0,False,False,5.7511999330017716e-05,0.0012062540008628275
