seeds,num_tasks,final_e2e_max,let,R,exceed,false_percentage,adjust,inserted,run_time_G,run_time_our
1755020037,3,2404,2202,0.9159733777038269,safe,0.0,False,False,0.002423601999907987,5.2444000175455585e-05
1755020038,3,70,55,0.7857142857142857,safe,0.0,False,False,6.189799751155078e-05,2.35030020121485e-05
1755020039,3,142,131,0.9225352112676056,safe,0.0,False,False,0.00047150099999271333,2.459900133544579e-05
1755020040,3,400,305,0.7625,safe,0.0,,False,0.00014172200098983012,2.5133998860837892e-05
1755020041,3,150,135,0.9,safe,0.0,False,False,8.784199962974526e-05,1.9097999029327184e-05
1755020042,3,302,251,0.8311258278145696,safe,0.0,False,False,0.0005564729981415439,2.3893000616226345e-05
1755020043,3,104,102,0.9807692307692307,safe,0.0,False,False,0.0005591070002992637,2.6976998924510553e-05
1755020044,3,2044,2022,0.9892367906066536,safe,0.0,False,False,0.005762360000517219,2.67489995167125e-05
1755020045,3,52,46,0.8846153846153846,safe,0.0,False,False,0.0001381679976475425,2.3373002477455884e-05
1755020046,3,244,222,0.9098360655737705,safe,0.0,False,False,0.00039544500032206997,3.0408002203330398e-05
1755020047,3,2210,2105,0.9524886877828054,safe,0.0,False,False,0.001138291998358909,2.577499981271103e-05
1755020048,3,2042,2021,0.9897159647404505,safe,0.0,False,False,0.01499718799823313,4.0465998608851805e-05
1755020049,3,4000,3050,0.7625,safe,0.0,,False,0.00014612900122301653,2.4521999876014888e-05
1755020050,3,2210,2105,0.9524886877828054,safe,0.0,False,False,0.002218845998868346,4.3412997911218554e-05
1755020051,3,212,206,0.9716981132075472,safe,0.0,False,False,0.0008268349993159063,2.5553999876137823e-05
1755020052,3,440,420,0.9545454545454546,safe,0.0,False,False,0.00021268800264806487,2.2291998902801424e-05
1755020053,3,62,51,0.8225806451612904,safe,0.0,False,False,0.00014602000010199845,2.5298999389633536e-05
1755020054,3,34,28,0.8235294117647058,safe,0.0,False,False,4.529899888439104e-05,1.4956000086385757e-05
1755020055,3,2140,2080,0.9719626168224299,safe,0.0,False,False,0.0005484769972099457,2.5399000151082873e-05
1755020056,3,610,505,0.8278688524590164,safe,0.0,False,False,0.0002717710012802854,2.3683998733758926e-05
1755020057,3,40,32,0.8,safe,0.0,,False,6.194399975356646e-05,2.3496999347116798e-05
1755020058,3,502,451,0.898406374501992,safe,0.0,False,False,0.0012588069985213224,3.447100243647583e-05
1755020059,3,430,415,0.9651162790697675,safe,0.0,False,False,0.00022276399977272376,1.455999881727621e-05
1755020060,3,2800,2400,0.8571428571428571,safe,0.0,False,False,7.588199878227897e-05,2.2455002181231976e-05
1755020061,3,224,212,0.9464285714285714,safe,0.0,False,False,0.0003317890004836954,2.2331001673592255e-05
1755020062,3,2120,2060,0.9716981132075472,safe,0.0,False,False,0.0009487290008109994,3.319100142107345e-05
1755020063,3,2300,2200,0.9565217391304348,safe,0.0,False,False,0.00012203100050101057,2.636299905134365e-05
1755020064,3,152,151,0.993421052631579,safe,0.0,,False,0.00030567299836548045,2.4709002900635824e-05
1755020065,3,412,406,0.9854368932038835,safe,0.0,False,False,0.0022848849985166453,2.430300082778558e-05
1755020066,3,2110,2055,0.9739336492890995,safe,0.0,False,False,0.0019327480003994424,2.9191000066930428e-05
1755020067,3,34,28,0.8235294117647058,safe,0.0,False,False,4.1843002691166475e-05,1.29489999380894e-05
1755020068,3,206,203,0.9854368932038835,safe,0.0,False,False,0.0010667850001482293,3.16359983116854e-05
1755020069,3,208,204,0.9807692307692307,safe,0.0,False,False,0.00034496399894123897,1.713400342850946e-05
1755020070,3,2110,2055,0.9739336492890995,safe,0.0,False,False,0.0017271069991693366,3.4889999369625e-05
1755020071,3,40,30,0.75,safe,0.0,False,False,3.214000025764108e-05,1.5110003005247563e-05
1755020072,3,212,206,0.9716981132075472,safe,0.0,False,False,0.0004411939989950042,2.4121000024024397e-05
1755020073,3,2120,2060,0.9716981132075472,safe,0.0,False,False,0.0010633960009727161,3.52040005964227e-05
1755020074,3,130,115,0.8846153846153846,safe,0.0,False,False,9.038799908012152e-05,2.4068001948762685e-05
1755020075,3,16,14,0.875,safe,0.0,False,False,0.00010794899935717694,2.3538999812444672e-05
1755020076,3,260,230,0.8846153846153846,safe,0.0,False,False,0.00012916600098833442,2.3445001716027036e-05
1755020077,3,200,160,0.8,safe,0.0,,False,9.547199806547724e-05,2.5838002329692245e-05
1755020078,3,2104,2052,0.9752851711026616,safe,0.0,False,False,0.004757809001603164,3.167599788866937e-05
1755020079,3,2300,2150,0.9347826086956522,safe,0.0,False,False,0.0001179450009658467,2.1670999558409676e-05
1755020080,3,2044,2022,0.9892367906066536,safe,0.0,False,False,0.005835624000610551,3.984800059697591e-05
1755020081,3,242,221,0.9132231404958677,safe,0.0,False,False,0.0005785230023320764,2.778999987640418e-05
1755020082,3,2044,2022,0.9892367906066536,safe,0.0,False,False,0.004132108999328921,3.789100082940422e-05
1755020083,3,244,222,0.9098360655737705,safe,0.0,False,False,0.0003037330025108531,2.4211996787926182e-05
1755020084,3,620,510,0.8225806451612904,safe,0.0,False,False,0.00010393599950475618,2.052999843726866e-05
1755020085,3,320,260,0.8125,safe,0.0,False,False,0.0006633029988734052,2.5850000383798033e-05
1755020086,3,80,62,0.775,safe,0.0,,False,5.486400186782703e-05,1.5642999642295763e-05
1755020087,3,214,208,0.9719626168224299,safe,0.0,False,False,0.00023792099818820134,2.2786000045016408e-05
1755020088,3,2030,2015,0.9926108374384236,safe,0.0,False,False,0.002737755003181519,3.159600237268023e-05
1755020089,3,700,650,0.9285714285714286,safe,0.0,,False,0.00017342100181849673,4.6911001845728606e-05
1755020090,3,260,230,0.8846153846153846,safe,0.0,False,False,6.27329973212909e-05,2.0740997570101172e-05
1755020091,3,2402,2201,0.9163197335553706,safe,0.0,False,False,0.003188337999745272,1.8358001398155466e-05
1755020092,3,2060,2030,0.9854368932038835,safe,0.0,False,False,0.001528241999039892,2.6613000954966992e-05
1755020093,3,520,460,0.8846153846153846,safe,0.0,False,False,0.0001424550027877558,2.5658999220468104e-05
1755020094,3,800,800,1.0,safe,0.0,,False,3.260899757151492e-05,1.5973000699887052e-05
1755020095,3,180,150,0.8333333333333334,safe,0.0,False,False,6.388200199580751e-05,1.5050998626975343e-05
1755020096,3,224,212,0.9464285714285714,safe,0.0,False,False,0.00019902699932572432,2.227000004495494e-05
1755020097,3,2410,2205,0.9149377593360996,safe,0.0,False,False,0.0006735349998052698,1.7572998331161216e-05
1755020098,3,2044,2022,0.9892367906066536,safe,0.0,False,False,0.006385800999851199,2.4128999939421192e-05
1755020099,3,700,550,0.7857142857142857,safe,0.0,False,False,4.7860998165560886e-05,2.1689000277547166e-05
1755020100,3,114,108,0.9473684210526315,safe,0.0,False,False,0.0001939310022862628,2.2912998247193173e-05
1755020101,3,26,23,0.8846153846153846,safe,0.0,False,False,9.835300079430453e-05,2.8210000891704112e-05
1755020102,3,2300,2200,0.9565217391304348,safe,0.0,False,False,0.00012750799942295998,2.840999877662398e-05
1755020103,3,406,403,0.9926108374384236,safe,0.0,False,False,0.003971227000874933,4.7217999963322654e-05
