seeds,num_tasks,final_e2e_max,letG2023,R,exceed,false_percentage,adjust,inserted,run_time_G,run_time_our
1755024010,3,800,601,0.75125,safe,0.0,,False,0.0012117719998059329,4.4810998588218354e-05
1755024011,3,550,500,0.9090909090909091,safe,0.0,False,False,9.487100032856688e-05,2.9834000088158064e-05
1755024012,3,460,430,0.9347826086956522,safe,0.0,False,False,0.0001818309992813738,2.6785999580170028e-05
1755024013,3,2060,2030,0.9854368932038835,safe,0.0,False,False,0.0015805600014573429,4.177899973001331e-05
1755024014,3,2014,2008,0.997020854021847,safe,0.0,False,False,0.02176586700079497,3.970500074501615e-05
1755024015,3,540,480,0.8888888888888888,safe,0.0,False,False,0.00021283199930621777,7.106999873940367e-05
1755024016,3,4000,3002,0.7505,safe,0.0,,False,0.002729084999373299,3.3689999327179976e-05
1755024017,3,2402,2201,0.9163197335553706,safe,0.0,False,False,0.013507285999367014,4.8472000344190747e-05
1755024018,3,140,120,0.8571428571428571,safe,0.0,False,False,9.450400102650747e-05,2.9452001399477012e-05
1755024019,3,442,421,0.9524886877828054,safe,0.0,False,False,0.0018825160004780628,3.391900099813938e-05
1755024020,3,230,215,0.9347826086956522,safe,0.0,False,False,0.00027125099950353615,3.296299837529659e-05
1755024021,3,2030,2015,0.9926108374384236,safe,0.0,False,False,0.005981460000839434,3.701200148498174e-05
1755024022,3,40,35,0.875,safe,0.0,,False,7.45209999877261e-05,3.056900095543824e-05
1755024023,3,26,23,0.8846153846153846,safe,0.0,False,False,0.00015087599967955612,3.199800084985327e-05
1755024024,3,208,204,0.9807692307692307,safe,0.0,False,False,0.0007947800004330929,2.949699955934193e-05
1755024025,3,2500,2250,0.9,safe,0.0,False,False,0.0002363399999012472,3.519399979268201e-05
1755024026,3,2140,2080,0.9719626168224299,safe,0.0,False,False,0.0007107519995770417,3.8132000554469414e-05
1755024027,3,52,46,0.8846153846153846,safe,0.0,False,False,0.00023121300000639167,3.2736001230659895e-05
1755024028,3,510,455,0.8921568627450981,safe,0.0,False,False,0.00038184900040505454,3.106099939031992e-05
1755024029,3,114,108,0.9473684210526315,safe,0.0,False,False,0.00027302200032863766,3.1052999474923126e-05
1755024030,3,442,421,0.9524886877828054,safe,0.0,False,False,0.0017633439983910648,3.465200097707566e-05
1755024031,3,16,14,0.875,safe,0.0,False,False,0.00015175000044109765,3.0055998649913818e-05
1755024032,3,2050,2025,0.9878048780487805,safe,0.0,False,False,0.0037588329996651737,4.105200059711933e-05
1755024033,3,2015,2010,0.9975186104218362,safe,0.0,False,False,0.010972010000841692,4.282700137991924e-05
1755024034,3,250,225,0.9,safe,0.0,False,False,0.00019869800053129438,2.890599898819346e-05
1755024035,3,2440,2220,0.9098360655737705,safe,0.0,False,False,0.0004937020003126236,3.633099913713522e-05
1755024036,3,2044,2022,0.9892367906066536,safe,0.0,False,False,0.009538574999169214,3.97769999835873e-05
1755024037,3,604,502,0.8311258278145696,safe,0.0,False,False,0.0008502820001012878,3.4081000194419175e-05
1755024038,3,2440,2220,0.9098360655737705,safe,0.0,False,False,0.0005351769996195799,3.5043000025325455e-05
