seeds,num_tasks,per_jitter,final_e2e_max,max_reaction_time,R,exceed,false_percentage,finalpercent
1755016037,5,0.2,0.0,74.72532203987885,,,0.1,0.25
1755016038,5,0.2,2866.6,2239.2666924938776,0.7811577103515934,safe,0.1,0.25
1755016039,5,0.2,2578.4,2450.843750191161,0.9505289133536928,safe,0.1,0.25
1755016040,5,0.2,2261.6,2140.951961556494,0.946653679499688,safe,0.1,0.25
1755016041,5,0.2,2642.2,2496.208352905865,0.9447461785276912,safe,0.1,0.25
1755016042,5,0.2,3830.2,3736.904491898449,0.9756421314548716,safe,0.1,0.25
1755016043,5,0.2,292.0,291.61860023664485,0.998693836426866,safe,0.1,0.25
1755016044,5,0.2,2270.4,2171.382823790108,0.956387783558011,safe,0.1,0.25
1755016045,5,0.2,816.3999999999999,797.7050539273769,0.9771007519933574,safe,0.1,0.25
1755016046,5,0.2,448.8,415.7137555498412,0.9262784214568652,safe,0.1,0.25
1755016047,5,0.2,673.2,597.7064419086901,0.8878586481115419,safe,0.1,0.25
1755016048,5,0.2,2255.0,2024.0673501409024,0.8975908426345466,safe,0.1,0.25
1755016049,5,0.2,512.6,474.6190277683274,0.9259052434029016,safe,0.1,0.25
1755016050,5,0.2,477.4,466.2444346759135,0.976632665848164,safe,0.1,0.25
1755016051,5,0.2,0.0,38.37669327394951,,,0.1,0.25
1755016052,5,0.2,2226.4,2214.928477775248,0.9948475016956736,safe,0.1,0.25
1755016053,5,0.2,3014.0,2756.443670232082,0.914546672273418,safe,0.1,0.25
1755016054,5,0.2,2875.4,2643.14504831178,0.9192269069735618,safe,0.1,0.25
1755016055,5,0.2,816.2,712.7091660841943,0.8732040750847762,safe,0.1,0.25
1755016056,5,0.2,3920.2,3840.7452969538017,0.9797319771832564,safe,0.1,0.25
1755016057,5,0.2,0.0,298.0838941801321,,,0.4,0.25
1755016058,5,0.2,855.0,829.3664516708741,0.9700192417203206,safe,0.4,0.25
1755016059,5,0.2,444.4,416.6055004991358,0.9374561217352292,safe,0.4,0.25
1755016060,5,0.2,468.6,443.3877204213869,0.9461965864732969,safe,0.4,0.25
1755016061,5,0.2,0.0,877.7788028581256,,,0.4,0.25
1755016062,5,0.2,0.0,4413.882518483995,,,0.4,0.25
1755016063,5,0.2,578.6,545.3393414112925,0.9425152806970144,safe,0.4,0.25
1755016064,5,0.2,627.0,567.5223633792848,0.9051393355331496,safe,0.4,0.25
1755016065,5,0.2,0.0,2487.467540462172,,,0.4,0.25
1755016066,5,0.2,464.2000000000001,395.824406767706,0.8527022980777811,safe,0.4,0.25
1755016067,5,0.2,2444.2,2321.419077233065,0.9497664173279868,safe,0.3,0.25
1755016068,5,0.2,640.4,606.6456707400043,0.9472918031542854,safe,0.3,0.25
1755016069,5,0.2,2387.0,2289.242246039014,0.9590457670879824,safe,0.3,0.25
1755016070,5,0.2,3344.0,2953.4489116895984,0.8832084066057412,safe,0.3,0.25
1755016071,5,0.2,0.0,1108.0401799038736,,,0.3,0.25
1755016072,5,0.2,483.2000000000001,466.8855125799464,0.9662365740479022,safe,0.3,0.25
1755016073,5,0.2,2677.4,2445.387888306952,0.9133442475188436,safe,0.3,0.25
1755016074,5,0.2,0.0,774.1575377633271,,,0.3,0.25
1755016075,5,0.2,398.2,362.0804908241751,0.9092930457663864,safe,0.3,0.25
1755016076,5,0.2,0.0,961.9679256492122,,,0.3,0.25
1755016077,5,0.2,3080.0,2798.437325792104,0.9085835473350984,safe,0.3,0.25
1755016078,5,0.2,0.0,796.2020236319513,,,0.3,0.25
1755016079,5,0.2,2710.4,2494.767697915063,0.920442627625097,safe,0.3,0.25
1755016080,5,0.2,0.0,174.00555735482703,,,0.3,0.25
1755016081,5,0.2,2294.6000000000004,2140.3539004728063,0.932778654437726,safe,0.3,0.25
1755016082,5,0.2,508.2,479.3533482972473,0.9432375999552288,safe,0.3,0.25
1755016083,5,0.2,0.0,75.65239493286003,,,0.3,0.25
1755016084,5,0.2,2688.4,2415.716601352558,0.8985703769351875,safe,0.3,0.25
1755016085,5,0.2,2272.6,2209.6889167860527,0.9723175731699608,safe,0.3,0.25
1755016086,5,0.2,2699.4,2605.224823459168,0.9651125522187036,safe,0.3,0.25
1755016087,5,0.2,572.4,529.2039474251305,0.9245351981571114,safe,0.3,0.25
1755016088,5,0.2,3304.4,3036.123523068032,0.9188123481019346,safe,0.3,0.25
1755016089,5,0.2,0.0,82.89122087418582,,,0.3,0.25
1755016090,5,0.2,2710.4,2494.057961823806,0.9201807710388896,safe,0.3,0.25
1755016091,5,0.2,0.0,244.153651790642,,,0.3,0.25
1755016092,5,0.2,403.8,387.2813474895193,0.9590919947734504,safe,0.3,0.25
1755016093,5,0.2,2259.4,2193.098263820464,0.9706551579270888,safe,0.3,0.25
1755016094,5,0.2,209.0,208.2759162641596,0.99653548451751,safe,0.3,0.25
1755016095,5,0.2,380.6,343.5111837974655,0.9025517178073186,safe,0.3,0.25
1755016096,5,0.2,0.0,4289.250423827034,,,0.3,0.25
1755016097,5,0.2,3082.2,2893.224287509417,0.9386880434460506,safe,0.3,0.25
1755016098,5,0.2,0.0,77.50639979586003,,,0.3,0.25
1755016099,5,0.2,2763.2,2651.072212588275,0.9594210381399374,safe,0.3,0.25
1755016100,5,0.2,0.0,4348.081840017461,,,0.3,0.25
1755016101,5,0.2,3146.0,2889.5011239744586,0.9184682530115889,safe,0.3,0.25
1755016102,5,0.2,585.2,531.7971176326575,0.9087442201514996,safe,0.3,0.25
1755016103,5,0.2,2651.0,2519.639041832561,0.9504485257761452,safe,0.3,0.25
1755016104,5,0.2,3750.0,3660.380855373161,0.976101561432843,safe,0.3,0.25
1755016105,5,0.2,488.4,471.55288282928814,0.9655054930984606,safe,0.3,0.25
1755016106,5,0.2,0.0,598.1356937770979,,,0.3,0.25
1755016107,5,0.2,3128.4,2871.891426113434,0.9180064653220288,safe,0.2,0.25
1755016108,5,0.2,479.6,456.8820945280872,0.952631556563985,safe,0.2,0.25
1755016109,5,0.2,446.6,413.5102870666595,0.9259074945514094,safe,0.2,0.25
1755016110,5,0.2,0.0,844.0685563369916,,,0.2,0.25
1755016111,5,0.2,0.0,528.415923555418,,,0.2,0.25
