seeds,num_tasks,final_e2e_max,ic,R,exceed,false_percentage,adjusted,inserted,run_time_our,run_time_G,finalpercent
1755025035,10,1412.4229855968288,1308.9965640273258,0.9267737620923808,safe,0.0,False,False,0.000188726990018,1.4148177310125902,0.0
1755024038,10,1526.199534094026,1400.5848843851152,0.9176944777515756,safe,0.0,False,False,0.00012111896649,0.6397829889901914,0.0
1755025378,10,2310.041124677262,1214.7021104352257,0.5258357080569,safe,0.0,,False,0.0050540470401756,1.070940117991995,0.0
1755025377,10,1365.7126790937868,1311.203551532017,0.960087411945286,safe,0.0,False,False,0.0001803489867597,0.5359038549941033,0.0
1755025376,10,339.33704843437613,288.7067691715773,0.8507964883398516,safe,0.0,,False,0.0001116730272769,0.006941650994122,0.0
1755025375,10,205.0055136181197,147.36997034230166,0.7188585699056834,safe,0.0,False,False,0.0002122930018231,0.0107687569689005,0.0
1755025374,10,1813.3113262011025,1662.9618236932774,0.9170856651390316,safe,0.0,False,False,6.069202208891511e-05,0.3115408480516635,0.0
1755025373,10,374.75769525308056,260.4975016614991,0.6951091464194764,safe,0.0,False,False,0.0005048020393587,0.024816807010211,0.0
1755025372,10,1928.5259248273435,1672.7592786390524,0.8673771283571471,safe,0.0,,False,9.34480340220034e-05,0.0492335819872096,0.0
1755025371,10,2359.3316476277087,2272.962916109944,0.9633927126758086,safe,0.0,,False,6.320903776213527e-05,0.678491985949222,0.0
1755025370,10,1687.2817248029246,1593.999395702539,0.9447144316629869,safe,0.0,False,False,0.0002084629959426,1.3502319990075191,0.0
1755025369,10,1377.2913286403814,1175.9532145559365,0.8538158849201499,safe,0.0,False,False,0.0001794099807739,0.6965054019819945,0.0
1755025368,10,1506.877202170941,1410.837372511703,0.9362656562055126,safe,0.0,False,False,0.0004338779835961,1.5302375190076418,0.0
1755025367,10,354.9334464163369,342.8522338718635,0.9659620341039876,safe,0.0,,False,0.0002445430145598,0.0283708299975842,0.0
1755025366,10,2852.4285507669683,2579.762699901413,0.9044092267298892,safe,0.0,,False,0.0007772379904054,0.1689337589778006,0.0
1755025365,10,275.0053774830661,207.58315215395345,0.7548330656433644,safe,0.0,False,False,0.0002374540199525,0.0114032609853893,0.0
1755025364,10,459.90498815668514,422.88502690201614,0.9195051973603368,safe,0.0,,False,9.775697253644466e-05,0.0135946919908747,0.0
1755025363,10,1533.6047205438952,1402.361871642926,0.9144219842682646,safe,0.0,False,False,0.0001865419908426,0.1633160189958289,0.0
1755025362,10,2274.4393589579267,2109.542152454229,0.9274998448060412,safe,0.0,,False,0.000171976047568,0.6324225849821232,0.0
1755025361,10,582.7823453299936,489.85038718482906,0.8405374512631419,safe,0.0,,False,0.0001680300338193,0.0421015599858947,0.0
1755025360,10,1906.6964089394048,1489.634557336709,0.7812646787148011,safe,0.0,False,False,0.0008672939729876,0.8857490440132096,0.0
1755025359,10,1614.5920976529237,1280.748646045933,0.7932335652501411,safe,0.0,False,False,0.0004593500052578,0.6262440870050341,0.0
1755025358,10,216.09143350722192,155.52675173906812,0.7197265954268859,safe,0.0,False,False,0.0002415489871054,0.0088401329703629,0.0
1755025357,10,1723.5118617338878,1528.6051319974658,0.886913032591292,safe,0.0,False,False,0.0001021029893308,0.4351985660032369,0.0
1755025356,10,144.72838762424595,126.82261658019225,0.8762801732404982,safe,0.0,False,False,0.0003509109956212,0.0326072840252891,0.0
1755025355,10,1690.7745235965704,1558.9148004306562,0.9220122368029148,safe,0.0,,False,0.0002290420234203,0.4485359230311587,0.0
1755025354,10,2105.9880107203485,1775.2019084745475,0.8429306811995306,safe,0.0,False,False,0.0012394390068948,0.0975979689974337,0.0
1755025353,10,1917.2974556957809,1819.921129935096,0.9492116752820978,safe,0.0,,False,0.000135282985866,1.3467703070491552,0.0
1755025352,10,2493.977810451325,2355.38351656106,0.9444284174023246,safe,0.0,,False,0.0003402350121177,0.167370566050522,0.0
1755025379,10,1458.6678086039556,1320.6665889395026,0.9053922909311822,safe,0.0,False,False,9.308295557275414e-05,0.7563302099588327,0.0
1755025351,10,1424.499303791062,1236.4973343363397,0.8680224209626587,safe,0.0,False,False,0.0004308219649828,0.9179486429784448,0.0
1755025380,10,1392.1960121296515,1168.984781628848,0.8396696811684183,safe,0.0,False,False,0.0002034130156971,0.7880251600290649,0.0
1755025382,10,1592.7612199693197,1371.8492975369504,0.8613025482648149,safe,0.0,False,False,5.877396324649453e-05,0.4166190460091457,0.0
1755025409,10,1495.7600242331002,1379.484406806147,0.9222631869129077,safe,0.0,False,False,8.487200830131769e-05,0.0419720539939589,0.0
1755025408,10,2182.298013206658,1987.200493359412,0.9105999645022952,safe,0.0,,False,0.0001965819974429,1.309779533999972,0.0
1755025407,10,2028.7019229609705,2008.507305145028,0.9900455470626912,safe,0.0,,False,0.0002437779912725,0.7556865520309657,0.0
1755025406,10,2363.8069542758853,2182.286802240302,0.9232085548664488,safe,0.0,,False,8.895201608538628e-05,0.2834698270307854,0.0
1755025405,10,1674.1489545157742,1476.7775295519168,0.8821064132725606,safe,0.0,,False,9.09199588932097e-05,0.6003285470069386,0.0
1755025404,10,1463.577054589191,1222.457913794659,0.835253538555774,safe,0.0,False,False,0.0003205150132998,0.083407605998218,0.0
1755025403,10,2039.666066818372,2008.976767282864,0.9849537627581458,safe,0.0,,False,0.0001909669954329,1.3332315539591946,0.0
1755025402,10,543.9192047089948,286.0317177643507,0.5258717016939713,safe,0.0,False,False,0.001061827992089,0.0167918170336633,0.0
1755025401,10,1362.340389063707,1206.9873523662516,0.885966064028811,safe,0.0,False,False,0.0001118449727073,0.5806305970181711,0.0
1755025400,10,1488.8766219652475,1159.9764037768018,0.7790950483497331,safe,0.0,False,False,0.0003194440505467,0.7773368760244921,0.0
1755025399,10,1268.192017935543,1223.4127396340232,0.9646904588041684,safe,0.0,False,False,0.0002219610032625,1.6690606960328296,0.0
1755025398,10,1218.3158988031678,1169.664051941961,0.9600663121042736,safe,0.0,,False,0.0002284540096297,2.350269974966068,0.0
1755025397,10,522.302595078215,452.3812991487666,0.8661287602467731,safe,0.0,False,False,5.741097265854478e-05,0.0097800159710459,0.0
1755025396,10,1266.874184868271,1182.4276956427098,0.9333426395184288,safe,0.0,False,False,0.0001313100219704,0.8640066430089064,0.0
1755025395,10,1570.7318250818284,1228.5255515892734,0.7821357738933394,safe,0.0,False,False,0.0001060119830071,0.038953089970164,0.0
1755025394,10,1459.169066624424,1243.4180058807317,0.8521411495908412,safe,0.0,False,False,0.0005663220072165,0.8504371659946628,0.0
1755025393,10,1258.791935594759,1178.431518721481,0.9361606834291412,safe,0.0,False,False,0.0002093850052915,1.4765493189916017,0.0
1755025392,10,2287.0044829511744,2053.851114120789,0.8980529463022645,safe,0.0,,False,0.000194022024516,0.2653639820055105,0.0
1755025391,10,674.3071887828775,409.7757987866,0.6076989917996338,safe,0.0,True,False,0.0012321730027906,0.0025008580414578,0.0
1755025390,10,2269.6829722993043,2103.451726244773,0.9267601475257444,safe,0.0,,False,9.547302033752204e-05,0.6431833060341887,0.0
1755025389,10,1748.1830781767158,1482.2846476814382,0.8479001233826157,safe,0.0,False,False,6.042997119948268e-05,0.0673652389668859,0.0
1755025388,10,165.0487503533778,135.46361366772365,0.8207491021755035,safe,0.0,,False,0.000265855982434,0.0027597870212048,0.0
