seeds,num_tasks,final_e2e_max,ic,R,exceed,false_percentage,run_time_our,run_time_G,finalpercent
1755017038,8,467.2524216763762,428.8768103649669,0.9178696363440388,safe,0.596,5.902000702917576e-05,0.0048828150029294,0.5828
1755025538,8,249.14514026409665,173.75896946125377,0.6974206652277758,safe,0.6,7.379701128229499e-05,0.0014735339791513,0.5828
1755025535,8,357.94141320100806,302.9540133784468,0.8463787709535523,safe,0.6,5.7541008573025465e-05,0.0038640609709545,0.5828
1755025537,8,2402.8939852708827,2325.616036828699,0.9678396346589248,safe,0.6,8.311198325827718e-05,0.1930371719645336,0.5828
1755025536,8,0.0,1401.866846843004,,,0.6,8.632498793303967e-05,0.0088160169543698,0.5828
1755025540,8,1728.3093824031273,1623.026775728341,0.9390834721221056,safe,0.6,0.0001172290067188,0.3569945790222846,0.5828
1755017086,8,0.0,1071.1611109607682,,,0.596,0.0001118630170822,1.1343485440011136,0.5828
1755025541,8,1818.241636278301,1609.344835006878,0.8851105391585867,safe,0.6,0.0001006809761747,0.0871914720046334,0.5828
1755025545,8,0.0,1098.9447918710591,,,0.6,4.953303141519427e-05,1.0736183560220525,0.5828
1755025543,8,1539.4123645118952,1314.102975810899,0.8536393536293079,safe,0.6,8.924794383347034e-05,0.147396499000024,0.5828
1755025544,8,0.0,1147.7971514249523,,,0.6,9.55360010266304e-05,0.250576363003347,0.5828
1755025546,8,0.0,481.9230538072334,,,0.6,0.0001375189749523,0.0022658059606328,0.5828
1755025547,8,0.0,1364.6095845336238,,,0.6,8.154899114742875e-05,0.2731540499953553,0.5828
1755025548,8,1233.2921482091726,1146.797531796566,0.9298668879565942,safe,0.6,9.273499017581344e-05,0.6987238610163331,0.5828
1755025549,8,0.0,133.58116419713122,,,0.6,4.655896918848157e-05,0.0108365730266086,0.5828
1755017037,8,0.0,2345.851277991669,,,0.596,4.511297447606921e-05,0.599377658974845,0.5828
1755025534,8,1301.6034668539385,1191.3949354201725,0.9153286432924556,safe,0.6,7.109198486432433e-05,0.196346364042256,0.5828
1755025542,8,432.0518669320357,311.8639110847077,0.721820538120174,safe,0.6,0.0001034650485962,0.0055239629582501,0.5828
1755025533,8,0.0,1544.5664357576527,,,0.6,5.079503171145916e-05,1.3053990990156308,0.5828
1755025512,8,0.0,1093.123099046,,,0.6,0.0001144650159403,0.3849990100134164,0.5828
1755025531,8,0.0,238.4558744010196,,,0.6,6.929202936589718e-05,0.0103164699976332,0.5828
1755025511,8,0.0,665.8034226096198,,,0.6,8.108699694275856e-05,0.0020608410122804,0.5828
1755017039,8,1595.8411661890946,1573.9484278395898,0.9862813801189344,safe,0.596,7.84260337240994e-05,0.0246550369774922,0.5828
1755025513,8,0.0,230.93136394339987,,,0.6,5.48549578525126e-05,0.0460102849756367,0.5828
1755025514,8,422.4347293585608,400.5457761137648,0.9481838217278372,safe,0.6,9.65659855864942e-05,0.0180932549992576,0.5828
1755025515,8,0.0,288.6593915992375,,,0.6,7.340102456510067e-05,0.0555921969935298,0.5828
1755025516,8,1538.6208018275493,1272.6122496524151,0.8271123386222431,safe,0.6,0.0001155299833044,0.281408623966854,0.5828
1755025517,8,0.0,1223.75235704259,,,0.6,5.829904694110155e-05,2.0341977669741027,0.5828
1755025518,8,0.0,1121.2818924061116,,,0.6,9.166297968477012e-05,0.0607998110353946,0.5828
1755025519,8,0.0,447.70293852574446,,,0.6,0.0001070659491233,0.015188236022368,0.5828
1755025532,8,0.0,1092.595012259896,,,0.6,6.112299161031842e-05,0.0478970139520242,0.5828
1755025520,8,474.9841213616719,438.93574577871175,0.9241061459494316,safe,0.6,7.077696500346065e-05,0.0081058730138465,0.5828
1755025522,8,0.0,328.94251692436336,,,0.6,5.549797788262367e-05,0.0581449629971757,0.5828
1755025523,8,0.0,1107.5588035032704,,,0.6,6.560800829902291e-05,0.3914224489708431,0.5828
1755025524,8,0.0,277.2175178758344,,,0.6,4.393595736473799e-05,0.0437321969657205,0.5828
1755025525,8,0.0,1269.6733663417551,,,0.6,3.320403629913926e-05,0.5137523929588497,0.5828
1755025526,8,0.0,169.7006416173857,,,0.6,2.897699596360325e-05,0.0070346710272133,0.5828
