num_tasks,per_jitter,final_e2e_max,max_reaction_time,R,false_percentage,ratios
3,0,59393.182082002226,53880.35308214506,0.9071807772103239,0.0,5.0
3,0,3250.5115955533065,2874.3852441971094,0.8842870298107113,0.0,1.0
3,0,41117.8546628013,25322.133258565536,0.6158427638364626,0.0,5.0
3,0,5602.145011295099,4847.68155895169,0.8653259687454979,0.0,1.5
3,0,3373.6950453442296,2967.5181718843965,0.8796047455384666,0.0,1.5
3,0,3970.58851021402,3509.772766372944,0.8839427095868371,0.0,1.2
3,0,43312.07075347619,41496.421596361826,0.9580798348929406,0.0,5.0
3,0,7167.423444716408,5889.128320856961,0.821652071526238,0.0,2.0
3,0,2776.048417779831,2114.7495683343923,0.7617841082273635,0.0,1.0
3,0,3561.7683436904263,3168.5153676892123,0.8895905241288781,0.0,1.5
3,0.02,59987.11390282225,57142.89659929183,0.9525861952929092,0.0,5.0
3,0.02,3283.0167115088398,3237.2931930664436,0.9860727122459934,0.0,1.0
3,0.02,41529.03320942932,40227.24364699178,0.9686535066715215,0.0,5.0
3,0.02,5658.16646140805,5314.359168344048,0.9392369780194758,0.0,1.5
3,0.02,3407.431995797672,3159.969451221067,0.9273756468561086,0.0,1.5
3,0.02,4010.2943953161603,3944.378303849537,0.9835632786601377,0.0,1.2
3,0.02,43745.19146101095,41835.276934309775,0.9563400121724592,0.0,5.0
3,0.02,7239.097679163571,6948.648995252229,0.9598777780347755,0.0,2.0
3,0.02,2803.8089019576296,2746.2349263376523,0.9794657989780334,0.0,1.0
3,0.02,3597.3860271273297,3464.799313919238,0.9631435958753729,0.0,1.5
3,0.05,60878.011634052295,57816.32128582169,0.9497077800990786,0.0,5.0
3,0.05,3331.774385442139,3222.0954533519634,0.9670809246360117,0.0,1.0
3,0.05,42145.80102937133,40625.57666062046,0.9639293990950267,0.0,5.0
3,0.05,5742.198636577477,5347.073195647596,0.9311891723123343,0.0,1.5
3,0.05,3458.0374214778353,3178.0355468454336,0.9190286742146534,0.0,1.5
3,0.05,4069.853222969371,3958.977815816214,0.9727569027483841,0.0,1.2
3,0.05,44394.87252231309,42271.047861512154,0.9521605865692374,0.0,5.0
3,0.05,7346.609030834318,7012.2900861309945,0.9544934345491696,0.0,2.0
3,0.05,2845.4496282243267,2715.596196660877,0.9543645298530611,0.0,1.0
3,0.05,3650.8125522826867,3479.1924426374003,0.9529912568263796,0.0,1.5
3,0.1,62362.84118610235,58959.5600709985,0.945427741097494,0.2,5.0
3,0.1,0,3204.6262229184194,,0.2,1.0
3,0.1,43173.74739594137,41408.10293002944,0.9591037477076194,0.2,5.0
3,0.1,5882.252261859854,5404.365752951186,0.9187579029877291,0.2,1.5
3,0.1,3542.3797976114415,3331.478079066682,0.9404632674658526,0.2,1.5
3,0.1,0,3927.4280672646187,,0.2,1.2
3,0.1,45477.67429115,43028.69548718369,0.9461498671130841,0.2,5.0
3,0.1,7525.794616952228,7108.590972807663,0.9445635091868182,0.2,2.0
3,0.1,2914.8508386688227,2785.7823377626532,0.9557203753983124,0.2,1.0
3,0.1,3739.856760874947,3525.3157508946583,0.9426338965104919,0.2,1.5
3,0.2,65332.50029020246,60484.17711174284,0.9257900255321058,0.2,5.0
3,0.2,0,3219.2227436530065,,0.2,1.0
3,0.2,45229.64012908144,42003.19011621715,0.9286651407427456,0.2,5.0
3,0.2,6162.359512424609,5496.383774607677,0.8919284510301313,0.2,1.5
3,0.2,3711.0645498786525,3472.115975839607,0.9356118518480475,0.2,1.5
3,0.2,0,4032.063695090203,,0.2,1.2
3,0.2,47643.27782882381,44895.097359379346,0.9423175609512359,0.2,5.0
3,0.2,7884.165789188049,7273.783294472184,0.9225812202537759,0.2,2.0
3,0.2,3053.6532595578146,2809.4591276451406,0.920032134903216,0.2,1.0
3,0.2,3917.945178059468,3519.798748732513,0.8983787645736906,0.2,1.5
3,0.3,68302.15939430257,62357.866194417875,0.9129706402755323,0.6,5.0
3,0.3,0,3475.296797971414,,0.6,1.0
3,0.3,47285.532862221495,43671.82836459143,0.923576953057513,0.6,5.0
3,0.3,0,5795.579189283562,,0.6,1.5
3,0.3,0,3424.0221886464833,,0.6,1.5
3,0.3,0,4085.943915463917,,0.6,1.2
3,0.3,49808.88136649762,45628.715355235116,0.9160758905524395,0.6,5.0
3,0.3,8242.53696142387,7455.756872417948,0.9045463681038796,0.6,2.0
3,0.3,0,2931.761194563072,,0.6,1.0
3,0.3,0,3755.0653081132127,,0.6,1.5
3,0.4,71271.81849840267,65150.45559421778,0.9141124355579326,0.7,5.0
3,0.4,0,3475.306348252305,,0.7,1.0
3,0.4,49341.425595361565,45735.651467435055,0.926921971053356,0.7,5.0
3,0.4,0,5770.253109949177,,0.7,1.5
3,0.4,0,3479.824722346876,,0.7,1.5
3,0.4,0,4179.449430160806,,0.7,1.2
3,0.4,51974.48490417143,46855.35793073202,0.9015069224278438,0.7,5.0
3,0.4,0,7647.596166930806,,0.7,2.0
3,0.4,0,2850.696895156257,,0.7,1.0
3,0.4,0,3886.346132922668,,0.7,1.5
3,0.5,74241.4776025028,67805.40600100119,0.9133089506116641,0.7,5.0
3,0.5,0,3517.3639903834537,,0.7,1.0
3,0.5,51397.31832850163,46585.69635252345,0.906383793309505,0.7,5.0
3,0.5,0,5929.174313658974,,0.7,1.5
3,0.5,0,3542.1196861548933,,0.7,1.5
3,0.5,0,4248.810307552506,,0.7,1.2
3,0.5,54140.08844184523,48804.04403397106,0.9014400500360117,0.7,5.0
3,0.5,0,7759.075640046639,,0.7,2.0
3,0.5,0,3064.8508053873934,,0.7,1.0
3,0.5,0,3654.510621941357,,0.7,1.5
5,0,7152.271023849991,5728.64601194532,0.8009548285911642,0.0,1.0
5,0,20418134.786116064,12498288.478299195,0.6121170522783398,0.0,10.0
5,0,18974177.256610423,12708679.75753468,0.669788185577696,0.0,15.0
5,0,9566779.272475742,5375147.655708228,0.5618555108899486,0.0,15.0
5,0,29153825.051124588,25818478.690113265,0.8855948968904626,0.0,15.0
5,0,54047.736630877196,47739.12433397249,0.8832770308220339,0.0,2.0
5,0,26247.60237280123,20290.8257925815,0.77305444910304,0.0,1.5
5,0,22111968.0655069,17166750.810540523,0.7763556260430493,0.0,10.0
5,0,4505.582705669108,3133.1599575983846,0.6953950603672451,0.0,1.0
5,0,17003765.368583247,13656198.47807468,0.8031279062051956,0.0,10.0
5,0.02,0,6844.026381249372,,0.2,1.0
5,0.02,20622316.133977227,12673537.792735875,0.6145545296851994,0.2,10.0
5,0.02,19163919.02917653,12872803.049011447,0.6717208014400898,0.2,15.0
5,0.02,9662447.065200498,5460828.038916244,0.5651599436527346,0.2,15.0
5,0.02,29445363.30163583,26070896.267488323,0.8853990355092667,0.2,15.0
5,0.02,54588.21399718598,48013.03100198532,0.8795494024490413,0.2,2.0
5,0.02,26510.078396529243,22746.640777357377,0.8580374768086472,0.2,1.5
5,0.02,22333087.74616197,17351261.342710014,0.7769306931457294,0.2,10.0
5,0.02,0,4314.406340229447,,0.2,1.0
5,0.02,17173803.022269078,13799249.033033488,0.8035057241043324,0.2,10.0
5,0.05,0,6841.911451338332,,0.2,1.0
5,0.05,20928588.15576897,12908413.872704022,0.6167837876414906,0.2,10.0
5,0.05,19448531.688025683,13140186.867418498,0.675639018831885,0.2,15.0
5,0.05,9805948.754287634,5593664.8844103,0.5704358675099622,0.2,15.0
5,0.05,29882670.677402698,26490983.11557129,0.886499851420703,0.2,15.0
5,0.05,55398.93004664913,48401.26878306948,0.8736859853125825,0.2,2.0
5,0.05,26903.792432121263,22837.54962783329,0.8488598655915454,0.2,1.5
5,0.05,22664767.267144572,17617985.328104213,0.7773291964768461,0.2,10.0
5,0.05,0,4322.259721089036,,0.2,1.0
5,0.05,17428859.502797827,14007257.359757349,0.8036818104769727,0.2,10.0
5,0.1,0,6925.713922601593,,0.2,1.0
5,0.1,21439041.525421865,13375196.217651071,0.6238709973014002,0.2,10.0
5,0.1,19922886.119440947,13563004.183549356,0.6807750695475011,0.2,15.0
5,0.1,10045118.236099528,5816276.117551962,0.579015197317418,0.2,15.0
5,0.1,30611516.303680815,27171640.897683877,0.8876280622014363,0.2,15.0
5,0.1,56750.123462421056,51560.13233379614,0.908546610791752,0.2,2.0
5,0.1,27559.982491441297,23897.116925782717,0.8670947789318779,0.2,1.5
5,0.1,23217566.468782246,18128757.245046016,0.7808207319841847,0.2,10.0
5,0.1,0,4380.638368377446,,0.2,1.0
5,0.1,17853953.637012407,14414596.766363239,0.8073616107348258,0.2,10.0
5,0.2,0,6967.848521189291,,0.3,1.0
5,0.2,22459948.26472767,14258134.425628694,0.634824900644159,0.3,10.0
5,0.2,20871594.98227147,14452525.442270169,0.6924494967704328,0.3,15.0
5,0.2,10523457.199723314,6263798.100151982,0.5952224617131214,0.3,15.0
5,0.2,32069207.556237042,28527478.18966897,0.8895598102835175,0.3,15.0
5,0.2,59452.510293964915,53665.77162792419,0.902666201352508,0.3,2.0
5,0.2,0,25490.71234393305,,0.3,1.5
5,0.2,24323164.87205759,19103675.909357347,0.7854107806218761,0.3,10.0
5,0.2,0,4453.072268527259,,0.3,1.0
5,0.2,18704141.90544157,15115029.77025245,0.8081113716237928,0.3,10.0
5,0.3,0,7125.398202601704,,0.3,1.0
5,0.3,23480855.004033476,15234148.052900529,0.6487901760938283,0.3,10.0
5,0.3,21820303.84510199,15345599.932569746,0.7032715970183145,0.3,15.0
5,0.3,11001796.163347103,6693825.125489913,0.6084302077683136,0.3,15.0
5,0.3,33526898.80879327,29875198.088032503,0.8910814644209498,0.3,15.0
5,0.3,62154.897125508774,54693.61445708644,0.8799566403696906,0.3,2.0
5,0.3,0,26562.03051282,,0.3,1.5
5,0.3,25428763.275332935,20144186.636070248,0.7921811382628675,0.3,10.0
5,0.3,0,4441.244322530189,,0.3,1.0
5,0.3,19554330.173870735,15929554.296311995,0.8146305270838523,0.3,10.0
5,0.4,0,7084.781960057924,,0.4,1.0
5,0.4,24501761.743339278,16096512.421595663,0.6569532668797355,0.4,10.0
5,0.4,22769012.70793251,16191845.930007005,0.711135179100933,0.4,15.0
5,0.4,11480135.12697089,7154373.805908898,0.6231959577810846,0.4,15.0
5,0.4,34984590.0613495,31207277.157410126,0.892029236377633,0.4,15.0
5,0.4,0,56455.14061332804,,0.4,2.0
5,0.4,0,26757.701396997745,,0.4,1.5
5,0.4,26534361.678608283,21116212.136083264,0.7958062979561678,0.4,10.0
5,0.4,0,4556.1792369062005,,0.4,1.0
5,0.4,20404518.442299895,16631157.68860568,0.8150722956601714,0.4,10.0
5,0.5,0,7285.336618692374,,0.4,1.0
5,0.5,25522668.48264508,17009154.31694542,0.6664332269375091,0.4,10.0
5,0.5,23717721.570763033,17097870.422759876,0.7208900893683023,0.4,15.0
5,0.5,11958474.090594675,7585500.480887951,0.6343200999911801,0.4,15.0
5,0.5,36442281.31390573,32604236.929983687,0.8946815554475862,0.4,15.0
5,0.5,0,57966.37377987332,,0.4,2.0
5,0.5,0,26872.15586439484,,0.4,1.5
5,0.5,27639960.081883628,22140466.761615697,0.8010310686420807,0.4,10.0
5,0.5,0,4660.844862552249,,0.4,1.0
5,0.5,21254706.710729055,17393361.882079598,0.8183298936465536,0.4,10.0
