num_tasks,per_jitter,final_e2e_max,max_reaction_time,R,false_percentage
3,0,86,86.0,1.0,2.0
3,0,450,335.0,0.7444444444444445,2.0
3,0,2800,2706.0,0.9664285714285714,2.0
3,0,444,412.0,0.9279279279279279,2.0
3,0,408,232.0,0.5686274509803921,2.0
3,0,540,479.0,0.8870370370370371,2.0
3,0,70,52.0,0.7428571428571429,2.0
3,0,24,22.0,0.9166666666666666,2.0
3,0,2300,1913.0,0.8317391304347826,2.0
3,0,214,140.0,0.6542056074766355,2.0
3,0,450,283.0,0.6288888888888889,2.0
3,0,51,51.0,1.0,2.0
3,0,2600,1904.0,0.7323076923076923,2.0
3,0,679,607.0,0.8939617083946981,2.0
3,0,504,446.0,0.8849206349206349,2.0
3,0,738,555.0,0.7520325203252033,2.0
3,0,142,135.0,0.9507042253521126,2.0
3,0,2006,2003.0,0.9985044865403788,2.0
3,0,214,140.0,0.6542056074766355,2.0
3,0,504,361.0,0.7162698412698413,2.0
3,0,144,118.0,0.8194444444444444,2.0
3,0,402,397.0,0.9875621890547264,2.0
3,0,130,83.0,0.6384615384615384,2.0
3,0,2030,1888.0,0.9300492610837439,2.0
3,0,2210,2137.0,0.9669683257918552,2.0
3,0,2050,1285.0,0.6268292682926829,2.0
3,0,306,305.0,0.9967320261437909,2.0
3,0,660,620.0,0.9393939393939394,2.0
3,0,70,63.0,0.9,2.0
3,0,3593,3593.0,1.0,2.0
3,0,48,38.0,0.7916666666666666,2.0
3,0,304,258.0,0.8486842105263158,2.0
3,0,3745,3186.0,0.8507343124165554,2.0
3,0,2420,2326.0,0.9611570247933884,2.0
3,0,160,131.0,0.81875,2.0
3,0,2200,2149.0,0.9768181818181818,2.0
3,0,450,412.0,0.9155555555555556,2.0
3,0,2060,1375.0,0.6674757281553398,2.0
3,0,0,33.0,,2.0
3,0,640,508.0,0.79375,2.0
3,0,46,40.0,0.8695652173913043,2.0
3,0,540,480.0,0.8888888888888888,2.0
3,0,2402,2281.0,0.9496253122398002,2.0
3,0,2120,2114.0,0.9971698113207547,2.0
3,0,2600,2015.0,0.775,2.0
3,0,510,492.0,0.9647058823529412,2.0
3,0,124,107.0,0.8629032258064516,2.0
3,0,424,384.0,0.9056603773584906,2.0
3,0,400,354.0,0.885,2.0
3,0,41,39.0,0.9512195121951219,2.0
3,0,260,244.0,0.9384615384615385,2.0
3,0,28,23.0,0.8214285714285714,2.0
3,0,2220,2139.0,0.9635135135135136,2.0
3,0,0,18.0,,2.0
3,0,160,108.0,0.675,2.0
3,0,16,10.0,0.625,2.0
3,0,28,24.0,0.8571428571428571,2.0
3,0,106,73.0,0.6886792452830188,2.0
3,0,2060,1147.0,0.5567961165048544,2.0
3,0,26,23.0,0.8846153846153846,2.0
3,0,2404,2212.0,0.9201331114808652,2.0
3,0,44,42.0,0.9545454545454546,2.0
3,0,3859,3827.0,0.9917076962943768,2.0
3,0,54,47.0,0.8703703703703703,2.0
3,0,430,331.0,0.7697674418604651,2.0
3,0,65,65.0,1.0,2.0
3,0,610,522.0,0.8557377049180328,2.0
