num_tasks,per_jitter,final_e2e_max,max_reaction_time,R,false_percentage
3,0,2104,1722.0,0.8184410646387833,0.0
3,0,122,90.0,0.7377049180327869,0.0
3,0,620,600.0,0.967741935483871,0.0
3,0,140,128.0,0.9142857142857143,0.0
3,0,64,57.0,0.890625,0.0
3,0,124,108.0,0.8709677419354839,0.0
3,0,681,676.0,0.9926578560939795,0.0
3,0,70,62.0,0.8857142857142857,0.0
3,0,230,197.0,0.8565217391304348,0.0
3,0,144,111.0,0.7708333333333334,0.0
3,0.01,209.03999999999996,205.00720550428758,0.9807080248004574,10.0
3,0.01,0,103.49044527202926,,10.0
3,0.01,225.11999999999998,219.05618725360557,0.9730640869474306,10.0
3,0.01,522.5999999999999,506.0590643983851,0.9683487646352568,10.0
3,0.01,605.01,511.3392830884011,0.8451749278332608,10.0
3,0.01,395.0,394.87314652555506,0.9996788519634305,10.0
3,0.01,81.2,81.18380645088564,0.9998005720552419,10.0
3,0.01,2613.0,2450.5469454984304,0.9378289114039152,10.0
3,0.01,243.20999999999998,236.14563342104123,0.9709536343943146,10.0
3,0.01,2120.55,2076.9818584756576,0.9794543200941537,10.0
3,0.02,2626.0,2540.842593055124,0.9675714368069779,10.0
3,0.02,14.14,14.003031548787604,0.9903134051476381,10.0
3,0.02,2044.24,2038.8887059816043,0.9973822574558782,10.0
3,0.02,2232.1000000000004,2223.4058698438457,0.9961049549051769,10.0
3,0.02,464.6,449.1005101585906,0.9666390662044567,10.0
3,0.02,509.03999999999996,483.2449626470904,0.9493261092391373,10.0
3,0.02,446.42,433.6544291691914,0.971404572306777,10.0
3,0.02,0,408.8977971832428,,10.0
3,0.02,70.7,62.372730386915464,0.8822168371558057,10.0
3,0.02,2224.02,2120.744924650884,0.9535637829924569,10.0
3,0.03,3590.6,3572.675855424859,0.9950080363796745,10.0
3,0.03,60.900000000000006,58.087473563960486,0.9538172999008289,10.0
3,0.03,245.63,234.01293572101804,0.9527050267516918,10.0
3,0.03,2036.09,2019.0151724100651,0.9916139131423783,10.0
3,0.03,487.20000000000005,479.46966010042877,0.9841331282849523,10.0
3,0.03,436.45,428.239405190041,0.9811877768130164,10.0
3,0.03,2456.3,2269.0574458472256,0.9237704864418945,10.0
3,0.03,47.66,47.130413008652226,0.9888882293044949,10.0
3,0.03,0,8.042422494066216,,10.0
3,0.03,18.27,17.041749673589607,0.9327722864581066,10.0
5,0,2500,2433.0,0.9732,0.0
5,0,3106,2832.0,0.9117836445589182,0.0
5,0,5619,4723.0,0.8405410215340808,0.0
5,0,2226,1194.0,0.5363881401617251,0.0
5,0,2104,2081.0,0.9890684410646388,0.0
5,0,2200,2115.0,0.9613636363636363,0.0
5,0,3534,3516.0,0.9949066213921901,0.0
5,0,624,544.0,0.8717948717948718,0.0
5,0,3725,3579.0,0.9608053691275168,0.0
5,0,4118,4060.0,0.9859154929577465,0.0
5,0.01,701.4,687.0636620717978,0.9795603964525205,10.0
5,0.01,422.1,416.2366265316464,0.9861090417712541,10.0
5,0.01,741.2,699.3864642720564,0.943586703011409,10.0
5,0.01,2158.74,2094.000834199469,0.9700106702055222,10.0
5,0.01,665.3100000000001,636.0746984785719,0.9560576249847017,10.0
5,0.01,3926.0,3874.4414287123363,0.9868674041549507,10.0
5,0.01,518.5799999999999,501.86653105319783,0.9677707027906937,10.0
5,0.01,458.28,452.123815100058,0.9865667607141005,10.0
5,0.01,2471.2,2294.502469524409,0.9284972764342867,10.0
5,0.01,0,2061.5634743250694,,10.0
5,0.02,3117.62,2981.98949564985,0.956495498376919,10.0
5,0.02,446.41999999999996,439.9967433092552,0.9856116287560038,10.0
5,0.02,2468.44,2112.351184499703,0.8557433782063582,10.0
5,0.02,353.5,329.9770424630425,0.9334569800934724,10.0
5,0.02,3616.5999999999995,3598.063084426103,0.9948744910761775,10.0
5,0.02,659.4800000000001,648.02169456099,0.9826252419497026,10.0
5,0.02,456.52000000000004,439.995358176413,0.9638030276360575,10.0
5,0.02,0,1041.8173318591143,,10.0
5,0.02,195.32,191.04988004301845,0.978137825327762,10.0
5,0.02,3199.0,3000.5094597754214,0.9379523162786563,10.0
5,0.03,314.1,306.44290966386075,0.975622125641072,20.0
5,0.03,724.96,697.2451453645117,0.9617705050823655,20.0
5,0.03,2086.84,2070.555557160231,0.9921966021162287,20.0
5,0.03,2864.33,2678.354517501066,0.9350719077414494,20.0
5,0.03,0,819.4433202391047,,20.0
5,0.03,2277.66,2233.775142863764,0.9807324810831134,20.0
5,0.03,456.75,433.9963502644396,0.9501835802177113,20.0
5,0.03,2257.36,2204.900117804248,0.9767605157370769,20.0
5,0.03,0,270.45180423822103,,20.0
5,0.03,214.4,200.5593109808683,0.9354445474853932,20.0
