num_tasks,per_jitter,final_e2e_max,max_reaction_time,R,false_percentage
3,0,16,14.0,0.875,0.0
3,0,2410,2378.0,0.9867219917012449,0.0
3,0,2020,1241.0,0.6143564356435643,0.0
3,0,2110,1351.0,0.6402843601895735,0.0
3,0,224,118.0,0.5267857142857143,0.0
3,0,707,563.0,0.7963224893917963,0.0
3,0,430,362.0,0.8418604651162791,0.0
3,0,112,93.0,0.8303571428571429,0.0
3,0,124,121.0,0.9758064516129032,0.0
3,0,214,201.0,0.9392523364485982,0.0
3,0.01,408.03,404.09771096546746,0.9903627453017364,10.0
3,0.01,303.51,292.0000206899531,0.9620771002271856,10.0
3,0.01,124.62,120.2476721694768,0.9649147180988348,10.0
3,0.01,2221.05,2209.105135704189,0.9946219741582534,10.0
3,0.01,281.40000000000003,253.19369343950893,0.8997643690103373,10.0
3,0.01,2422.05,2336.803974913706,0.9648041844362032,10.0
3,0.01,0,2000.9711559665357,,10.0
3,0.01,311.55,267.9357774352811,0.8600089148941779,10.0
3,0.01,26.130000000000003,26.01172885923097,0.9954737412641014,10.0
3,0.01,504.51,490.5314907444547,0.9722928995351028,10.0
3,0.02,426.22,415.13043191140645,0.9739815867660044,10.0
3,0.02,54.2,54.19024352993938,0.9998199913272948,10.0
3,0.02,424.19999999999993,417.0317059249501,0.9831016169847953,10.0
3,0.02,2426.02,1912.5451595914362,0.7883468230234855,10.0
3,0.02,2444.2,2407.3763226253263,0.9849342617729018,10.0
3,0.02,246.43999999999997,232.02559899058178,0.9415094911158165,10.0
3,0.02,0,22.094057801612134,,10.0
3,0.02,34.34,33.03204988461084,0.9619117613456855,10.0
3,0.02,2828.0,2571.567071292957,0.9093235754218376,10.0
3,0.02,464.59999999999997,453.1357536707919,0.9753244805656306,10.0
3,0.03,2233.0,2183.1204234801116,0.9776625273086035,0.0
3,0.03,123.83,115.02090895794208,0.9288614145032874,0.0
3,0.03,2235.0299999999997,2190.264458437423,0.9799709437624655,0.0
3,0.03,2456.3,2320.663796431676,0.9447802778291234,0.0
3,0.03,426.3,417.1338170061599,0.9784982805680504,0.0
3,0.03,34.510000000000005,32.04204755584533,0.9284858752780447,0.0
3,0.03,466.9,448.76814125427336,0.9611654342563148,0.0
3,0.03,450.6599999999999,433.17374231870497,0.9611985583781677,0.0
3,0.03,428.33,422.0839742459534,0.9854177252257685,0.0
3,0.03,210.79999999999998,208.24547483424612,0.9878817591757407,0.0
5,0,2804,1990.0,0.7097004279600571,0.0
5,0,2920,2779.0,0.9517123287671233,0.0
5,0,732,675.0,0.9221311475409836,0.0
5,0,926,873.0,0.9427645788336934,0.0
5,0,2720,2354.0,0.8654411764705883,0.0
5,0,2514,1473.0,0.5859188544152745,0.0
5,0,2074,1936.0,0.9334619093539055,0.0
5,0,3588,2734.0,0.761984392419175,0.0
5,0,466,453.0,0.9721030042918455,0.0
5,0,552,552.0,1.0,0.0
5,0.01,651.24,556.0083417977439,0.8537687208982002,10.0
5,0.01,327.63,311.00604451172467,0.9492599716501073,10.0
5,0.01,436.22,417.7702319530581,0.9577053595732843,10.0
5,0.01,4097.0,4015.0300759201555,0.979992696099623,10.0
5,0.01,2635.1099999999997,2010.5101393899727,0.7629700996884278,10.0
5,0.01,2635.11,2375.7296844369775,0.9015675567384198,10.0
5,0.01,2426.0700000000006,2229.9734224234526,0.919171096639195,10.0
5,0.01,0,602.1269870656464,,10.0
5,0.01,715.5600000000001,624.0342986261094,0.8720922055817951,10.0
5,0.01,164.82,157.18081173764773,0.9536513271304923,10.0
5,0.02,3906.0,3670.849909160803,0.9397977237994887,10.0
5,0.02,0,223.01410278511685,,10.0
5,0.02,313.1,296.0200226982197,0.9454488109173417,10.0
5,0.02,373.70000000000005,340.3273207061984,0.9106966034417938,10.0
5,0.02,2527.02,2407.8535930298385,0.9528431088910411,10.0
5,0.02,737.3,603.8926964144193,0.8190596723374737,10.0
5,0.02,612.0600000000001,539.9698484502878,0.8822171820577848,10.0
5,0.02,2108.88,1913.284901251622,0.9072516697259312,10.0
5,0.02,4214.0,4138.194960533941,0.9820111439330663,10.0
5,0.02,3858.5,3800.258255818553,0.9849055995383058,10.0
5,0.03,2613.1,2406.72350350768,0.9210223502765604,20.0
5,0.03,0,346.97441673813955,,20.0
5,0.03,552.1599999999999,507.3366698068712,0.9188218447675879,20.0
5,0.03,2588.25,2555.772750065862,0.9874520429115665,20.0
5,0.03,796.9,774.5957084336728,0.9720111788601742,20.0
5,0.03,3505.21,3446.1935875957674,0.983163230618356,20.0
5,0.03,365.4,317.1046725859778,0.8678288795456427,20.0
5,0.03,2105.11,2086.9362241713698,0.991366828418168,20.0
5,0.03,0,457.2313382805735,,20.0
5,0.03,755.1600000000001,710.0187870677382,0.9402229819743341,20.0
