seeds,num_tasks,final_e2e_max,let,R,exceed,false_percentage,run_time_our,run_time_G,finalpercent
1755017038,8,7100,5302,0.7467605633802817,safe,0.123,0.0001508480054326,0.0131903139990754,0.1206
1755025538,8,1114,812,0.7289048473967684,safe,0.123,6.598897743970156e-05,0.0111423290218226,0.1206
1755025535,8,2886,2503,0.8672903672903672,safe,0.123,6.916403071954846e-05,0.1351765380240976,0.1206
1755025537,8,0,752,,,0.123,0.0001157690421678,0.0027045599999837,0.1206
1755025536,8,2272,2136,0.9401408450704224,safe,0.123,6.670202128589153e-05,0.4514326020143926,0.1206
1755025540,8,4084,3052,0.7473065621939275,safe,0.123,6.586301606148481e-05,0.3267962530371733,0.1206
1755017086,8,5400,4321,0.8001851851851852,safe,0.123,6.227899575605989e-05,0.0289348119986243,0.1206
1755025541,8,0,758,,,0.123,0.0001231250353157,0.0024458389962092,0.1206
1755025545,8,280,210,0.75,safe,0.123,6.568798562511802e-05,0.0004920340143144,0.1206
1755025543,8,404,312,0.7722772277227723,safe,0.123,6.346800364553928e-05,0.0010368530056439,0.1206
1755025544,8,1620,1061,0.6549382716049382,safe,0.123,6.160599878057837e-05,0.0032417239854112,0.1206
1755025546,8,0,901,,,0.123,8.066499140113592e-05,0.0072322330088354,0.1206
1755025547,8,0,90,,,0.123,7.86400050856173e-05,0.0003624979872256,0.1206
1755025548,8,3508,3254,0.927594070695553,safe,0.123,0.0059525499818846,0.0749601380084641,0.1206
1755025549,8,2726,2363,0.8668378576669112,safe,0.123,6.74340408295393e-05,0.1384460639674216,0.1206
1755017037,8,2710,2355,0.8690036900369004,safe,0.123,7.082597585394979e-05,0.018519728037063,0.1206
1755025534,8,3120,2560,0.8205128205128205,safe,0.123,7.299700519070029e-05,0.0028282139683142,0.1206
1755025542,8,0,585,,,0.123,6.380199920386076e-05,0.000311647017952,0.1206
1755025533,8,2668,2334,0.8748125937031485,safe,0.123,6.86490093357861e-05,0.4011828659567982,0.1206
1755025512,8,0,492,,,0.123,0.0001027560210786,0.0028986600227653,0.1206
1755025531,8,0,186,,,0.123,7.053802255541086e-05,0.0019544680253602,0.1206
1755025511,8,2764,2392,0.8654124457308249,safe,0.123,6.675499025732279e-05,0.0250481559778563,0.1206
1755017039,8,2452,2226,0.9078303425774876,safe,0.123,6.393197691068053e-05,0.0938963270164094,0.1206
1755025513,8,4442,3442,0.774876181900045,safe,0.123,6.350898183882236e-05,0.2327432850142941,0.1206
1755025514,8,7100,6102,0.8594366197183099,safe,0.123,6.59100478515029e-05,0.0103467499720864,0.1206
1755025515,8,2860,2475,0.8653846153846154,safe,0.123,6.734201451763511e-05,0.0135102110216394,0.1206
1755025516,8,2952,2526,0.8556910569105691,safe,0.123,6.90349843353033e-05,0.0662026050267741,0.1206
1755025517,8,826,663,0.8026634382566586,safe,0.123,5.883799167349935e-05,0.0081468960270285,0.1206
1755025518,8,756,579,0.7658730158730159,safe,0.123,7.301400182768703e-05,0.008215818030294,0.1206
1755025519,8,2544,2322,0.9127358490566038,safe,0.123,6.46290136501193e-05,0.2742803730070591,0.1206
1755025532,8,2206,2113,0.957842248413418,safe,0.123,6.28340058028698e-05,0.2254743830417283,0.1206
1755025520,8,0,318,,,0.123,0.0001085859839804,0.0068742749863304,0.1206
1755025522,8,2884,2442,0.8467406380027739,safe,0.123,6.678403588011861e-05,0.0838320209877565,0.1206
1755025523,8,2270,2135,0.9405286343612336,safe,0.123,6.824795855209231e-05,0.7269359159981832,0.1206
1755025524,8,2576,2299,0.8924689440993789,safe,0.123,7.056997856125236e-05,0.1990812949952669,0.1206
1755025525,8,0,271,,,0.123,4.2921979911625385e-05,0.0016057980246841,0.1206
1755025526,8,4302,3204,0.7447698744769874,safe,0.123,6.608600961044431e-05,0.3444724470027722,0.1206
1755025527,8,0,388,,,0.123,6.787397433072329e-05,0.0044095680350437,0.1206
1755025528,8,3444,3222,0.9355400696864112,safe,0.123,6.569601828232408e-05,0.3404690530151129,0.1206
1755025529,8,4054,3628,0.8949185989146522,safe,0.123,6.731599569320679e-05,0.0640775220235809,0.1206
1755025530,8,256,192,0.75,safe,0.123,7.389899110421538e-05,0.0044799750321544,0.1206
1755025521,8,4274,3142,0.7351427234440805,safe,0.123,7.598899537697434e-05,0.0566877509700134,0.1206
1755017040,8,3256,3129,0.960995085995086,safe,0.123,6.882002344354987e-05,0.1934016959858127,0.1206
1755017062,8,1072,762,0.710820895522388,safe,0.123,8.017499931156635e-05,0.0321090829675085,0.1206
1755017042,8,828,714,0.8623188405797102,safe,0.123,6.98220101185143e-05,0.0041926489793695,0.1206
1755017068,8,4724,3562,0.754022015241321,safe,0.123,8.543900912627578e-05,0.0247999829589389,0.1206
1755017069,8,4612,3310,0.717692974848222,safe,0.123,9.02439933270216e-05,0.6861025390098803,0.1206
1755017070,8,152,126,0.8289473684210527,safe,0.123,7.313303649425507e-05,0.0003963420167565,0.1206
1755017071,8,2470,2235,0.9048582995951416,safe,0.123,8.017203072085977e-05,1.1247078820015304,0.1206
1755017072,8,4580,3502,0.7646288209606987,safe,0.123,9.282701648771764e-05,0.0335900840000249,0.1206
1755017073,8,6202,4104,0.6617220251531764,safe,0.123,8.904602145776153e-05,0.7977352669695392,0.1206
1755017074,8,284,243,0.8556338028169014,safe,0.123,8.774601155892015e-05,0.0049933830159716,0.1206
1755017075,8,2414,2218,0.9188069594034796,safe,0.123,6.138399476185441e-05,0.0900095020188018,0.1206
1755017076,8,2676,2363,0.883034379671151,safe,0.123,6.900500738993287e-05,0.208893645030912,0.1206
