seeds,num_tasks,mrt,let
1756819363,3,22.99210317328692,48
1756819364,3,138.20524009975335,304
1756819365,3,1388.2991434534556,2029
1756819366,3,74.50310067168498,144
1756819367,3,371.03017983578155,602
1756819368,3,79.64048370018219,162
1756819369,3,266.45915887209566,463
1756819370,3,1554.1854010274233,3451
1756819371,3,244.3811205674785,489
1756819372,3,233.19632665383722,485
1756819363,5,346.4862305917967,665
1756819364,5,378.81192893197186,880
1756819365,5,125.20050771602837,302
1756819366,5,1122.6616381373801,2323
1756819367,5,1292.6327721504474,3121
1756819368,5,1048.5249814722338,2075
1756819369,5,208.3383517213107,438
1756819370,5,32.41624598119848,77
1756819371,5,306.9805025127668,691
1756819372,5,275.5966357472288,628
