seeds,num_tasks,per_jitter,final_e2e_max,max_reaction_time,R,exceed,false_percentage,ratios
1750690892,3,0,1692.6538479833669,1550.1984580174706,0.9158390298550303,safe,0.0,1.0
1750690893,3,0,2521.0868897545515,2521.0868897545515,1.0,safe,0.0,1.0
1750690894,3,0,2617.204594879311,2384.5077482705797,0.9110895468149436,safe,0.0,1.0
1750690895,3,0,4189.573304214291,3761.4581588861492,0.8978141413834433,safe,0.0,1.0
1750690896,3,0,3452.156359654477,3327.761639443661,0.9639660817034178,safe,0.0,1.0
1750690897,3,0,2468.1181069937584,2468.1181069937584,1.0,safe,0.0,1.0
1750690898,3,0,4364.100633759601,4364.100633759601,1.0,safe,0.0,1.0
1750690899,3,0,3296.570177758809,3233.679031034598,0.9809222484785785,safe,0.0,1.0
1750690900,3,0,2937.57716558614,2563.951814258755,0.8728117321633541,safe,0.0,1.0
1750690901,3,0,5231.755600094822,5231.755600094822,1.0,safe,0.0,1.0
1750690892,3,0.02,1705.249989187742,1697.9712014457593,0.9957315421268821,safe,0.0,1.0
1750690893,3,0.02,2531.543243682811,2531.4154523054644,0.9999495203656247,safe,0.0,1.0
1750690894,3,0.02,2631.6473574529373,2619.8431614024544,0.9955145221045468,safe,0.0,1.0
1750690895,3,0.02,4220.503032605544,4198.559765926102,0.9948007935286579,safe,0.0,1.0
1750690896,3,0.02,3473.457108047954,3454.8576907657275,0.9946452722162217,safe,0.0,1.0
1750690897,3,0.02,2477.5576597043073,2476.7633091346447,0.999679381601251,safe,0.0,1.0
1750690898,3,0.02,4381.1670160286585,4380.398731823549,0.9998246393706747,safe,0.0,1.0
1750690899,3,0.02,3314.677602745591,3294.07377473161,0.9937840627405469,safe,0.0,1.0
1750690900,3,0.02,2957.4048992665635,2936.818850362075,0.9930391510105384,safe,0.0,1.0
1750690901,3,0.02,5251.450600866921,5250.01771483903,0.9997271447192791,safe,0.0,1.0
1750690892,3,0.05,1724.1442009943044,1699.370757457936,0.9856314550012222,safe,0.0,1.0
1750690893,3,0.05,2547.2277745752,2544.269978250991,0.9988388174965224,safe,0.0,1.0
1750690894,3,0.05,2653.3115013133765,2645.370317328955,0.99700706683686,safe,0.0,1.0
1750690895,3,0.05,4266.897625192423,4218.260289976901,0.9886012415839649,safe,0.0,1.0
1750690896,3,0.05,3505.40823063817,3462.8639442000954,0.9878632434116441,safe,0.0,1.0
1750690897,3,0.05,2491.7169887701302,2489.2534962633667,0.9990113273225386,safe,0.0,1.0
1750690898,3,0.05,4406.766589432246,4404.479276747723,0.9994809544281268,safe,0.0,1.0
1750690899,3,0.05,3341.838740225762,3320.795323776004,0.9937030425207362,safe,0.0,1.0
1750690900,3,0.05,2987.146499787198,2949.382518402972,0.987357840873584,safe,0.0,1.0
1750690901,3,0.05,5280.9931020250715,5280.4378325339585,0.9998948551000947,safe,0.0,1.0
1750690892,3,0.1,1755.6345540052419,1710.1831846064863,0.9741111444320434,safe,0.2,1.0
1750690893,3,0.1,2573.3686593958478,2568.300675064293,0.9980306030723385,safe,0.2,1.0
1750690894,3,0.1,2689.418407747442,2639.6788207223312,0.9815054485825541,safe,0.2,1.0
1750690895,3,0.1,4344.2219461705545,4262.776732767836,0.9812520597676845,safe,0.2,1.0
1750690896,3,0.1,3558.6601016218633,3482.8736900619137,0.9787036667184343,safe,0.2,1.0
1750690897,3,0.1,2515.315870546502,2512.664783093905,0.9989460220548678,safe,0.2,1.0
1750690898,3,0.1,4449.432545104892,4442.605595250458,0.9984656583091827,safe,0.2,1.0
1750690899,3,0.1,3387.107302692715,3341.456566176642,0.9865222053993443,safe,0.2,1.0
1750690900,3,0.1,0,3753.2819697822615,,,0.2,1.0
1750690901,3,0.1,0,5321.386601159489,,,0.2,1.0
1750690892,3,0.2,0,1752.3596170631365,,,0.5,1.0
1750690893,3,0.2,0,3115.533609130795,,,0.5,1.0
1750690894,3,0.2,2761.6322206155737,2671.798749893899,0.9674708782541469,safe,0.5,1.0
1750690895,3,0.2,0,4366.687213035495,,,0.5,1.0
1750690896,3,0.2,3665.1638435892487,3559.8599237842777,0.9712689734214315,safe,0.5,1.0
1750690897,3,0.2,2562.5136340992462,2549.9402934325785,0.9950933565779495,safe,0.5,1.0
1750690898,3,0.2,4534.7644564501825,4516.56953396292,0.9959876808019472,safe,0.5,1.0
1750690899,3,0.2,3477.644427626621,3389.429691357559,0.9746337677399453,safe,0.5,1.0
1750690900,3,0.2,0,3927.7681144893777,,,0.5,1.0
1750690901,3,0.2,0,5406.287635230272,,,0.5,1.0
1750690892,3,0.3,0,1769.3378089702285,,,0.7,1.0
1750690893,3,0.3,0,3173.5275966035665,,,0.7,1.0
1750690894,3,0.3,2833.8460334837046,2721.3591109586405,0.9603059159898035,safe,0.7,1.0
1750690895,3,0.3,0,4438.480386318615,,,0.7,1.0
1750690896,3,0.3,3771.667585556635,3671.5433082252443,0.9734535785404815,safe,0.7,1.0
1750690897,3,0.3,0,2597.2783395561505,,,0.7,1.0
1750690898,3,0.3,4620.096367795473,4584.576515582146,0.9923118806653214,safe,0.7,1.0
1750690899,3,0.3,0,3433.8099114298843,,,0.7,1.0
1750690900,3,0.3,0,3945.5948991543064,,,0.7,1.0
1750690901,3,0.3,0,5486.117925922235,,,0.7,1.0
1750690892,3,0.4,0,1820.197683061234,,,0.9,1.0
1750690893,3,0.4,0,3224.143961192775,,,0.9,1.0
1750690894,3,0.4,0,2788.8635843590287,,,0.9,1.0
1750690895,3,0.4,0,4593.562681347152,,,0.9,1.0
