seeds,num_tasks,per_jitter,final_e2e_max,max_reaction_time,R,exceed,false_percentage,added,finalpercent
1755016044,5,0.2,816.2,753.052293295228,0.922632067257079,safe,0.0,True,0.0
1755016044,5,0.3,853.3,748.0496430108037,0.8766549197360879,safe,0.0,True,0.0
1755016044,5,0.4,890.4,766.385550343701,0.8607205192539319,safe,0.0,True,0.0
1755016044,5,0.5,927.5,753.3056394769632,0.812189368708316,safe,0.0,True,0.0
1755016045,5,0.0,2580.0,2163.0,0.8383720930232558,safe,0.0,False,0.0
1755016045,5,0.02,2605.8,2520.8974416152296,0.967417853102782,safe,0.0,False,0.0
1755016045,5,0.05,2644.5,2540.079438007864,0.960514062396621,safe,0.0,False,0.0
1755016045,5,0.1,2709.0,2577.252548195099,0.9513667582853816,safe,0.0,False,0.0
1755016045,5,0.2,2838.0,2627.728405401869,0.92590852903519,safe,0.0,False,0.0
1755016045,5,0.3,2967.0,2746.790419093034,0.9257803906616224,safe,0.0,False,0.0
1755016045,5,0.4,3096.0,2861.733403777741,0.9243324947602524,safe,0.0,False,0.0
1755016045,5,0.5,3225.0,2920.115228337316,0.9054620863061444,safe,0.0,False,0.0
1755016046,5,0.0,408.0,356.0,0.8725490196078431,safe,0.0,False,0.0
1755016046,5,0.02,412.08,358.0217118294986,0.8688160353074612,safe,0.0,False,0.0
1755016046,5,0.05,418.2,409.1063942503352,0.97825536645226,safe,0.0,False,0.0
1755016046,5,0.1,428.4,411.2069059580626,0.9598667272597168,safe,0.0,False,0.0
1755016046,5,0.2,448.8,415.1641097632109,0.9250537205062632,safe,0.0,False,0.0
1755016046,5,0.3,469.2,421.8903112313667,0.8991694612774227,safe,0.0,True,0.0
1755016046,5,0.4,489.6,424.8207860191178,0.8676895139279368,safe,0.0,False,0.0
1755016046,5,0.5,510.0,423.790968779889,0.8309626838821353,safe,0.0,True,0.0
1755016047,5,0.0,612.0,420.0,0.6862745098039216,safe,0.0,False,0.0
1755016047,5,0.02,618.12,595.9779280408984,0.9641783602551258,safe,0.0,False,0.0
1755016047,5,0.05,627.3,596.9859450846768,0.9516753468590416,safe,0.0,False,0.0
1755016047,5,0.1,642.5999999999999,596.5655309304341,0.9283621707600904,safe,0.0,False,0.0
1755016047,5,0.2,673.2,614.9081570298206,0.9134108096105474,safe,0.0,False,0.0
1755016047,5,0.3,703.8,648.3037426951673,0.9211476878305872,safe,0.0,False,0.0
1755016047,5,0.4,734.4000000000001,641.908439064624,0.8740583320596731,safe,0.0,False,0.0
1755016047,5,0.5,765.0,662.6188771517868,0.8661684668650808,safe,0.0,False,0.0
1755016048,5,0.0,2050.0,1472.0,0.7180487804878048,safe,0.0,False,0.0
1755016048,5,0.02,2070.5,2052.003616287545,0.9910667067314876,safe,0.0,False,0.0
1755016048,5,0.05,2101.25,1516.9819780389855,0.7219426427312245,safe,0.0,False,0.0
1755016048,5,0.1,2152.5,2076.1462534944126,0.9645278761878804,safe,0.0,False,0.0
1755016048,5,0.2,2255.0,2205.827502657991,0.9781940144824792,safe,0.0,False,0.0
1755016048,5,0.3,2357.5,2255.047583045479,0.956541922818867,safe,0.0,False,0.0
1755016048,5,0.4,2460.0,1853.8326740416408,0.7535905179031062,safe,0.0,False,0.0
1755016048,5,0.5,2562.5,2498.89228381696,0.9751774766114965,safe,0.0,False,0.0
1755016049,5,0.0,466.0,336.0,0.721030042918455,safe,0.0,False,0.0
1755016049,5,0.02,470.66,457.9428401474653,0.9729801558395984,safe,0.0,False,0.0
1755016049,5,0.05,477.65,457.9161076406701,0.9586854551254478,safe,0.0,False,0.0
1755016049,5,0.1,489.3,464.845070145437,0.9500205807182444,safe,0.0,False,0.0
1755016049,5,0.2,512.6,477.16609642302046,0.9308741639153736,safe,0.0,False,0.0
1755016049,5,0.3,535.9,481.3447529337474,0.8981988298819695,safe,0.0,False,0.0
1755016049,5,0.4,559.2,523.0274034526966,0.9353136685491712,safe,0.0,False,0.0
1755016049,5,0.5,582.5,533.477531374139,0.915841255577921,safe,0.0,False,0.0
1755016050,5,0.0,139.0,133.0,0.9568345323741008,safe,0.0,False,0.0
1755016050,5,0.02,139.60000000000002,133.37896203341825,0.9554366907837982,safe,0.0,False,0.0
1755016050,5,0.05,140.5,133.96822601929284,0.9535105054753938,safe,0.0,False,0.0
1755016050,5,0.1,142.0,134.89217911179549,0.9499449233225036,safe,0.0,False,0.0
1755016050,5,0.2,145.0,136.67909494873038,0.9426144479222784,safe,0.0,False,0.0
1755016050,5,0.3,148.0,138.53810563751358,0.9360682813345512,safe,0.0,False,0.0
1755016050,5,0.4,151.0,140.5894046461617,0.9310556599083556,safe,0.0,False,0.0
