seeds,num_tasks,per_jitter,final_e2e_max,max_reaction_time,R,exceed,false_percentage,inserted
1754657734,3,0,18,16.02175260115217,0.8900973667306761,safe,0,FALSE
1754657735,3,0,2014,1083.277342871928,0.5378735565401828,safe,0,FALSE
1754657736,3,0,2102,1235.981462860309,0.5880025988869215,safe,0,FALSE
1754657737,3,0,3583.8425106433724,3583.8425106433724,1,safe,0,FALSE
1754657738,3,0,320,309.464393009363,0.9670762281542593,safe,0,FALSE
1754657739,3,0,150,147.32041795587813,0.9821361197058542,safe,0,FALSE
1754657740,3,0,233.01380318352258,232.02962978780613,0.9957763300616946,safe,0,FALSE
1754657741,3,0,403.0183907153971,214.36560701938853,0.5319003101542552,safe,0,FALSE
1754657742,3,0,837.7275779631889,837.7275779631889,1,safe,0,FALSE
1754657743,3,0,540,511.8613605844843,0.9478914084897858,safe,0,FALSE
1754657744,3,0,2300,1544.953236359761,0.6717187984172873,safe,0,FALSE
1754657745,3,0,160,153.76830800103093,0.9610519250064433,safe,0,FALSE
1754657746,3,0,2440,2370.237467308425,0.9714087980772234,safe,0,FALSE
1754657747,3,0,160,147.59079413899073,0.9224424633686921,safe,0,FALSE
1754657748,3,0,34,30.246495359721827,0.8896028046977008,safe,0,FALSE
1754657749,3,0,302,301.24025547315057,0.997484289646194,safe,0,FALSE
1754657750,3,0,37.098471127299746,36.7841683588963,0.9915278781347904,safe,0,FALSE
1754657751,3,0,206,130.89000672278996,0.6353883821494658,safe,0,FALSE
1754657752,3,0,2163.4633318215747,1592.430704319344,0.7360562487456455,safe,0,FALSE
1754657753,3,0,424,257.24412291097883,0.6067078370541954,safe,0,FALSE
1754657754,3,0,2012,1348.026182193548,0.6699931323029563,safe,0,FALSE
1754657755,3,0,700,542.9781768146024,0.7756831097351463,safe,0,FALSE
1754657756,3,0,130,122.04409625156954,0.9388007403966888,safe,0,FALSE
1754657757,3,0,502,452.8646988300588,0.9021209140041012,safe,0,FALSE
1754657758,3,0,144,126.91695312219045,0.8813677300152114,safe,0,FALSE
1754657759,3,0,34,29.861066820761724,0.8782666711988742,safe,0,FALSE
1754657760,3,0,424,308.71175525102876,0.7280937623845019,safe,0,FALSE
1754657761,3,0,198.29406001389012,198.29406001389012,1,safe,0,FALSE
1754657762,3,0,2050,1810.9261008797303,0.8833785857949904,safe,0,FALSE
