seeds,num_tasks,per_jitter,final_e2e_max,max_reaction_time,R,exceed,false_percentage,finalpercent_x,finalpercent_y,finalpercent
1755016063,10,0.0,2770.0,2146.775169900595,0.775009086606713,safe,0.27,0.229,0.229,0.229
1755016064,10,0.0,2666.0,2490.7794666838345,0.9342758689736812,safe,0.27,0.229,0.229,0.229
1755016065,10,0.0,4191.54674602951,3786.4811085182623,0.9033612978562268,safe,0.27,0.229,0.229,0.229
1755016066,10,0.0,2834.0,1609.316240831573,0.5678603531515783,safe,0.27,0.229,0.229,0.229
1755016067,10,0.0,846.0,751.0316643984366,0.8877442841589086,safe,0.27,0.229,0.229,0.229
1755016068,10,0.0,0.0,525.1221801687951,,,0.27,0.229,0.229,0.229
1755016069,10,0.0,3676.775778862024,2715.6901140002,0.7386063979241934,safe,0.27,0.229,0.229,0.229
1755016070,10,0.0,0.0,611.5654427828877,,,0.27,0.229,0.229,0.229
1755016071,10,0.0,452.4205529392959,399.5157024363061,0.8830626721989611,safe,0.27,0.229,0.229,0.229
1755016072,10,0.0,3102.0,2012.140308197152,0.648659029077096,safe,0.27,0.229,0.229,0.229
1755016073,10,0.0,3103.4108673180053,2210.0705938216133,0.7121424420774731,safe,0.27,0.229,0.229,0.229
1755016074,10,0.0,0.0,1086.548405038509,,,0.27,0.229,0.229,0.229
1755016075,10,0.0,1076.520621585885,849.0137045203256,0.7886645991691216,safe,0.27,0.229,0.229,0.229
1755016076,10,0.0,4172.156509825726,3073.3611640096547,0.7366361153450668,safe,0.27,0.229,0.229,0.229
1755016077,10,0.0,0.0,1313.056922182898,,,0.27,0.229,0.229,0.229
1755016078,10,0.0,3182.0,2520.886781077101,0.792233432142395,safe,0.27,0.229,0.229,0.229
1755016079,10,0.0,3044.0,2620.6875430105742,0.8609354609101755,safe,0.27,0.229,0.229,0.229
1755016080,10,0.0,0.0,5018.164426612141,,,0.27,0.229,0.229,0.229
1755016081,10,0.0,1270.9022803663493,1270.9022803663495,1.0000000000000002,safe,0.27,0.229,0.229,0.229
1755016082,10,0.0,339.1898435358694,321.96008536918714,0.9492032014075912,safe,0.27,0.229,0.229,0.229
1755016083,10,0.0,2510.0,2012.8676456351327,0.8019393010498537,safe,0.27,0.229,0.229,0.229
1755016084,10,0.0,0.0,1103.2383989590278,,,0.27,0.229,0.229,0.229
