seeds,num_tasks,per_jitter,final_e2e_max,max_reaction_time,R,exceed,false_percentage,finalpercent_x,finalpercent_y,finalpercent
1755016063,3,0.2,57.2,53.4063778033169,0.9336779336244212,safe,0.12,0.135,0.135,0.135
1755016064,3,0.2,125.4,116.87532734738966,0.932020154285404,safe,0.12,0.135,0.135,0.135
1755016065,3,0.2,2422.2,2374.964553576894,0.9804989487147612,safe,0.12,0.135,0.135,0.135
1755016066,3,0.2,20.175446717072525,19.218749457786544,0.952581111451851,safe,0.12,0.135,0.135,0.135
1755016067,3,0.2,2312.2,2233.7079108827816,0.9660530710504204,safe,0.12,0.135,0.135,0.135
1755016068,3,0.2,2314.4,2259.564019657821,0.976306610636805,safe,0.12,0.135,0.135,0.135
1755016069,3,0.2,2530.0,2404.747259454077,0.9504929879265126,safe,0.12,0.135,0.135,0.135
1755016070,3,0.2,455.4,433.8137035556397,0.95259926121133,safe,0.12,0.135,0.135,0.135
1755016071,3,0.2,2750.0,2638.194167396701,0.9593433335988004,safe,0.12,0.135,0.135,0.135
1755016072,3,0.2,116.6,115.4302494510348,0.9899678340569024,safe,0.12,0.135,0.135,0.135
1755016073,3,0.2,37.4,32.71435836463604,0.8747154642950814,safe,0.12,0.135,0.135,0.135
1755016074,3,0.2,495.0,470.2782073055141,0.950056984455584,safe,0.12,0.135,0.135,0.135
1755016075,3,0.2,921.7899775350488,892.841555079729,0.96859542503084,safe,0.12,0.135,0.135,0.135
1755016076,3,0.2,486.2000000000001,469.16428572830046,0.9649615091079812,safe,0.12,0.135,0.135,0.135
1755016077,3,0.2,0.0,1050.6772907340855,,,0.12,0.135,0.135,0.135
1755016078,3,0.2,495.0,484.0558913732357,0.9778906896429004,safe,0.12,0.135,0.135,0.135
1755016079,3,0.2,136.39999999999998,129.9266350969865,0.9525413130277604,safe,0.12,0.135,0.135,0.135
1755016080,3,0.2,2204.4,2058.083423497663,0.9336252147966172,safe,0.12,0.135,0.135,0.135
1755016081,3,0.2,2226.4,2121.200844453806,0.9527492114866178,safe,0.12,0.135,0.135,0.135
1755016082,3,0.2,235.4,230.668380424122,0.979899661954639,safe,0.12,0.135,0.135,0.135
1755016083,3,0.2,0.0,206.1965687156803,,,0.12,0.135,0.135,0.135
1755016084,3,0.2,246.4,237.65757924313948,0.9645193962789752,safe,0.12,0.135,0.135,0.135
1755016085,3,0.2,446.6,423.4617187408877,0.9481901449639222,safe,0.12,0.135,0.135,0.135
1755016086,3,0.2,2206.6,2188.466872216726,0.9917823222227528,safe,0.12,0.135,0.135,0.135
1755016087,3,0.2,264.0,245.0545500322403,0.928236931940304,safe,0.12,0.135,0.135,0.135
