seeds,num_tasks,per_jitter,final_e2e_max,max_reaction_time,R,exceed,false_percentage,finalpercent
1755016082,10,0.2,0.0,2457.373827662684,,,0.8,0.69
1755016083,10,0.2,0.0,924.8500662737824,,,0.8,0.69
1755016084,10,0.2,0.0,3500.7611550675865,,,0.8,0.69
1755016085,10,0.2,0.0,6083.042203496622,,,0.8,0.69
1755016086,10,0.2,0.0,6760.648793665474,,,0.8,0.69
1755016087,10,0.2,2826.4,2589.845183940004,0.91630525896547,safe,0.5,0.69
1755016088,10,0.2,0.0,4403.328389907598,,,0.5,0.69
1755016089,10,0.2,3326.4,2862.950019943776,0.8606752104208079,safe,0.5,0.69
1755016090,10,0.2,0.0,336.5713332782525,,,0.5,0.69
1755016091,10,0.2,0.0,3113.812837276986,,,0.5,0.69
1755016092,10,0.2,0.0,3111.5840931644734,,,0.5,0.69
1755016093,10,0.2,4212.6,4103.05198086903,0.9739951528436188,safe,0.5,0.69
1755016094,10,0.2,629.2,571.632166604526,0.9085063042029974,safe,0.5,0.69
1755016095,10,0.2,4369.4,4312.8362583769485,0.9870545746273972,safe,0.5,0.69
1755016096,10,0.2,0.0,2988.224259572496,,,0.5,0.69
1755016097,10,0.2,0.0,3112.298102132132,,,0.7,0.69
1755016098,10,0.2,0.0,5837.137741424997,,,0.7,0.69
1755016099,10,0.2,2945.8,2744.019080435801,0.9315021659433096,safe,0.7,0.69
1755016100,10,0.2,0.0,1219.9760071634664,,,0.7,0.69
1755016101,10,0.2,0.0,1165.7461860516305,,,0.7,0.69
1755016102,10,0.2,0.0,6877.520501302026,,,0.7,0.69
1755016103,10,0.2,2602.6000000000004,2391.190713256477,0.9187699659019736,safe,0.7,0.69
1755016104,10,0.2,3412.8,3260.232522790913,0.9552955118351244,safe,0.7,0.69
1755016105,10,0.2,0.0,5076.234811802045,,,0.7,0.69
1755016106,10,0.2,0.0,6294.274387331476,,,0.7,0.69
1755016107,10,0.2,3795.0,3378.7559945977555,0.8903177851377485,safe,0.6,0.69
1755016108,10,0.2,0.0,4664.447669266164,,,0.6,0.69
1755016109,10,0.2,850.0,801.4083186457842,0.9428333160538638,safe,0.6,0.69
1755016110,10,0.2,0.0,835.8280035395201,,,0.6,0.69
1755016111,10,0.2,0.0,1103.5240202861885,,,0.6,0.69
1755016112,10,0.2,0.0,6230.436670013876,,,0.6,0.69
1755016113,10,0.2,0.0,4545.809513216071,,,0.6,0.69
1755016114,10,0.2,3381.8,3120.1647833430325,0.922634331818272,safe,0.6,0.69
1755016115,10,0.2,2793.9999999999995,2675.2890453948417,0.957512185180688,safe,0.6,0.69
1755016116,10,0.2,0.0,857.6548527235573,,,0.6,0.69
1755016117,10,0.2,0.0,496.80297624778177,,,0.6,0.69
1755016118,10,0.2,0.0,3425.862492947308,,,0.6,0.69
1755016119,10,0.2,0.0,1069.1922041000398,,,0.6,0.69
1755016120,10,0.2,0.0,1083.1736548555564,,,0.6,0.69
1755016121,10,0.2,0.0,2726.6115559325285,,,0.6,0.69
