seeds,num_tasks,final_e2e_max,letG2023,R,exceed,false_percentage,run_time_our,run_time_G
1755020037,3,2404,2202,0.9159733777038269,safe,0.0,5.3803003538632765e-05,0.002423601999907987
1755020038,3,70,55,0.7857142857142857,safe,0.0,2.7547997888177633e-05,6.189799751155078e-05
1755020039,3,142,131,0.9225352112676056,safe,0.0,2.6271001843269914e-05,0.00047150099999271333
1755020040,3,400,305,0.7625,safe,0.0,2.4716002371860668e-05,0.00014172200098983012
1755020041,3,150,135,0.9,safe,0.0,1.787799919839017e-05,8.784199962974526e-05
1755020042,3,302,251,0.8311258278145696,safe,0.0,2.5715999072417617e-05,0.0005564729981415439
1755020043,3,104,102,0.9807692307692307,safe,0.0,2.6740999601315707e-05,0.0005591070002992637
1755020044,3,2044,2022,0.9892367906066536,safe,0.0,2.4564000341342762e-05,0.005762360000517219
1755020045,3,52,46,0.8846153846153846,safe,0.0,2.8244998247828335e-05,0.0001381679976475425
1755020046,3,244,222,0.9098360655737705,safe,0.0,3.58260003849864e-05,0.00039544500032206997
1755020047,3,2210,2105,0.9524886877828054,safe,0.0,2.4832002964103594e-05,0.001138291998358909
1755020048,3,2042,2021,0.9897159647404505,safe,0.0,2.3246000637300313e-05,0.01499718799823313
1755020049,3,4000,3050,0.7625,safe,0.0,2.470100298523903e-05,0.00014612900122301653
1755020050,3,2210,2105,0.9524886877828054,safe,0.0,2.477100133546628e-05,0.002218845998868346
1755020051,3,212,206,0.9716981132075472,safe,0.0,2.8550002753036097e-05,0.0008268349993159063
1755020052,3,440,420,0.9545454545454546,safe,0.0,2.2778000129619613e-05,0.00021268800264806487
1755020053,3,62,51,0.8225806451612904,safe,0.0,2.7890000637853518e-05,0.00014602000010199845
1755020054,3,34,28,0.8235294117647058,safe,0.0,1.881500065792352e-05,4.529899888439104e-05
1755020055,3,2140,2080,0.9719626168224299,safe,0.0,2.5794997782213613e-05,0.0005484769972099457
1755020056,3,610,505,0.8278688524590164,safe,0.0,2.359899735893123e-05,0.0002717710012802854
1755020057,3,40,32,0.8,safe,0.0,2.0629999198717996e-05,6.194399975356646e-05
1755020058,3,502,451,0.898406374501992,safe,0.0,2.747499820543453e-05,0.0012588069985213224
1755020059,3,430,415,0.9651162790697675,safe,0.0,1.5467998309759423e-05,0.00022276399977272376
1755020060,3,2800,2400,0.8571428571428571,safe,0.0,2.5450997782172635e-05,7.588199878227897e-05
1755020061,3,224,212,0.9464285714285714,safe,0.0,2.4107001081574708e-05,0.0003317890004836954
1755020062,3,2120,2060,0.9716981132075472,safe,0.0,2.5340003048768267e-05,0.0009487290008109994
1755020063,3,2300,2200,0.9565217391304348,safe,0.0,2.9475999326677993e-05,0.00012203100050101057
1755020064,3,152,151,0.993421052631579,safe,0.0,2.517100074328482e-05,0.00030567299836548045
1755020065,3,412,406,0.9854368932038835,safe,0.0,2.3233998945215717e-05,0.0022848849985166453
1755020066,3,2110,2055,0.9739336492890995,safe,0.0,2.622199826873839e-05,0.0019327480003994424
1755020067,3,34,28,0.8235294117647058,safe,0.0,1.780599995981902e-05,4.1843002691166475e-05
1755020068,3,206,203,0.9854368932038835,safe,0.0,1.4040000678505749e-05,0.0010667850001482293
1755020069,3,208,204,0.9807692307692307,safe,0.0,1.7031998140737414e-05,0.00034496399894123897
1755020070,3,2110,2055,0.9739336492890995,safe,0.0,3.1912000849843025e-05,0.0017271069991693366
1755020071,3,40,30,0.75,safe,0.0,1.7192000086652115e-05,3.214000025764108e-05
1755020072,3,212,206,0.9716981132075472,safe,0.0,2.824400144163519e-05,0.0004411939989950042
1755020073,3,2120,2060,0.9716981132075472,safe,0.0,9.921699893311597e-05,0.0010633960009727161
1755020074,3,130,115,0.8846153846153846,safe,0.0,2.4008997570490465e-05,9.038799908012152e-05
1755020075,3,16,14,0.875,safe,0.0,2.6116998924408108e-05,0.00010794899935717694
1755020076,3,260,230,0.8846153846153846,safe,0.0,2.593099998193793e-05,0.00012916600098833442
1755020077,3,200,160,0.8,safe,0.0,2.6611996872816235e-05,9.547199806547724e-05
1755020078,3,2104,2052,0.9752851711026616,safe,0.0,2.6005000108852983e-05,0.004757809001603164
1755020079,3,2300,2150,0.9347826086956522,safe,0.0,2.3633001546841115e-05,0.0001179450009658467
1755020080,3,2044,2022,0.9892367906066536,safe,0.0,2.6673002139432356e-05,0.005835624000610551
1755020081,3,242,221,0.9132231404958677,safe,0.0,2.346900146221742e-05,0.0005785230023320764
1755020082,3,2044,2022,0.9892367906066536,safe,0.0,2.5299003027612343e-05,0.004132108999328921
1755020083,3,244,222,0.9098360655737705,safe,0.0,2.471599873388186e-05,0.0003037330025108531
1755020084,3,620,510,0.8225806451612904,safe,0.0,2.3959997633937746e-05,0.00010393599950475618
1755020085,3,320,260,0.8125,safe,0.0,2.339399725315161e-05,0.0006633029988734052
1755020086,3,80,62,0.775,safe,0.0,1.690900171524845e-05,5.486400186782703e-05
1755020087,3,214,208,0.9719626168224299,safe,0.0,2.3354001314146444e-05,0.00023792099818820134
1755020088,3,2030,2015,0.9926108374384236,safe,0.0,1.592000262462534e-05,0.002737755003181519
1755020089,3,700,650,0.9285714285714286,safe,0.0,5.172199962544255e-05,0.00017342100181849673
1755020090,3,260,230,0.8846153846153846,safe,0.0,2.1062001906102523e-05,6.27329973212909e-05
1755020091,3,2402,2201,0.9163197335553706,safe,0.0,1.9086000975221395e-05,0.003188337999745272
1755020092,3,2060,2030,0.9854368932038835,safe,0.0,2.922999919974245e-05,0.001528241999039892
1755020093,3,520,460,0.8846153846153846,safe,0.0,2.9028000426478684e-05,0.0001424550027877558
1755020094,3,800,800,1.0,safe,0.0,1.7144000594271347e-05,3.260899757151492e-05
1755020095,3,180,150,0.8333333333333334,safe,0.0,1.8625996744958684e-05,6.388200199580751e-05
1755020096,3,224,212,0.9464285714285714,safe,0.0,2.308600232936442e-05,0.00019902699932572432
1755020097,3,2410,2205,0.9149377593360996,safe,0.0,1.790000169421546e-05,0.0006735349998052698
1755020098,3,2044,2022,0.9892367906066536,safe,0.0,6.387000030372292e-05,0.006385800999851199
1755020099,3,700,550,0.7857142857142857,safe,0.0,2.0572999346768484e-05,4.7860998165560886e-05
1755020100,3,114,108,0.9473684210526315,safe,0.0,2.3608998162671924e-05,0.0001939310022862628
1755020101,3,26,23,0.8846153846153846,safe,0.0,3.249600194976665e-05,9.835300079430453e-05
1755020102,3,2300,2200,0.9565217391304348,safe,0.0,3.0032999347895384e-05,0.00012750799942295998
1755020103,3,406,403,0.9926108374384236,safe,0.0,3.013199966517277e-05,0.003971227000874933
1755020104,3,502,451,0.898406374501992,safe,0.0,2.9789000109303743e-05,0.0012320639980316628
1755020105,3,2404,2202,0.9159733777038269,safe,0.0,3.4291002521058545e-05,0.0032492209975316655
1755020106,3,304,252,0.8289473684210527,safe,0.0,2.8521997592179105e-05,0.0003128749995084945
1755020107,3,122,111,0.9098360655737705,safe,0.0,2.8174999897601083e-05,0.0003956539985665586
1755020108,3,106,103,0.9716981132075472,safe,0.0,2.8032998670823872e-05,0.00049744100033422
1755020109,3,4000,4000,1.0,safe,0.0,2.8120997740188614e-05,4.2534000385785475e-05
1755020110,3,122,111,0.9098360655737705,safe,0.0,3.4367996704531834e-05,0.00037615999826812185
1755020111,3,502,451,0.898406374501992,safe,0.0,2.691899862838909e-05,0.0013472620012180414
1755020112,3,112,106,0.9464285714285714,safe,0.0,2.5976001779781654e-05,0.00037599799907184206
1755020113,3,2120,2060,0.9716981132075472,safe,0.0,2.8731999918818474e-05,0.0010802789984154515
1755020114,3,304,252,0.8289473684210527,safe,0.0,2.647100336616859e-05,0.00031191900052363053
1755020115,3,2060,2030,0.9854368932038835,safe,0.0,2.7295001927996054e-05,0.0014789870001550298
1755020116,3,130,115,0.8846153846153846,safe,0.0,2.709600084926933e-05,9.909899745252915e-05
1755020117,3,2800,2400,0.8571428571428571,safe,0.0,2.4564000341342762e-05,6.330500036710873e-05
1755020118,3,400,302,0.755,safe,0.0,1.9177001377101988e-05,0.0003083060000790283
1755020119,3,222,211,0.9504504504504504,safe,0.0,2.2626001737080514e-05,0.0006768940002075396
1755020120,3,412,406,0.9854368932038835,safe,0.0,2.8338999982224777e-05,0.0023702790022070985
