seeds,num_tasks,per_jitter,final_e2e_max,letG2023,R,exceed,false_percentage
1756823806,3,0,502,451,0.898406374501992,safe,0.0
1756823807,3,0,62,51,0.8225806451612904,safe,0.0
1756823808,3,0,3020,3010,0.9966887417218543,safe,0.0
1756823809,3,0,800,602,0.7525,safe,0.0
1756823810,3,0,112,106,0.9464285714285714,safe,0.0
1756823811,3,0,2202,2101,0.9541326067211626,safe,0.0
1756823812,3,0,2202,2101,0.9541326067211626,safe,0.0
1756823813,3,0,212,206,0.9716981132075472,safe,0.0
1756823814,3,0,106,103,0.9716981132075472,safe,0.0
1756823815,3,0,640,520,0.8125,safe,0.0
1756823816,3,0,260,230,0.8846153846153846,safe,0.0
1756823817,3,0,140,120,0.8571428571428571,safe,0.0
1756823818,3,0,450,425,0.9444444444444444,safe,0.0
1756823819,3,0,602,501,0.8322259136212624,safe,0.0
1756823820,3,0,220,210,0.9545454545454546,safe,0.0
1756823821,3,0,64,52,0.8125,safe,0.0
1756823822,3,0,46,43,0.9347826086956522,safe,0.0
1756823823,3,0,610,505,0.8278688524590164,safe,0.0
1756823824,3,0,430,415,0.9651162790697675,safe,0.0
1756823825,3,0,2006,2003,0.9985044865403788,safe,0.0
1756823826,3,0,424,412,0.9716981132075472,safe,0.0
1756823827,3,0,244,222,0.9098360655737705,safe,0.0
1756823828,3,0,320,310,0.96875,safe,0.0
1756823829,3,0,610,505,0.8278688524590164,safe,0.0
1756823830,3,0,700,650,0.9285714285714286,safe,0.0
1756823831,3,0,444,422,0.9504504504504504,safe,0.0
1756823832,3,0,400,300,0.75,safe,0.0
1756823833,3,0,40,30,0.75,safe,0.0
1756823834,3,0,104,102,0.9807692307692307,safe,0.0
1756823835,3,0,2300,2150,0.9347826086956522,safe,0.0
1756823836,3,0,2022,2011,0.9945598417408507,safe,0.0
1756823837,3,0,130,120,0.9230769230769231,safe,0.0
1756823838,3,0,700,550,0.7857142857142857,safe,0.0
1756823839,3,0,640,520,0.8125,safe,0.0
1756823840,3,0,214,208,0.9719626168224299,safe,0.0
1756823841,3,0,406,403,0.9926108374384236,safe,0.0
1756823842,3,0,610,505,0.8278688524590164,safe,0.0
1756823843,3,0,144,132,0.9166666666666666,safe,0.0
1756823844,3,0,2220,2110,0.9504504504504504,safe,0.0
1756823845,3,0,510,455,0.8921568627450981,safe,0.0
1756823846,3,0,34,28,0.8235294117647058,safe,0.0
1756823847,3,0,4000,3010,0.7525,safe,0.0
1756823848,3,0,2024,2012,0.9940711462450593,safe,0.0
1756823849,3,0,700,550,0.7857142857142857,safe,0.0
1756823850,3,0,104,102,0.9807692307692307,safe,0.0
1756823851,3,0,2024,2012,0.9940711462450593,safe,0.0
1756823852,3,0,520,460,0.8846153846153846,safe,0.0
1756823853,3,0,16,15,0.9375,safe,0.0
1756823854,3,0,130,115,0.8846153846153846,safe,0.0
1756823855,3,0,2300,2150,0.9347826086956522,safe,0.0
1756823856,3,0,2240,2120,0.9464285714285714,safe,0.0
1756823857,3,0,224,212,0.9464285714285714,safe,0.0
1756823858,3,0,64,52,0.8125,safe,0.0
1756823859,3,0,130,115,0.8846153846153846,safe,0.0
1756823860,3,0,302,251,0.8311258278145696,safe,0.0
1756823861,3,0,16,14,0.875,safe,0.0
1756823862,3,0,620,510,0.8225806451612904,safe,0.0
1756823863,3,0,140,120,0.8571428571428571,safe,0.0
1756823864,3,0,2110,2055,0.9739336492890995,safe,0.0
1756823865,3,0,3020,3010,0.9966887417218543,safe,0.0
1756823866,3,0,106,103,0.9716981132075472,safe,0.0
1756823867,3,0,400,320,0.8,safe,0.0
1756823868,3,0,2220,2110,0.9504504504504504,safe,0.0
1756823869,3,0,242,221,0.9132231404958677,safe,0.0
1756823870,3,0,310,255,0.8225806451612904,safe,0.0
1756823871,3,0,480,440,0.9166666666666666,safe,0.0
1756823872,3,0,40,32,0.8,safe,0.0
