seeds,num_tasks,final_e2e_max,max_reaction_time,R,exceed,false_percentage
1756819363,3,28.324267600625312,24.99210317328692,0.8823565546575747,safe,0.1
1756819364,3,201.14061698333205,138.20524009975338,0.6871075676933319,safe,0.1
1756819365,3,1404.4563883611459,1396.2991434534533,0.994191884507563,safe,0.1
1756819366,3,95.02883241301068,90.85400492047302,0.9560677808352608,safe,0.1
1756819367,3,414.9348469691225,411.0301798357814,0.9905896861594956,safe,0.1
1756819368,3,94.3994629556316,89.63387274811566,0.9495167656858832,safe,0.1
1756819369,3,320.11252303077805,271.4591588720957,0.8480116813361768,safe,0.1
1756819370,3,0,1554.1854010274255,,,0.1
1756819371,3,281.22634149339706,244.38112056747855,0.8689837490675332,safe,0.1
1756819372,3,262.9842513392023,239.19632665383733,0.9095462007164725,safe,0.1
1756819363,5,415.3704013449535,334.4862305917965,0.8052721847987793,safe,0.3
1756819364,5,599.6173015313933,483.81192893197476,0.8068678600439693,safe,0.3
1756819365,5,194.5953825261937,175.20050771602837,0.9003322969004434,safe,0.3
1756819366,5,1343.9018458761373,1131.6616381373897,0.8420716450460854,safe,0.3
1756819367,5,1440.6327721504495,1440.6327721504495,1.0,safe,0.3
1756819368,5,1112.8643893479257,1070.5249814724734,0.9619545667192562,safe,0.3
1756819369,5,0,218.3383517213108,,,0.3
1756819370,5,48.78128832505293,43.4162459811987,0.8900184368214222,safe,0.3
1756819371,5,0,354.980502512768,,,0.3
1756819372,5,0,478.5966357472296,,,0.3
