seeds,num_tasks,per_jitter,final_e2e_max,max_reaction_time,R,exceed,false_percentage,mrt,let,rm
1756737094,3,0,1975.5232609710788,1398.8106808589466,0.7080709746598245,safe,0.0,1985.5534102821632,3638.706358017298,1.005077211445313
1756737094,3,0.02,1995.5632609710788,1975.7613493006752,0.9900770313536602,safe,0.0,2054.4197813395695,3638.706358017298,1.0294936880827572
1756737094,3,0.05,2025.6232609710787,1995.9577603204662,0.9853548775716611,safe,0.0,2133.2676344861547,3638.706358017298,1.0531413592987038
1756737094,3,0.1,2075.723260971079,2028.6788295253982,0.9773358846382671,safe,0.0,2276.9129018336935,3638.706358017298,1.0969250789088776
1756737094,3,0.2,2175.923260971079,2137.6729482641394,0.9824211113539597,safe,0.0,2619.870411784094,3638.706358017298,1.2040270255739114
1756737094,3,0.3,2276.1232609710787,2132.565204940844,0.936928698681728,safe,0.0,4636.706358017297,3638.706358017298,2.037106881478425
1756737094,3,0.4,0,2207.640331989003,,,1.0,5735.953152427634,3638.706358017298,
1756737094,3,0.5,0,2310.3194518950204,,,1.0,,,
1756737094,5,0,119.58030530933489,119.3882067343154,0.9983935600889916,safe,0.0,,,
1756737094,5,0.02,120.6203053093349,120.22904638629097,0.9967562764657201,safe,0.0,,,
1756737094,5,0.05,122.1803053093349,121.71717067609507,0.9962094166316963,safe,0.0,,,
1756737094,5,0.1,124.7803053093349,123.81190889551476,0.99223918861699,safe,0.0,,,
1756737094,5,0.2,0,127.89036600811767,,,1.0,,,
1756737094,5,0.3,0,167.5144003426308,,,1.0,,,
1756737094,5,0.4,0,167.54392425729048,,,1.0,,,
1756737094,5,0.5,0,183.71787480275788,,,1.0,,,
1756737094,8,0,1091.8801825112303,548.8002797868246,0.5026195076868519,safe,0.0,455.4481968929291,2128.642571066938,0.4171228713442143
1756737094,8,0.02,1113.5801825112303,1048.89621186371,0.9419135041522994,safe,0.0,678.6425710669473,2128.642571066938,0.609424073564728
1756737094,8,0.05,1146.1301825112303,1098.2493878227274,0.9582239474894609,safe,0.0,3578.6425710669564,2128.642571066938,3.1223700637792873
1756737094,8,0.1,1200.3801825112303,1128.1329751878366,0.9398130622481201,safe,0.0,,,
1756737094,8,0.2,1308.88018251123,1246.2741547201713,0.9521682514354047,safe,0.0,,,
1756737094,8,0.3,1417.3801825112303,1280.936393276097,0.9037352215596876,safe,0.0,,,
1756737094,8,0.4,1525.88018251123,1426.5667211193067,0.93491398438082,safe,0.0,,,
1756737094,8,0.5,1634.3801825112303,1413.616764274686,0.8649252966972834,safe,0.0,,,
1756737094,10,0,451.77450609327855,305.85332914566754,0.6770044015775374,safe,0.0,,,
1756737094,10,0.02,460.01450609327856,359.6936963982125,0.7819181604792182,safe,0.0,,,
1756737094,10,0.05,472.3745060932785,365.6428840719973,0.7740529587339643,safe,0.0,,,
1756737094,10,0.1,492.97450609327853,374.7093005365159,0.7600987391944666,safe,0.0,,,
1756737094,10,0.2,0,393.7330102652613,,,1.0,,,
1756737094,10,0.3,0,413.984056456894,,,1.0,,,
1756737094,10,0.4,0,433.34317521900266,,,1.0,,,
1756737094,10,0.5,0,443.7677656650876,,,1.0,,,
