seeds,num_tasks,per_jitter,max_reaction_time
1753367712,3,0,418.2234711557729
1753367713,3,0,418.2234711557729
1753367714,3,0.02,418.2607982146146
1753367715,3,0.02,418.2317667177467
1753367716,3,0.05,428.28205569078636
1753367717,3,0.05,429.39494423833094
1753367718,3,0.1,439.3155160130191
1753367719,3,0.1,440.2027647427385
1753367720,3,0.2,460.46899674244196
1753367721,3,0.2,460.2950669017446
1753367722,3,0.3,469.4961817987987
1753367723,3,0.3,472.08974784082966
1753367724,3,0.4,489.1738155388375
1753367725,3,0.4,491.1301385450861
1753367726,3,0.5,511.50564119021146
1753367727,3,0.5,510.6953599083354
1753367728,5,0,1053.355635047283
1753367729,5,0,1053.355635047283
1753367730,5,0.02,1057.2659310128147
1753367731,5,0.02,1057.1086168613838
1753367732,5,0.05,1062.816401093325
1753367733,5,0.05,1062.5457304729716
1753367734,5,0.1,1072.4833957571245
1753367735,5,0.1,1072.2788111840928
1753367736,5,0.2,1287.3515020742489
1753367737,5,0.2,1261.402242513399
1753367738,5,0.3,1298.1269460533658
1753367739,5,0.3,1290.9074790201266
1753367740,5,0.4,1316.7330680956948
1753367741,5,0.4,1319.1891411231481
1753367742,5,0.5,1330.3070793322768
1753367743,5,0.5,1344.2306809232314
