seeds,num_tasks,per_jitter,max_reaction_time,final_e2e_max_write,R_write,exceed_write,false_percentage_write,final_e2e_max_read,R_read,exceed_read,false_percentage_read
1753283007,3,0.02,676.4845949765477,808.0,0.8372334096244402,safe,0.01,808.0,0.8372334096244402,safe,0.0
1753283008,3,0.02,142.77876340673402,161.60000000000002,0.8835319517743441,safe,0.01,161.6,0.8835319517743442,safe,0.0
1753283009,3,0.02,416.5196278461684,426.22,0.9772409268597635,safe,0.01,426.22,0.9772409268597635,safe,0.0
1753283010,3,0.02,233.608652756604,242.40000000000006,0.963732065827574,safe,0.01,242.40000000000006,0.963732065827574,safe,0.0
1753283011,3,0.02,65.96978583361022,70.7,0.9330945662462548,safe,0.01,70.7,0.9330945662462548,safe,0.0
1753283012,3,0.02,235.8787975269588,246.44000000000005,0.9571449339675326,safe,0.01,246.44000000000005,0.9571449339675326,safe,0.0
1753283013,3,0.02,16.08774257875575,16.6351676949728,0.9670922995033899,safe,0.01,16.635167694972797,0.96709229950339,safe,0.0
1753283014,3,0.02,148.86577988613953,151.50000000000003,0.9826124084893697,safe,0.01,151.5,0.9826124084893698,safe,0.0
1753283015,3,0.02,121.72227843689552,131.3,0.9270546720250991,safe,0.01,131.29999999999998,0.9270546720250993,safe,0.0
1753283016,3,0.02,473.73479887065696,484.8,0.9771757402447544,safe,0.01,484.8,0.9771757402447544,safe,0.0
1753283017,3,0.02,2252.0963675264175,2426.0200000000004,0.9283090689798176,safe,0.01,2426.0200000000004,0.9283090689798176,safe,0.0
1753283018,3,0.02,228.71871718993862,232.3,0.9845833714590555,safe,0.01,232.3,0.9845833714590555,safe,0.0
1753283019,3,0.02,141.2301755659267,145.44,0.9710545624719932,safe,0.01,145.44,0.9710545624719932,safe,0.0
1753283020,3,0.02,1688.7942955767135,2034.14,0.8302252035635272,safe,0.01,2034.14,0.8302252035635272,safe,0.0
1753283021,3,0.02,429.5909167370278,434.3,0.9891570728460229,safe,0.01,434.3,0.9891570728460229,safe,0.0
1753283022,3,0.02,406.8869513050406,412.08000000000004,0.9873979598743947,safe,0.01,412.0799999999999,0.9873979598743949,safe,0.0
1753283023,3,0.02,505.21343805564663,509.0400000000001,0.9924827873166088,safe,0.01,509.0400000000001,0.9924827873166088,safe,0.0
1753283024,3,0.02,79.9548628184325,80.82754220586861,0.9892031928273486,safe,0.01,80.82754220586861,0.9892031928273486,safe,0.0
1753283025,3,0.02,2028.718844762042,2062.42,0.9836594121284907,safe,0.01,2062.42,0.9836594121284907,safe,0.0
1753283026,3,0.02,392.09461456308554,404.0,0.9705312241660533,safe,0.01,404.0,0.9705312241660533,safe,0.0
1753283027,3,0.02,2234.582354345657,2262.4000000000005,0.9877043645445795,safe,0.01,2262.4,0.9877043645445797,safe,0.0
1753283028,3,0.02,419.47583410085736,428.24,0.9795344528788935,safe,0.01,428.24,0.9795344528788935,safe,0.0
1753283029,3,0.02,442.2546104429275,454.50000000000006,0.9730574487193123,safe,0.01,454.50000000000006,0.9730574487193123,safe,0.0
1753283030,3,0.02,408.2312795995979,410.98884856530924,0.9932904044103933,safe,0.01,410.98884856530924,0.9932904044103933,safe,0.0
1753283031,3,0.02,2339.134949888123,2464.4,0.9491701630774725,safe,0.01,2464.4,0.9491701630774725,safe,0.0
1753283032,3,0.02,2257.075777623194,2464.3999999999996,0.9158723330722263,safe,0.01,2464.3999999999996,0.9158723330722263,safe,0.0
1753283033,3,0.02,2177.7531656011997,2262.4,0.9625853808350423,safe,0.01,2262.4000000000005,0.9625853808350421,safe,0.0
1753283034,3,0.02,293.5202009122095,323.20000000000005,0.9081689384659946,safe,0.01,323.20000000000005,0.9081689384659946,safe,0.0
1753283035,3,0.02,574.2878708057846,616.1,0.932134184070418,safe,0.01,616.1000000000001,0.9321341840704178,safe,0.0
1753283036,3,0.02,144.22330075600985,145.44,0.9916343561331811,safe,0.01,145.44000000000005,0.9916343561331806,safe,0.0
1753283037,3,0.02,133.0107045744494,138.066271115475,0.9633830442425924,safe,0.01,138.066271115475,0.9633830442425924,safe,0.0
1753283038,3,0.02,4068.9035159139894,4105.930921375717,0.9909819706734566,safe,0.01,4105.930921375717,0.9909819706734566,safe,0.0
1753283039,3,0.02,511.3036245883932,525.2,0.9735407931995299,safe,0.01,525.2,0.9735407931995299,safe,0.0
1753283040,3,0.02,1873.1387328715941,2044.2400000000002,0.9163007928969171,safe,0.01,2044.2400000000002,0.9163007928969171,safe,0.0
1753283041,3,0.02,7.643800963571209,8.080000000000002,0.9460149707390109,safe,0.01,8.080000000000002,0.9460149707390109,safe,0.0
1753283042,3,0.02,279.8632524047207,305.0200000000001,0.917524268588029,safe,0.01,305.0200000000001,0.917524268588029,safe,0.0
1753283043,3,0.02,114.5892209216986,123.22000000000003,0.9299563457368818,safe,0.01,123.22000000000001,0.9299563457368819,safe,0.0
1753283044,3,0.02,393.3774102589107,394.75307430531853,0.9965151277191984,safe,0.01,394.7530743053185,0.9965151277191985,safe,0.0
1753283045,3,0.02,271.47562299292986,313.1,0.86705724366953,safe,0.01,313.1,0.86705724366953,safe,0.0
1753283046,3,0.02,422.4987850754502,434.30000000000007,0.9728270436920334,safe,0.01,434.3,0.9728270436920335,safe,0.0
1753283047,3,0.02,284.9098365187333,343.40000000000003,0.8296733736713258,safe,0.01,343.4,0.8296733736713259,safe,0.0
1753283048,3,0.02,17.429163073183418,18.18,0.9586998390089889,safe,0.01,18.18,0.9586998390089889,safe,0.0
1753283049,3,0.02,219.11803377627007,224.22000000000003,0.9772457130330481,safe,0.01,224.22000000000003,0.9772457130330481,safe,0.0
1753283050,3,0.02,2637.438992688465,2783.573502003737,0.9475011135110757,safe,0.01,2783.5735020037364,0.9475011135110758,safe,0.0
1753283051,3,0.02,4227.566263787216,4227.672085424112,0.999974969289302,safe,0.01,4227.672085424112,0.999974969289302,safe,0.0
1753283052,3,0.02,1950.3245134685412,2044.2400000000002,0.9540584830883561,safe,0.01,2044.2400000000002,0.9540584830883561,safe,0.0
1753283053,3,0.02,2161.078051637627,2232.1000000000004,0.9681815562195362,safe,0.01,2232.1000000000004,0.9681815562195362,safe,0.0
1753283054,3,0.02,2023.098112367501,2024.0400000000002,0.9995346496944234,safe,0.01,2024.0400000000002,0.9995346496944234,safe,0.0
1753283055,3,0.02,221.78289681936894,226.24000000000004,0.9802992256867438,safe,0.01,226.24,0.9802992256867439,safe,0.0
1753283056,3,0.02,2476.5023764776706,2828.0000000000005,0.8757080539171394,safe,0.01,2828.0,0.8757080539171396,safe,0.0
1753283057,3,0.02,2406.694635327191,2428.04,0.9912088084739918,safe,0.01,2428.04,0.9912088084739918,safe,0.0
1753283058,3,0.02,112.2878126185989,113.12,0.9926433223002025,safe,0.01,113.11999999999999,0.9926433223002026,safe,0.0
1753283059,3,0.02,2275.566977607581,2323.0,0.9795811354315889,safe,0.01,2323.0,0.9795811354315889,safe,0.0
1753283060,3,0.02,2048.385215260132,2062.4200000000005,0.9931949919318721,safe,0.01,2062.42,0.9931949919318723,safe,0.0
1753283061,3,0.02,2023.2234029984756,2024.0400000000006,0.9995965509567375,safe,0.01,2024.0400000000006,0.9995965509567375,safe,0.0
1753283062,3,0.02,407.93843625838963,410.06000000000006,0.994826211428546,safe,0.01,410.06000000000006,0.994826211428546,safe,0.0
1753283063,3,0.02,653.5495256202801,707.0,0.9243981974827158,safe,0.01,707.0,0.9243981974827158,safe,0.0
1753283064,3,0.02,104.95850451525922,107.06,0.9803708622759127,safe,0.01,107.06,0.9803708622759127,safe,0.0
1753283065,3,0.02,228.67649671875733,244.42000000000002,0.9355883181358208,safe,0.01,244.42000000000002,0.9355883181358208,safe,0.0
1753283066,3,0.02,450.738428002574,464.6,0.9701645028036461,safe,0.01,464.59999999999997,0.9701645028036462,safe,0.0
1753283067,3,0.02,142.34098976905443,151.5,0.9395444869244517,safe,0.01,151.5,0.9395444869244517,safe,0.0
1753283068,3,0.02,506.3615997757697,545.4000000000001,0.9284224418330943,safe,0.01,545.4,0.9284224418330945,safe,0.0
1753283069,3,0.02,409.96465984328825,412.08000000000004,0.9948666759932251,safe,0.01,412.08,0.9948666759932252,safe,0.0
1753283070,3,0.02,183.7878620151787,184.76443227499382,0.994714511620063,safe,0.01,184.76443227499382,0.994714511620063,safe,0.0
1753283071,3,0.02,407.39042853556515,412.08000000000004,0.9886197547455958,safe,0.01,412.08,0.9886197547455959,safe,0.0
1753283072,3,0.02,122.71879934366893,131.3,0.9346443209723452,safe,0.01,131.29999999999998,0.9346443209723454,safe,0.0
1753283073,3,0.02,574.7933322291501,707.0,0.8130032987682463,safe,0.01,707.0,0.8130032987682463,safe,0.0
1753283074,3,0.02,2084.0186675602454,2123.0200000000004,0.9816293146368121,safe,0.01,2123.0200000000004,0.9816293146368121,safe,0.0
1753283075,3,0.02,779.1231793092411,781.1104698023653,0.9974558137805694,safe,0.01,781.1104698023652,0.9974558137805695,safe,0.0
1753283076,3,0.02,447.05090620104454,454.50000000000006,0.9836103546777657,safe,0.01,454.50000000000006,0.9836103546777657,safe,0.0
1753283077,3,0.02,3862.1761757064087,3862.729187968066,0.9998568337994338,safe,0.01,3862.729187968066,0.9998568337994338,safe,0.0
1753283078,3,0.02,106.11383372067704,107.06,0.9911622802230248,safe,0.01,107.06,0.9911622802230248,safe,0.0
1753283079,3,0.02,210.97456916465376,216.14000000000001,0.9761014581505216,safe,0.01,216.14000000000001,0.9761014581505216,safe,0.0
1753283080,3,0.02,421.2953304446055,424.20000000000005,0.9931525941645579,safe,0.01,424.2,0.993152594164558,safe,0.0
1753283081,3,0.02,21.72631622799645,22.00314278489805,0.9874187719632669,safe,0.01,22.00314278489805,0.9874187719632669,safe,0.0
1753283082,3,0.02,3397.8960476790335,3413.7602199061994,0.9953528744829062,safe,0.01,3413.7602199061985,0.9953528744829064,safe,0.0
1753283083,3,0.02,422.3347611377751,428.24,0.9862104453992506,safe,0.01,428.23999999999995,0.9862104453992507,safe,0.0
1753283084,3,0.02,420.11131875713806,423.75941736471174,0.9913911090631081,safe,0.01,423.75941736471174,0.9913911090631081,safe,0.0
1753283085,3,0.02,28.307061522195028,32.32,0.8758372995728659,safe,0.01,32.32,0.8758372995728659,safe,0.0
