seeds,num_tasks,final_e2e_max,letG2023,R,exceed,false_percentage,run_time_our,run_time_G,finalpercent
1755016037,8,1184,812,0.6858108108108109,safe,0.115,6.901099914102815e-05,0.0015307189969462,0.1216
1755016038,8,2656,2329,0.8768825301204819,safe,0.115,0.0009549749993311,0.2056521550002799,0.1216
1755016039,8,664,533,0.802710843373494,safe,0.115,5.3812997066415846e-05,0.0122648630022013,0.1216
1755016040,8,0,830,,,0.115,5.858000076841563e-05,0.0003355820008437,0.1216
1755016041,8,1200,920,0.7666666666666667,safe,0.115,5.9058002079837024e-05,0.0003507289984554,0.1216
1755016042,8,736,569,0.7730978260869565,safe,0.115,4.4666998292086646e-05,0.0045909100008429,0.1216
1755016043,8,2618,2310,0.8823529411764706,safe,0.115,6.20480022917036e-05,0.0750574100020458,0.1216
1755016044,8,2218,2120,0.9558160504959424,safe,0.115,5.3173000196693465e-05,0.0760231579988612,0.1216
1755016045,8,438,344,0.7853881278538812,safe,0.115,5.235000207903795e-05,0.0027907509975193,0.1216
1755016046,8,822,661,0.8041362530413625,safe,0.115,5.718600004911423e-05,0.0035812700007227,0.1216
1755016047,8,0,808,,,0.115,5.269800021778792e-05,0.0017551319979247,0.1216
1755016048,8,3072,2536,0.8255208333333334,safe,0.115,5.612799941445701e-05,0.0636841319974337,0.1216
1755016049,8,2750,2375,0.8636363636363636,safe,0.115,6.079499871702865e-05,0.0117021990008652,0.1216
1755016050,8,2636,2319,0.879742033383915,safe,0.115,6.206900070537813e-05,0.1542186789993138,0.1216
1755016051,8,5224,4312,0.8254211332312404,safe,0.115,3.792699862970039e-05,0.0289471590003813,0.1216
1755016052,8,4020,3176,0.7900497512437811,safe,0.115,6.605199814657681e-05,0.0859176310004841,0.1216
1755016053,8,0,2236,,,0.115,3.8004000089131296e-05,0.0761451350008428,0.1216
1755016054,8,306,253,0.826797385620915,safe,0.115,5.1783998060273007e-05,0.0041445839997322,0.1216
1755016055,8,2348,2174,0.9258943781942078,safe,0.115,0.0001342680006928,0.0977701600022555,0.1216
1755016056,8,2230,2115,0.9484304932735426,safe,0.115,6.263099930947646e-05,0.5105486300017219,0.1216
