seeds,num_tasks,per_jitter,final_e2e_max,max_reaction_time,R,exceed,false_percentage,finalpercent_x,finalpercent_y,finalpercent
1755016010,10,0.2,0.0,3223.217582824778,,,0.6,0.655,0.655,0.655
1755016011,10,0.2,0.0,4438.697130276702,,,0.6,0.655,0.655,0.655
1755016012,10,0.2,0.0,4752.722318901462,,,0.6,0.655,0.655,0.655
1755016013,10,0.2,2871.0,2671.9019557349384,0.9306520221995606,safe,0.6,0.655,0.655,0.655
1755016014,10,0.2,3214.2,2799.068612868687,0.870844568747647,safe,0.6,0.655,0.655,0.655
1755016015,10,0.2,0.0,6107.533802644402,,,0.6,0.655,0.655,0.655
1755016016,10,0.2,7355.516357697325,7276.570374585421,0.9892671052210644,safe,0.6,0.655,0.655,0.655
1755016017,10,0.2,0.0,902.7022378789552,,,0.6,0.655,0.655,0.655
1755016018,10,0.2,0.0,1051.2321100094923,,,0.6,0.655,0.655,0.655
1755016019,10,0.2,0.0,1911.162977838263,,,0.6,0.655,0.655,0.655
1755016020,10,0.2,3632.2,3149.412144620537,0.8670811476847468,safe,0.6,0.655,0.655,0.655
1755016021,10,0.2,0.0,8408.89844846995,,,0.6,0.655,0.655,0.655
1755016022,10,0.2,0.0,4382.47635120347,,,0.6,0.655,0.655,0.655
1755016023,10,0.2,3346.2000000000003,3051.7050990588687,0.9119912435176822,safe,0.6,0.655,0.655,0.655
1755016024,10,0.2,4629.49053572303,4355.56797048985,0.9408309482178476,safe,0.6,0.655,0.655,0.655
1755016025,10,0.2,0.0,4714.488014504284,,,0.6,0.655,0.655,0.655
1755016026,10,0.2,0.0,4263.946733992072,,,0.6,0.655,0.655,0.655
1755016027,10,0.2,0.0,4494.882003763043,,,0.6,0.655,0.655,0.655
1755016028,10,0.2,5414.395681780079,5335.228217709293,0.985378337911802,safe,0.6,0.655,0.655,0.655
1755016029,10,0.2,0.0,6068.105315653207,,,0.6,0.655,0.655,0.655
1755016030,10,0.2,0.0,5198.943061661029,,,0.6,0.655,0.655,0.655
1755016031,10,0.2,0.0,4762.002707121894,,,0.6,0.655,0.655,0.655
1755016032,10,0.2,0.0,332.23838897849043,,,0.6,0.655,0.655,0.655
1755016033,10,0.2,0.0,922.7776614839312,,,0.6,0.655,0.655,0.655
1755016034,10,0.2,3232.0314728775984,2883.908699346613,0.8922897946841346,safe,0.6,0.655,0.655,0.655
1755016035,10,0.2,6030.778726647002,5956.14433933673,0.9876244195495848,safe,0.6,0.655,0.655,0.655
1755016036,10,0.2,0.0,6334.066145025575,,,0.6,0.655,0.655,0.655
1755016037,10,0.2,3103.33222870314,2919.90016254822,0.940891901789202,safe,0.6,0.655,0.655,0.655
1755016038,10,0.2,0.0,725.7110044945584,,,0.6,0.655,0.655,0.655
1755016039,10,0.2,5600.194168116742,5380.755958536962,0.9608159640554796,safe,0.6,0.655,0.655,0.655
1755016040,10,0.2,0.0,4319.830681866464,,,0.6,0.655,0.655,0.655
1755016041,10,0.2,6587.149559610361,6171.58571073573,0.936912947684884,safe,0.6,0.655,0.655,0.655
