seeds,num_tasks,final_e2e_max,mrt,R,exceed,false_percentage,adjust,inserted,run_time_our,run_time_G,finalpercent
1755016010,10,563.6929231559282,494.5497785310782,0.8773389876215926,safe,0.0,,False,0.0001518819990451,0.0696721540007274,0.0
1755016011,10,414.7875371808179,331.74212706961185,0.7997880778298213,safe,0.0,False,False,0.0001617620000615,0.0285913389998313,0.0
1755016012,10,1643.0034019082073,1287.8720174258617,0.7838523133489006,safe,0.0,False,False,4.672599970945157e-05,0.1365330190001259,0.0
1755016013,10,2600.345760204834,2489.285016073951,0.9572900089555264,safe,0.0,,False,4.953099960403051e-05,0.0519191719995433,0.0
1755016014,10,172.05058696215838,152.44551661943703,0.8860505465928263,safe,0.0,,False,0.0001884480006992,0.0146069450001959,0.0
1755016015,10,2328.9168115105595,2006.079844652167,0.8613789186188247,safe,0.0,,False,0.0008114149986795,0.072256882000147,0.0
1755016016,10,1356.2179762867072,1237.611504377886,0.9125461585212408,safe,0.0,False,False,0.0001803540017135,0.8614960649993009,0.0
1755016017,10,1404.4626089175908,1348.197217592991,0.9599381350793216,safe,0.0,,False,0.0002050539987976,0.3861008250005397,0.0
1755016018,10,618.08825245453,543.1963590916231,0.8788330095815624,safe,0.0,False,False,8.00220004748553e-05,0.010651955000867,0.0
1755016019,10,1417.3502557518907,1237.8120362597538,0.8733282625352944,safe,0.0,False,False,0.0001434549994883,0.3755677179997292,0.0
1755016020,10,1692.0340600461982,1228.851712471817,0.7262570780863982,safe,0.0,False,False,0.0004811279995919,0.0057747890004975,0.0
1755016021,10,175.3426144805052,151.90842654852884,0.8663520103118925,safe,0.0,False,False,0.000193867001144,0.0141225480001594,0.0
1755016022,10,1588.0998781020548,1420.6613458645588,0.8945667495185489,safe,0.0,False,False,4.2407998989801854e-05,0.0114185490001545,0.0
1755016023,10,432.50223544440064,375.3063792617045,0.867755929344673,safe,0.0,,False,9.503299952484669e-05,0.0388241370001196,0.0
1755016024,10,1268.4963740569804,1220.777224500615,0.9623813275841324,safe,0.0,False,False,0.0001441189997422,0.6812889490011003,0.0
1755016025,10,759.5230723938528,718.1930291901404,0.9455842163247932,safe,0.0,,False,3.9774000470060855e-05,0.002987216999827,0.0
1755016026,10,1366.460937415126,1312.9918359288126,0.9608703768821534,safe,0.0,False,False,0.0001810079993447,0.8290947139994387,0.0
1755016027,10,1630.2622808451245,1305.5403350002298,0.8008161326798535,safe,0.0,False,False,0.0004716759995062,0.5594421160003549,0.0
1755016028,10,331.61924849796424,238.8366210016409,0.720213383521696,safe,0.0,False,False,0.0002575809994596,0.032008186000894,0.0
1755016029,10,2891.8099887157205,2825.877941100888,0.9772004219253304,safe,0.0,,False,4.987799911759794e-05,0.0643200759986939,0.0
1755016030,10,1496.5026666243086,1354.6777026134375,0.9052290602790648,safe,0.0,False,False,0.000255904998994,0.1641143699998792,0.0
1755016031,10,386.0338403799743,266.15099449882433,0.6894499047981159,safe,0.0,,False,6.907500028319191e-05,0.0221684470016043,0.0
1755016032,10,1244.5995161289404,1177.9638341747082,0.9464601415228826,safe,0.0,False,False,0.0002095849995384,0.5859779599995818,0.0
1755016033,10,265.548332458008,227.89685932646685,0.8582123533481609,safe,0.0,False,False,0.0002374259984208,0.0246119450002879,0.0
1755016034,10,1492.2510108723438,1399.792369881959,0.9380408253593108,safe,0.0,,False,6.983700041018892e-05,0.1118607700009306,0.0
1755016035,10,557.100366649318,469.8708474855824,0.8434222549728735,safe,0.0,,False,0.0001344100001006,0.0067063700007565,0.0
1755016036,10,1474.973612182201,1212.6523471007988,0.8221518928102709,safe,0.0,False,False,0.0001201079994643,0.4515706679994764,0.0
1755016037,10,2166.7335656235614,1953.8504604843497,0.901749292798745,safe,0.0,,False,0.0002929010006482,0.2520645370004786,0.0
1755016038,10,2120.545517180378,2046.1141434517035,0.9648998933879792,safe,0.0,,False,6.413600021915045e-05,0.203839355999662,0.0
1755016039,10,1574.5793673143485,1279.4668570571357,0.8125769228384049,safe,0.0,False,False,0.0001258339998457,0.4537451969990798,0.0
1755016040,10,562.2608390507734,496.7094211510261,0.8834145767462424,safe,0.0,,False,0.0001321759991697,0.0367497790011839,0.0
1755016041,10,1106.6381828895542,1063.4233749070358,0.9609494696182634,safe,0.0,False,False,0.0002081040001939,1.2980225820010671,0.0
1755016042,10,2341.079535754784,1426.8661967882028,0.6094906964910823,safe,0.0,True,False,0.003979282999353,0.4125045780001528,0.0
1755016043,10,1792.5372804066274,1728.7524538790713,0.9644164574847298,safe,0.0,,False,0.0005369650007196,0.2710941120003554,0.0
1755016044,10,164.834957890189,147.8007741977362,0.8966591558581841,safe,0.0,False,False,8.153000089805573e-05,0.0098054379996028,0.0
1755016045,10,593.0148393101608,461.07730344762655,0.7775139387472767,safe,0.0,False,False,9.173199941869824e-05,0.0026017279997176,0.0
1755016046,10,1770.9777802397737,1226.0425961655271,0.6922969953917392,safe,0.0,True,False,0.0046798160001344,0.4484230380003282,0.0
1755016047,10,2598.238445760996,2379.28905485004,0.9157316022060368,safe,0.0,,False,0.0002670069989108,0.967613602999336,0.0
1755016048,10,417.26718524719325,300.6641802006054,0.7205555357114626,safe,0.0,False,False,8.395999975618906e-05,0.0261621709996688,0.0
1755016049,10,1820.5545185793203,1737.7359745299404,0.9545091656392648,safe,0.0,False,False,0.0010306280000804,0.0774301790006575,0.0
1755016050,10,1147.44826618626,1133.7233307618276,0.9880387327002988,safe,0.0,False,False,0.0002566310013207,1.229613898000025,0.0
