num_tasks,run_time_our_avg,run_time_G_avg,run_time_our_median,run_time_our_q1,run_time_our_q3,run_time_our_lower_whisker,run_time_our_upper_whisker,run_time_our_min,run_time_our_max,run_time_G_median,run_time_G_q1,run_time_G_q3,run_time_G_lower_whisker,run_time_G_upper_whisker,run_time_G_min,run_time_G_max,data_count
3,4.631914542987896e-05,0.012033835236262488,4.220902337692678e-05,3.544853825587779e-05,4.9660258810035884e-05,1.5222001820802689e-05,7.097783964127302e-05,1.5222001820802689e-05,0.0040682809776626,0.0005143314774612999,0.00014300549810282502,0.0024542077444493,1.8221966456621885e-05,0.0059210111139690125,1.8221966456621885e-05,1.248112578992732,10000
5,6.800171714857989e-05,0.09085150142368509,6.0104968724772334e-05,4.938873462378979e-05,7.153999467846006e-05,1.677300315350294e-05,0.00010476688476046547,1.677300315350294e-05,0.0080995929893106,0.0080438965233042,0.00179270726221145,0.05038534825143868,3.512197872623801e-05,0.12327430973527953,3.512197872623801e-05,3.508128707006108,10000
8,9.231367776518298e-05,0.34544321487335256,8.14214872661978e-05,5.938997492194176e-05,0.000100523509900025,2.2094056475907564e-05,0.00016222381236714986,2.2094056475907564e-05,0.0087621179991401,0.0880369064980186,0.01680462947115295,0.47793032147455955,0.0001457720063626,1.1696188594796695,0.0001457720063626,5.387121387000661,10000
10,9.881957364848898e-05,0.5925144393417519,8.381149382330477e-05,6.072878022678197e-05,0.000110637731268,2.699298784136772e-05,0.00018550115782982703,2.699298784136772e-05,0.0113655870081856,0.29794816800858825,0.04489550503785717,0.9207414000266,0.0002982949954457,2.2345102425097143,0.0002982949954457,6.51505507301772,10000
