num_tasks,run_time_our,run_time_G
3,4.631914542987896e-05,0.01203383523626249
5,6.800171714857989e-05,0.09085150142368507
8,9.231367776518298e-05,0.3454432148733525
10,9.881957364848898e-05,0.5925144393417519
