seeds,num_tasks,final_e2e_max,let,R,exceed,false_percentage,adjusted,inserted,run_time_G,run_time_our
1755017037,3,2014,2008,0.997020854021847,safe,0.0,False,False,0.010320730001694756,3.870900036417879e-05
1755017038,3,406,403,0.9926108374384236,safe,0.0,False,False,0.0017544499969517346,1.350299862679094e-05
1755017039,3,2044,2022,0.9892367906066536,safe,0.0,False,False,0.0031298300018534064,1.6707999748177826e-05
1755017040,3,700,550,0.7857142857142857,safe,0.0,False,False,2.5790002837311476e-05,1.1751999409170821e-05
1755017041,3,222,211,0.9504504504504504,safe,0.0,False,False,0.00029858799825888127,1.3214001228334382e-05
1755017042,3,70,55,0.7857142857142857,safe,0.0,False,False,2.226899960078299e-05,1.2292999599594623e-05
1755017043,3,2200,2100,0.9545454545454546,safe,0.0,False,False,0.00010185100109083578,1.1579002602957189e-05
1755017044,3,2060,2030,0.9854368932038835,safe,0.0,False,False,0.0006535480024467688,1.1846997949760407e-05
1755017045,3,2042,2021,0.9897159647404505,safe,0.0,False,False,0.006302484001935227,1.4380999346030876e-05
1755017046,3,62,51,0.8225806451612904,safe,0.0,False,False,6.585600203834474e-05,1.2185999366920441e-05
1755017047,3,142,131,0.9225352112676056,safe,0.0,False,False,0.0002572939993115142,1.5117002476472408e-05
1755017048,3,3010,3005,0.9983388704318937,safe,0.0,False,False,0.0006747289990016725,1.5535002603428438e-05
1755017049,3,2220,2110,0.9504504504504504,safe,0.0,False,False,0.000344883999787271,1.4262001059250906e-05
1755017050,3,32,31,0.96875,safe,0.0,False,False,3.552599810063839e-05,1.1768999684136361e-05
1755017051,3,160,140,0.875,safe,0.0,False,False,4.042300133733079e-05,1.2052001693518832e-05
1755017052,3,32,26,0.8125,safe,0.0,False,False,4.3626001570373774e-05,1.3334996765479445e-05
1755017053,3,260,230,0.8846153846153846,safe,0.0,False,False,4.755199915962294e-05,1.2563999916892499e-05
1755017054,3,130,115,0.8846153846153846,safe,0.0,False,False,4.318100036471151e-05,1.3606000720756128e-05
1755017055,3,800,602,0.7525,safe,0.0,,False,0.0002574280006228946,1.3193999620852992e-05
1755017056,3,2006,2003,0.9985044865403788,safe,0.0,False,False,0.045994632000656566,3.4028998925350606e-05
1755017057,3,144,132,0.9166666666666666,safe,0.0,False,False,0.00015413300207001157,1.4109999028733e-05
1755017058,3,280,240,0.8571428571428571,safe,0.0,False,False,3.685100091388449e-05,1.4236000424716622e-05
1755017059,3,2014,2008,0.997020854021847,safe,0.0,False,False,0.009226952999597415,1.5189998521236703e-05
1755017060,3,7,6,0.8571428571428571,safe,0.0,False,False,2.140099968528375e-05,1.2958000297658145e-05
1755017061,3,414,408,0.9855072463768116,safe,0.0,False,False,0.0005351449981390033,2.03059971681796e-05
1755017062,3,32,26,0.8125,safe,0.0,False,False,4.705900209955871e-05,1.367399818263948e-05
1755017063,3,214,208,0.9719626168224299,safe,0.0,False,False,0.0001875060006568674,1.192399940919131e-05
1755017064,3,206,203,0.9854368932038835,safe,0.0,False,False,0.0005562099977396429,1.5890000213403255e-05
1755017065,3,2008,2004,0.99800796812749,safe,0.0,False,False,0.022334930999932112,2.412599860690534e-05
1755017066,3,540,480,0.8888888888888888,safe,0.0,False,False,4.8170997615670785e-05,1.3843000488122925e-05
1755017067,3,2500,2250,0.9,safe,0.0,False,False,7.758500214549713e-05,1.4014000043971464e-05
1755017068,3,224,212,0.9464285714285714,safe,0.0,False,False,0.00015450999853783287,1.2143998901592568e-05
1755017069,3,430,420,0.9767441860465116,safe,0.0,False,False,9.123199924943037e-05,1.3543998647946864e-05
1755017070,3,2300,2200,0.9565217391304348,safe,0.0,False,False,5.126999894855544e-05,1.6148998838616535e-05
1755017071,3,604,602,0.9966887417218543,safe,0.0,False,False,0.0002543949995015282,1.5528003132203594e-05
1755017072,3,2022,2011,0.9945598417408507,safe,0.0,False,False,0.010419982998428168,1.8427999748382717e-05
1755017073,3,114,108,0.9473684210526315,safe,0.0,False,False,8.858799992594868e-05,1.4871002349536866e-05
1755017074,3,2210,2105,0.9524886877828054,safe,0.0,False,False,0.000639091002085479,1.5059998986544088e-05
1755017075,3,106,103,0.9716981132075472,safe,0.0,False,False,0.00021900700085097924,1.3082000805297866e-05
1755017076,3,224,212,0.9464285714285714,safe,0.0,False,False,0.00016635000065434724,1.383600101689808e-05
1755017077,3,2102,2051,0.9757373929590866,safe,0.0,False,False,0.004082094998011598,1.558599979034625e-05
1755017078,3,800,600,0.75,safe,0.0,False,False,1.8286998965777457e-05,1.1063002602895722e-05
1755017079,3,122,111,0.9098360655737705,safe,0.0,False,False,0.0001522210004623048,1.3526998372981325e-05
1755017080,3,250,225,0.9,safe,0.0,False,False,7.22680015314836e-05,1.2516997230704874e-05
1755017081,3,62,51,0.8225806451612904,safe,0.0,False,False,5.967400284134783e-05,1.2721997336484492e-05
1755017082,3,2210,2105,0.9524886877828054,safe,0.0,False,False,0.0006432779991882853,1.4863002434140071e-05
1755017083,3,4000,3001,0.75025,safe,0.0,,False,0.002617153000755934,1.622900163056329e-05
1755017084,3,16,15,0.9375,safe,0.0,False,False,2.652100010891445e-05,1.178499951492995e-05
1755017085,3,302,301,0.9966887417218543,safe,0.0,False,False,0.00025111099967034534,1.3054999726591632e-05
1755017086,3,2102,2051,0.9757373929590866,safe,0.0,False,False,0.004065125998749863,1.541500023449771e-05
1755017087,3,510,455,0.8921568627450981,safe,0.0,False,False,0.00011840600200230256,1.211600101669319e-05
1755017088,3,212,206,0.9716981132075472,safe,0.0,False,False,0.0003657909983303398,1.1552001524250954e-05
1755017089,3,2800,2400,0.8571428571428571,safe,0.0,False,False,2.825199771905318e-05,1.2126001820433885e-05
1755017090,3,2050,2025,0.9878048780487805,safe,0.0,False,False,0.0012894930005131755,1.4971999917179346e-05
1755017091,3,406,403,0.9926108374384236,safe,0.0,False,False,0.0017571230018802453,1.3329998182598501e-05
1755017092,3,104,102,0.9807692307692307,safe,0.0,False,False,0.00028617999851121567,1.2001000868622214e-05
1755017093,3,2404,2202,0.9159733777038269,safe,0.0,False,False,0.0014558639995811973,1.4705001376569271e-05
1755017094,3,115,110,0.9565217391304348,safe,0.0,False,False,4.193000131635927e-05,1.2587999663082883e-05
1755017095,3,55,50,0.9090909090909091,safe,0.0,False,False,2.2665000869892538e-05,1.2642001820495352e-05
1755017096,3,430,415,0.9651162790697675,safe,0.0,False,False,0.0001650949998293072,1.3452001439873129e-05
1755017097,3,260,230,0.8846153846153846,safe,0.0,False,False,4.029999763588421e-05,1.2440999853424728e-05
1755017098,3,430,415,0.9651162790697675,safe,0.0,False,False,0.00016405399946961552,1.2798001989722252e-05
1755017099,3,130,120,0.9230769230769231,safe,0.0,False,False,2.463300188537687e-05,1.1207001080038026e-05
1755017100,3,140,120,0.8571428571428571,safe,0.0,False,False,2.459600000292994e-05,1.0925999958999455e-05
1755017101,3,2042,2021,0.9897159647404505,safe,0.0,False,False,0.006461053002567496,1.5939000149955973e-05
1755017102,3,2410,2205,0.9149377593360996,safe,0.0,False,False,0.0005667789992003236,1.4489000022877008e-05
1755017103,3,412,406,0.9854368932038835,safe,0.0,False,False,0.0010458319993631449,1.4343000657390803e-05
1755017104,3,14,12,0.8571428571428571,safe,0.0,False,False,2.5664998247520998e-05,1.050200080499053e-05
1755017105,3,46,43,0.9347826086956522,safe,0.0,False,False,7.035700036794879e-05,1.1601998266996816e-05
1755017106,3,206,203,0.9854368932038835,safe,0.0,False,False,0.0005475600009958725,1.2010998034384102e-05
1755017107,3,502,451,0.898406374501992,safe,0.0,False,False,0.000541256998985773,1.3908997061662376e-05
1755017108,3,2060,2040,0.9902912621359223,safe,0.0,False,False,0.0003380070011189673,1.4137000107439235e-05
1755017109,3,2440,2220,0.9098360655737705,safe,0.0,False,False,0.00015717600035713986,1.1233998520765454e-05
1755017110,3,214,208,0.9719626168224299,safe,0.0,False,False,0.00018801500118570402,1.119599983212538e-05
1755017111,3,32,31,0.96875,safe,0.0,False,False,3.801300044870004e-05,1.2931999663123861e-05
1755017112,3,406,403,0.9926108374384236,safe,0.0,False,False,0.0018144690002372954,1.1595999239943922e-05
1755017113,3,103,102,0.9902912621359223,safe,0.0,False,False,0.0002794379979604855,1.277199771720916e-05
1755017114,3,800,700,0.875,safe,0.0,,False,1.893199805635959e-05,1.2776999938068911e-05
1755017115,3,3100,3050,0.9838709677419355,safe,0.0,False,False,6.879000284243375e-05,1.3641998521052301e-05
1755017116,3,150,135,0.9,safe,0.0,False,False,6.853900049463846e-05,1.0964002285618335e-05
1755017117,3,122,111,0.9098360655737705,safe,0.0,False,False,0.0001437819992133882,1.2884000170743093e-05
1755017118,3,350,300,0.8571428571428571,safe,0.0,False,False,1.8886999896494672e-05,1.2778000382240862e-05
1755017119,3,106,103,0.9716981132075472,safe,0.0,False,False,0.00019830800010822713,1.1987001926172525e-05
1755017120,3,2004,2002,0.999001996007984,safe,0.0,False,False,0.08785967199946754,1.4100001862971112e-05
1755017121,3,150,135,0.9,safe,0.0,False,False,6.418400153052062e-05,1.0746000043582171e-05
1755017122,3,62,51,0.8225806451612904,safe,0.0,False,False,5.656500070472248e-05,1.0957999620586634e-05
1755017123,3,108,104,0.9629629629629629,safe,0.0,False,False,0.00011331300265737809,1.1519001418491825e-05
1755017124,3,144,132,0.9166666666666666,safe,0.0,False,False,0.00014729399845236912,1.2397998943924904e-05
1755017125,3,144,132,0.9166666666666666,safe,0.0,False,False,0.0001446109999960754,1.2357002560747787e-05
1755017126,3,62,51,0.8225806451612904,safe,0.0,False,False,6.021100125508383e-05,1.2517000868683681e-05
1755017127,3,2440,2220,0.9098360655737705,safe,0.0,False,False,0.00015504899783991277,1.2885000614915043e-05
1755017128,3,122,111,0.9098360655737705,safe,0.0,False,False,0.00013914300143369474,1.2247000995557755e-05
1755017129,3,180,150,0.8333333333333334,safe,0.0,False,False,2.7009999030269682e-05,1.105800038203597e-05
1755017130,3,640,520,0.8125,safe,0.0,False,False,3.859999924316071e-05,1.1444000847404823e-05
1755017131,3,242,221,0.9132231404958677,safe,0.0,False,False,0.00026600700221024454,1.4307999663287774e-05
1755017132,3,2410,2205,0.9149377593360996,safe,0.0,False,False,0.0005928849968768191,1.558399890200235e-05
1755017133,3,48,44,0.9166666666666666,safe,0.0,False,False,4.1972998587880284e-05,1.1174000974278897e-05
1755017134,3,3100,3050,0.9838709677419355,safe,0.0,False,False,6.827999823144637e-05,1.5577999874949455e-05
1755017135,3,16,14,0.875,safe,0.0,False,False,3.990700133726932e-05,1.133199839387089e-05
1755017136,3,2220,2110,0.9504504504504504,safe,0.0,False,False,0.0003308669984107837,1.3048000255366787e-05
1755017137,3,610,505,0.8278688524590164,safe,0.0,False,False,0.0001111960009438917,1.2213000445626676e-05
1755017138,3,122,111,0.9098360655737705,safe,0.0,False,False,0.00014048099910723977,1.1104999430244789e-05
1755017139,3,62,61,0.9838709677419355,safe,0.0,False,False,5.788300040876493e-05,1.2151998816989362e-05
1755017140,3,106,103,0.9716981132075472,safe,0.0,False,False,0.00020973199934815057,1.2609998520929366e-05
1755017141,3,28,24,0.8571428571428571,safe,0.0,False,False,3.212699812138453e-05,1.3003998901695013e-05
1755017142,3,215,210,0.9767441860465116,safe,0.0,False,False,8.666400026413612e-05,1.25660008052364e-05
1755017143,3,310,255,0.8225806451612904,safe,0.0,False,False,6.342699998640455e-05,1.1063999409088865e-05
1755017144,3,640,620,0.96875,safe,0.0,,False,4.290200013201684e-05,1.3491000572685152e-05
1755017145,3,160,140,0.875,safe,0.0,False,False,4.1008002881426364e-05,1.1438998626545072e-05
1755017146,3,610,605,0.9918032786885246,safe,0.0,,False,0.0001125819981098175,1.291099761147052e-05
1755017147,3,640,520,0.8125,safe,0.0,False,False,3.80000019504223e-05,1.0693001968320459e-05
1755017148,3,206,203,0.9854368932038835,safe,0.0,False,False,0.0005422930007625837,1.2172000424470752e-05
