seeds,num_tasks,final_e2e_max,let,R,exceed,false_percentage,adjusted,inserted,run_time_G,run_time_our
1755016037,3,302,251,0.8311258278145696,safe,0.0,False,False,0.0008382059750147164,5.8105040807276964e-05
1755016038,3,444,422,0.9504504504504504,safe,0.0,False,False,0.0009844159940257668,3.500800812616944e-05
1755016039,3,430,415,0.9651162790697675,safe,0.0,False,False,0.00051317602628842,3.208802081644535e-05
1755016040,3,2060,2030,0.9854368932038835,safe,0.0,False,False,0.002040039049461484,3.8650003261864185e-05
1755016041,3,2044,2022,0.9892367906066536,safe,0.0,False,False,0.010022949951235205,4.1834020521491766e-05
1755016042,3,310,305,0.9838709677419355,safe,0.0,,False,0.00019010994583368301,3.447395283728838e-05
1755016043,3,510,455,0.8921568627450981,safe,0.0,False,False,0.0004961939994245768,3.985100192949176e-05
1755016044,3,4000,3010,0.7525,safe,0.0,,False,0.0008200719603337348,4.444195656105876e-05
1755016045,3,302,301,0.9966887417218543,safe,0.0,,False,0.0006116319564171135,3.655202453956008e-05
1755016046,3,2220,2110,0.9504504504504504,safe,0.0,False,False,0.0010750140063464642,3.498600563034415e-05
1755016047,3,540,480,0.8888888888888888,safe,0.0,False,False,0.00012875604443252087,3.4325988963246346e-05
1755016048,3,170,160,0.9411764705882353,safe,0.0,,False,7.764302426949143e-05,3.5911041777580976e-05
1755016049,3,106,103,0.9716981132075472,safe,0.0,False,False,0.0006073240074329078,3.48059693351388e-05
1755016050,3,40,30,0.75,safe,0.0,False,False,5.755398888140917e-05,3.291998291388154e-05
1755016051,3,800,600,0.75,safe,0.0,False,False,3.6468030884861946e-05,2.37629865296185e-05
1755016052,3,2006,2003,0.9985044865403788,safe,0.0,False,False,0.14838465896900743,6.064603803679347e-05
1755016053,3,2012,2006,0.9970178926441352,safe,0.0,False,False,0.058229624992236495,5.827296990901232e-05
1755016054,3,214,208,0.9719626168224299,safe,0.0,False,False,0.0005707709933631122,3.529002424329519e-05
1755016055,3,2402,2201,0.9163197335553706,safe,0.0,False,False,0.009214406018145382,4.069402348250151e-05
1755016056,3,414,408,0.9855072463768116,safe,0.0,False,False,0.0015525890048593283,3.836001269519329e-05
1755016057,3,2600,2300,0.8846153846153846,safe,0.0,False,False,0.00013585598208010197,3.250903682783246e-05
1755016058,3,64,62,0.96875,safe,0.0,False,False,0.00010611105244606733,3.1724979635328054e-05
1755016059,3,2404,2202,0.9159733777038269,safe,0.0,False,False,0.0035145709989592433,4.0115031879395247e-05
1755016060,3,310,255,0.8225806451612904,safe,0.0,False,False,0.00043716997606679797,3.0267983675003052e-05
1755016061,3,34,28,0.8235294117647058,safe,0.0,False,False,6.194901652634144e-05,3.01579711958766e-05
1755016062,3,414,408,0.9855072463768116,safe,0.0,False,False,0.0011460100067779422,3.484397893771529e-05
1755016063,3,52,46,0.8846153846153846,safe,0.0,False,False,0.00013467599637806416,2.521101851016283e-05
1755016064,3,114,108,0.9473684210526315,safe,0.0,False,False,0.00018081703456118703,2.6811962015926838e-05
1755016065,3,2202,2101,0.9541326067211626,safe,0.0,False,False,0.01408145303139463,3.065000055357814e-05
1755016066,3,17,16,0.9411764705882353,safe,0.0,False,False,5.578296259045601e-05,2.5312008801847696e-05
1755016067,3,2102,2051,0.9757373929590866,safe,0.0,False,False,0.019796232983935624,4.8732967115938663e-05
1755016068,3,2104,2052,0.9752851711026616,safe,0.0,False,False,0.004421420977450907,3.492302494123578e-05
1755016069,3,2300,2150,0.9347826086956522,safe,0.0,False,False,0.0001779979793354869,3.119697794318199e-05
1755016070,3,414,408,0.9855072463768116,safe,0.0,False,False,0.005122872011270374,3.332400228828192e-05
1755016071,3,2500,2250,0.9,safe,0.0,False,False,0.00015636900207027793,3.0600989703089e-05
1755016072,3,106,103,0.9716981132075472,safe,0.0,False,False,0.00044212001375854015,2.7416972443461418e-05
1755016073,3,34,28,0.8235294117647058,safe,0.0,False,False,6.101798499003053e-05,2.8493988793343306e-05
1755016074,3,450,425,0.9444444444444444,safe,0.0,False,False,0.0002918830141425133,3.070000093430281e-05
