seeds,num_tasks,per_jitter,final_e2e_max,max_reaction_time,R,exceed,false_percentage,adjusted,inserted
1855016107,3,0,242,228.0,0.9421487603305785,safe,0.0,False,False
1855016108,3,0,2220,1464.0,0.6594594594594595,safe,0.0,False,False
1855016109,3,0,3800,2993.0,0.7876315789473685,safe,0.0,,False
1855016110,3,0,504,479.0,0.9503968253968254,safe,0.0,False,False
1855016111,3,0,2402,1725.0,0.7181515403830142,safe,0.0,False,False
1855016112,3,0,230,196.0,0.8521739130434782,safe,0.0,False,False
1855016113,3,0,2600,2542.0,0.9776923076923076,safe,0.0,False,False
1855016114,3,0,2404,2349.0,0.9771214642262895,safe,0.0,False,False
1855016115,3,0,2044,2031.0,0.9936399217221135,safe,0.0,False,False
1855016116,3,0,402,320.0,0.7960199004975125,safe,0.0,,False
1855016107,3,0.02,244.42000000000002,228.34911903804823,0.9342489118650201,safe,0.0,False,False
1855016108,3,0.02,2242.2,2215.055429813715,0.987893778348816,safe,0.0,False,False
1855016109,3,0.02,3821.0,3812.2335889470687,0.9977057285912245,safe,0.0,,False
1855016110,3,0.02,509.03999999999996,482.96659596572135,0.9487792628589529,safe,0.0,False,False
1855016111,3,0.02,2426.02,1742.5460298128244,0.7182735632075681,safe,0.0,False,False
1855016112,3,0.02,232.3,221.15173597944118,0.952009194917956,safe,0.0,False,False
1855016113,3,0.02,2626.0,2544.6353350861464,0.969015740703026,safe,0.0,False,False
1855016114,3,0.02,2428.04,2352.8540542709525,0.9690343051477539,safe,0.0,False,False
1855016115,3,0.02,2064.44,2050.8323419200024,0.9934085475576923,safe,0.0,False,False
1855016116,3,0.02,403.94000000000005,401.8383240779533,0.9947970591621361,safe,0.0,True,False
1855016107,3,0.05,248.05,228.751360761873,0.9221985920656037,safe,0.0,False,False
1855016108,3,0.05,2275.5,2218.5235916257584,0.9749609279831942,safe,0.0,False,False
1855016109,3,0.05,3852.5,3834.8002589404205,0.9954056480053006,safe,0.0,,False
1855016110,3,0.05,516.5999999999999,488.9581212770863,0.9464926853989284,safe,0.0,False,False
1855016111,3,0.05,2462.05,1765.2303322305393,0.7169758259298304,safe,0.0,False,False
1855016112,3,0.05,235.75,231.19395546925634,0.980674254376485,safe,0.0,False,False
1855016113,3,0.05,2665.0,2549.9334585290344,0.956823061361739,safe,0.0,False,False
1855016114,3,0.05,2464.1000000000004,2358.282000415318,0.957056126137461,safe,0.0,False,False
1855016115,3,0.05,2095.1000000000004,2089.7694285711623,0.9974556959434691,safe,0.0,False,False
1855016116,3,0.05,404.0,401.7728587801879,0.9944872742083859,safe,0.0,True,False
1855016107,3,0.1,254.10000000000002,249.40289175168073,0.9815147255083853,safe,0.0,False,False
1855016108,3,0.1,2331.0,2200.5304361896924,0.9440285011538792,safe,0.0,False,False
1855016109,3,0.1,3905.0,3810.0597610528657,0.975687518835561,safe,0.0,,False
1855016110,3,0.1,529.2,496.8026121878065,0.9387804463110477,safe,0.0,False,False
1855016111,3,0.1,2522.1,1811.596329031122,0.7182888581067849,safe,0.0,False,False
1855016112,3,0.1,241.5,231.40251662148899,0.9581884746231428,safe,0.0,False,False
1855016113,3,0.1,2730.0,2558.5859386299853,0.9372109665311301,safe,0.0,False,False
1855016114,3,0.1,2524.2,2363.3767885595953,0.9362874528799602,safe,0.0,False,False
1855016115,3,0.1,2146.2,2128.854410661792,0.9919179995628516,safe,0.0,False,False
1855016116,3,0.1,404.1,399.74412752608487,0.9892208055582401,safe,0.0,True,False
1855016107,3,0.2,266.2,250.69441404837562,0.9417521188894652,safe,0.0,False,False
1855016108,3,0.2,2442.0,2260.525770765299,0.9256862288146188,safe,0.0,False,False
1855016109,3,0.2,4010.0,3934.3782778045206,0.9811417151632221,safe,0.0,,False
1855016110,3,0.2,554.4000000000001,518.4687771497738,0.9351889919728963,safe,0.0,False,False
1855016111,3,0.2,2642.2,1917.147969557708,0.7255877562477133,safe,0.0,False,False
1855016112,3,0.2,253.0,236.12940941133252,0.9333178237602076,safe,0.0,False,False
1855016113,3,0.2,2860.0,2723.87745840603,0.9524047057363741,safe,0.0,False,False
1855016114,3,0.2,2644.3999999999996,2575.109862535959,0.973797406797746,safe,0.0,False,False
1855016115,3,0.2,2248.3999999999996,2210.5112235627894,0.9831485605598602,safe,0.0,False,False
1855016116,3,0.2,404.30000000000007,396.9289075270258,0.9817682600223243,safe,0.0,True,False
1855016107,3,0.3,278.3,273.66349563352196,0.9833399052587924,safe,0.0,False,False
1855016108,3,0.3,2553.0,2406.2061722351636,0.9425014383999858,safe,0.0,False,False
1855016109,3,0.3,4114.9,4062.606520795218,0.987291676783207,safe,0.0,True,False
1855016110,3,0.3,579.5999999999999,530.7868496251394,0.9157813140530358,safe,0.0,False,False
1855016111,3,0.3,2762.3,1980.7570741347486,0.7170680498623424,safe,0.0,False,False
1855016112,3,0.3,264.5,237.35844089745,0.8973854098202269,safe,0.0,False,False
1855016113,3,0.3,2990.0,2800.536409508786,0.9366342506718348,safe,0.0,False,False
1855016114,3,0.3,2764.6000000000004,2586.2466621796484,0.9354867475148839,safe,0.0,False,False
1855016115,3,0.3,2350.6000000000004,2325.9612248553894,0.9895180910641492,safe,0.0,False,False
1855016116,3,0.3,364.6,358.3319102508282,0.9828083111651896,safe,0.0,True,False
1855016107,3,0.4,290.4,274.99742993563405,0.9469608468857923,safe,0.0,False,False
1855016108,3,0.4,2664.0,2371.469857177204,0.8901913878292809,safe,0.0,False,False
1855016109,3,0.4,4119.9,3865.1042595338795,0.938154872577946,safe,0.0,True,False
