seeds,num_tasks,final_e2e_max,let,R,exceed,false_percentage,adjusted,inserted,run_time_G,run_time_our
1755024037,3,604,502,0.8311258278145696,safe,0.0,False,False,0.0008293789578601718,6.637896876782179e-05
1755024038,3,2440,2220,0.9098360655737705,safe,0.0,False,False,0.0004952980089001358,4.091800656169653e-05
1755024039,3,114,108,0.9473684210526315,safe,0.0,False,False,0.0002632460091263056,3.3014046493917704e-05
1755024040,3,800,700,0.875,safe,0.0,,False,6.558600580319762e-05,3.511400427669287e-05
1755024041,3,610,505,0.8278688524590164,safe,0.0,False,False,0.00036874599754810333,3.452098462730646e-05
1755024042,3,2500,2250,0.9,safe,0.0,False,False,0.00022791704395785928,3.540399484336376e-05
1755024043,3,2500,2250,0.9,safe,0.0,False,False,0.00021703203674405813,3.344099968671799e-05
1755024044,3,55,50,0.9090909090909091,safe,0.0,False,False,6.902002496644855e-05,3.393698716536164e-05
1755024045,3,80,70,0.875,safe,0.0,,False,5.351100116968155e-05,3.2979995012283325e-05
1755024046,3,2060,2040,0.9902912621359223,safe,0.0,False,False,0.0010191189940087497,4.1178951505571604e-05
1755024047,3,414,408,0.9855072463768116,safe,0.0,False,False,0.005587324965745211,4.1102000977844e-05
1755024048,3,2410,2205,0.9149377593360996,safe,0.0,False,False,0.0013751060469076037,3.447098424658179e-05
1755024049,3,640,520,0.8125,safe,0.0,False,False,0.00012309802696108818,3.369804471731186e-05
1755024050,3,112,106,0.9464285714285714,safe,0.0,False,False,0.0004924810491502285,3.441097214818001e-05
1755024051,3,16,14,0.875,safe,0.0,False,False,0.00012692197924479842,3.304099664092064e-05
1755024052,3,26,23,0.8846153846153846,safe,0.0,False,False,0.00011367403203621507,3.107305383309722e-05
1755024053,3,2102,2051,0.9757373929590866,safe,0.0,False,False,0.012425158987753093,4.157301736995578e-05
1755024054,3,320,260,0.8125,safe,0.0,False,False,9.849801426753402e-05,2.9026006814092398e-05
1755024055,3,222,211,0.9504504504504504,safe,0.0,False,False,0.0009287240100093186,3.575999289751053e-05
1755024056,3,442,421,0.9524886877828054,safe,0.0,False,False,0.002000174019485712,3.743299748748541e-05
1755024057,3,2800,2400,0.8571428571428571,safe,0.0,False,False,9.123003110289574e-05,3.543304046615958e-05
1755024058,3,602,501,0.8322259136212624,safe,0.0,False,False,0.004519756999798119,5.259696627035737e-05
1755024059,3,142,131,0.9225352112676056,safe,0.0,False,False,0.0008644050103612244,3.4333032090216875e-05
1755024060,3,80,60,0.75,safe,0.0,False,False,5.412101745605469e-05,3.310601459816098e-05
1755024061,3,2015,2010,0.9975186104218362,safe,0.0,False,False,0.010771504021249712,4.214904038235545e-05
1755024062,3,250,225,0.9,safe,0.0,False,False,0.00019472296116873622,3.093300620093942e-05
1755024063,3,112,106,0.9464285714285714,safe,0.0,False,False,0.0004699679557234049,3.1137955375015736e-05
1755024064,3,230,215,0.9347826086956522,safe,0.0,False,False,0.00019799196161329746,2.961797872558236e-05
1755024065,3,2030,2015,0.9926108374384236,safe,0.0,False,False,0.006243373965844512,4.6756991650909185e-05
1755024066,3,2200,2100,0.9545454545454546,safe,0.0,False,False,0.00028613401809707284,4.0256010834127665e-05
1755024067,3,2240,2120,0.9464285714285714,safe,0.0,False,False,0.0005368840065784752,3.5604985896497965e-05
1755024068,3,40,32,0.8,safe,0.0,,False,6.625003879889846e-05,2.99729872494936e-05
1755024069,3,214,208,0.9719626168224299,safe,0.0,False,False,0.0005541089922189713,3.1082017812877893e-05
1755024070,3,400,300,0.75,safe,0.0,False,False,4.207296296954155e-05,2.8449983801692724e-05
1755024071,3,244,222,0.9098360655737705,safe,0.0,False,False,0.00042116595432162285,3.524904605001211e-05
1755024072,3,304,302,0.993421052631579,safe,0.0,,False,0.00039803399704396725,3.493699477985501e-05
1755024073,3,62,61,0.9838709677419355,safe,0.0,False,False,0.00016278401017189026,3.006600309163332e-05
