seeds,num_tasks,final_e2e_max,let,R,exceed,false_percentage,adjusted,inserted,run_time_G,run_time_our,finalpercent
1755016037,5,2306.0,2153,0.9336513443191674,safe,0.009,False,False,0.1171996459597721,8.733797585591674e-05,0.0112
1755016038,5,256.0,229,0.89453125,safe,0.009,False,False,0.0017863559769466,5.03470073454082e-05,0.0112
1755016039,5,2550.0,2285,0.8960784313725491,safe,0.009,False,False,0.0041704160394147,4.733499372377992e-05,0.0112
1755016040,5,2058.0,2030,0.9863945578231292,safe,0.009,False,False,0.0753936799592338,6.005301838740706e-05,0.0112
1755016041,5,4002.0,3009,0.7518740629685158,safe,0.009,,False,0.1421808680170215,6.898300489410758e-05,0.0112
1755016042,5,100.0,86,0.86,safe,0.009,,False,0.0001740269945003,4.130700835958123e-05,0.0112
1755016043,5,94.0,68,0.723404255319149,safe,0.009,False,False,0.0001063400413841,4.267500480636954e-05,0.0112
1755016044,5,2460.0,2230,0.9065040650406504,safe,0.009,False,False,0.0108329399954527,5.082698771730065e-05,0.0112
1755016045,5,144.0,122,0.8472222222222222,safe,0.009,False,False,0.0002771950094029,3.798300167545676e-05,0.0112
1755016046,5,210.0,205,0.9761904761904762,safe,0.009,False,False,0.0044773269910365,4.2374012991786e-05,0.0112
1755016047,5,2250.0,2125,0.9444444444444444,safe,0.009,False,False,0.004739868978504,4.528602585196495e-05,0.0112
1755016048,5,0.0,355,,,0.009,False,False,0.0001957649947144,0.0003795059747062,0.0112
1755016049,5,2052.0,2026,0.9873294346978556,safe,0.009,False,False,0.0812226620037108,6.126798689365387e-05,0.0112
1755016050,5,28.0,22,0.7857142857142857,safe,0.009,False,False,7.531099254265428e-05,4.329002695158124e-05,0.0112
1755016051,5,2342.0,2181,0.9312553373185312,safe,0.009,False,False,0.0215467680245637,4.461099160835147e-05,0.0112
1755016052,5,562.0,491,0.8736654804270463,safe,0.009,False,False,0.0024741120287217,4.542199894785881e-05,0.0112
1755016053,5,350.0,275,0.7857142857142857,safe,0.009,False,False,0.0002288589603267,4.010699922218919e-05,0.0112
1755016054,5,2028.0,2015,0.9935897435897436,safe,0.009,False,False,0.2218296630308032,5.970196798443794e-05,0.0112
1755016055,5,2210.0,2130,0.9638009049773756,safe,0.009,False,False,0.0023839749628677,4.765903577208519e-05,0.0112
1755016056,5,2320.0,2160,0.9310344827586208,safe,0.009,False,False,0.0121947199804708,5.079299444332719e-05,0.0112
1755016057,5,422.0,361,0.8554502369668247,safe,0.009,False,False,0.0008783109951764,4.516099579632282e-05,0.0112
1755016058,5,662.0,531,0.8021148036253777,safe,0.009,False,False,0.0022607279825024,4.005600931122899e-05,0.0112
1755016059,5,2904.0,2452,0.8443526170798898,safe,0.009,False,False,0.0135750689660198,9.276304626837371e-05,0.0112
1755016060,5,324.0,262,0.808641975308642,safe,0.009,False,False,0.0029931319877505,6.0567050240933895e-05,0.0112
1755016061,5,450.0,435,0.9666666666666668,safe,0.009,False,False,0.0009552449919283,5.529500776901841e-05,0.0112
