seeds,num_tasks,final_e2e_max,let,R,exceed,false_percentage,adjust,inserted,run_time_G,run_time_our,finalpercent
1755016037,10,782.0,591,0.7557544757033248,safe,0.065,False,False,0.0060935930014238,7.580899909953587e-05,0.0632
1755016038,10,800.0,671,0.83875,safe,0.065,,False,0.0126514789990324,9.275300180888736e-05,0.0632
1755016039,10,2240.0,2145,0.9575892857142856,safe,0.065,False,False,0.5576389279995055,0.0001005640006042,0.0632
1755016040,10,4444.0,3227,0.7261476147614762,safe,0.065,False,False,0.3313224189987522,0.0001187480011139,0.0632
1755016041,10,4350.0,3705,0.8517241379310345,safe,0.065,False,False,0.0110034360004647,9.01120001799427e-05,0.0632
1755016042,10,3466.0,2733,0.7885170225043278,safe,0.065,False,False,0.1940712710020307,0.0001102200003515,0.0632
1755016043,10,4062.0,3132,0.7710487444608567,safe,0.065,False,False,0.648141226000007,0.0001088360004359,0.0632
1755016044,10,626.0,419,0.6693290734824281,safe,0.065,,True,0.002491753999493,0.0001198399986606,0.0632
1755016045,10,4200.0,3299,0.7854761904761904,safe,0.065,,False,0.1502400879980996,9.046299965120852e-05,0.0632
1755016046,10,820.0,641,0.7817073170731708,safe,0.065,False,False,0.0180031639974913,7.612699846504256e-05,0.0632
1755016047,10,2362.0,2192,0.9280270956816258,safe,0.065,False,False,0.6243470720000914,9.225000030710362e-05,0.0632
1755016048,10,2212.0,2116,0.9566003616636528,safe,0.065,False,False,0.4534013840020634,9.488800060353242e-05,0.0632
1755016049,10,2864.0,2433,0.8495111731843575,safe,0.065,False,False,0.3940960109976004,0.0001067960001819,0.0632
1755016050,10,916.0,759,0.8286026200873362,safe,0.065,False,False,0.0087558259983779,0.0002317510006832,0.0632
1755016051,10,3282.0,2641,0.8046922608165753,safe,0.065,False,False,0.0679541770005016,0.0001123170004575,0.0632
1755016052,10,4400.0,3420,0.7772727272727272,safe,0.065,False,False,0.0157229439973889,8.865700146998279e-05,0.0632
1755016053,10,2896.0,2449,0.8456491712707183,safe,0.065,False,False,0.0879268049975507,7.08799998392351e-05,0.0632
1755016054,10,4862.0,3433,0.7060880296174414,safe,0.065,False,False,0.1405931879999116,0.000243816000875,0.0632
1755016055,10,2674.0,2337,0.8739715781600599,safe,0.065,False,False,0.2735583739995491,0.0001011790009215,0.0632
1755016056,10,4452.0,3846,0.8638814016172507,safe,0.065,False,False,0.0718196620000526,0.0001014280023809,0.0632
1755016057,10,4840.0,3491,0.7212809917355372,safe,0.065,False,False,0.0551194769977883,0.0001037539987009,0.0632
1755016058,10,4070.0,3252,0.799017199017199,safe,0.065,,False,0.267392302997905,9.999699977925049e-05,0.0632
1755016059,10,3048.0,2584,0.847769028871391,safe,0.065,False,False,0.0697862380002334,0.0002472439991834,0.0632
1755016060,10,2796.0,2519,0.9009298998569384,safe,0.065,False,False,0.1307048999988183,0.0001090190016839,0.0632
1755016061,10,1454.0,1127,0.7751031636863824,safe,0.065,False,False,0.0071623939984419,0.0013955759968666,0.0632
1755016062,10,2504.0,2252,0.8993610223642172,safe,0.065,False,False,0.0608131260014488,0.0001109830009227,0.0632
1755016063,10,4324.0,3292,0.7613320999074931,safe,0.065,False,False,0.0189626809988112,7.73840001784265e-05,0.0632
1755016064,10,710.0,555,0.7816901408450704,safe,0.065,False,False,0.0110368589994322,8.007400174392387e-05,0.0632
1755016065,10,709.0,555,0.7827926657263752,safe,0.065,False,False,0.0203627179980685,8.565899770474061e-05,0.0632
