seeds,num_tasks,final_e2e_max,let,R,exceed,false_percentage,adjust,inserted,run_time_G,run_time_our,finalpercent
1755016084,3,224.0,212,0.9464285714285714,safe,0.0,False,False,0.0003524140010995,2.192700048908592e-05,0.0
1755016085,3,406.0,403,0.9926108374384236,safe,0.0,False,False,0.0039245260013558,2.65259986917954e-05,0.0
1755016086,3,2006.0,2003,0.9985044865403788,safe,0.0,False,False,0.0992777040009968,3.9008999010548e-05,0.0
1755016087,3,240.0,220,0.9166666666666666,safe,0.0,False,False,5.1035000069532543e-05,1.3650998880621046e-05,0.0
1755016088,3,2440.0,2220,0.9098360655737704,safe,0.0,False,False,0.0002067780005745,1.732400050968863e-05,0.0
1755016089,3,2420.0,2210,0.9132231404958676,safe,0.0,False,False,0.0007356400019489,3.053099862881936e-05,0.0
1755016090,3,400.0,302,0.755,safe,0.0,,False,0.0003182609980285,2.709500040509738e-05,0.0
1755016091,3,2440.0,2220,0.9098360655737704,safe,0.0,False,False,0.0003902009993907,3.1493000278715044e-05,0.0
1755016092,3,414.0,408,0.9855072463768116,safe,0.0,False,False,0.0011719290014298,2.5994002498919144e-05,0.0
1755016093,3,2440.0,2220,0.9098360655737704,safe,0.0,False,False,0.0003647209996415,0.004034045003209,0.0
1755016094,3,2024.0,2012,0.9940711462450592,safe,0.0,False,False,0.0269833880010992,4.461099888430908e-05,0.0
1755016095,3,4000.0,3050,0.7625,safe,0.0,,False,0.000160824998602,2.8074002329958603e-05,0.0
1755016096,3,2420.0,2210,0.9132231404958676,safe,0.0,False,False,0.0006917530008649,2.469699757057242e-05,0.0
1755016097,3,2044.0,2022,0.9892367906066536,safe,0.0,False,False,0.007307462998142,3.48230023519136e-05,0.0
1755016098,3,3020.0,3010,0.9966887417218544,safe,0.0,,False,0.0004689929992309,2.754600063781254e-05,0.0
1755016099,3,510.0,455,0.8921568627450981,safe,0.0,False,False,0.0002849679985956,2.431200118735433e-05,0.0
1755016100,3,2220.0,2110,0.9504504504504504,safe,0.0,False,False,0.0006370640003297,2.813100218190812e-05,0.0
1755016101,3,70.0,65,0.9285714285714286,safe,0.0,,False,5.297000097925775e-05,2.249700264655985e-05,0.0
1755016102,3,2120.0,2060,0.9716981132075472,safe,0.0,False,False,0.0008150249996106,2.75310012511909e-05,0.0
1755016103,3,2040.0,2020,0.9901960784313726,safe,0.0,False,False,0.0019488609977997,2.757699985522777e-05,0.0
1755016104,3,502.0,451,0.898406374501992,safe,0.0,False,False,0.0009072739994735,2.701700213947333e-05,0.0
1755016105,3,406.0,403,0.9926108374384236,safe,0.0,False,False,0.0032973599991237,2.519500048947521e-05,0.0
1755016106,3,4000.0,3002,0.7505,safe,0.0,,False,0.0023482510005123,3.030500010936521e-05,0.0
1755016107,3,414.0,408,0.9855072463768116,safe,0.0,False,False,0.0009083380027732,2.311499702045694e-05,0.0
1755016108,3,510.0,455,0.8921568627450981,safe,0.0,False,False,0.0002128449996234,2.1779000235255808e-05,0.0
1755016109,3,2600.0,2400,0.9230769230769232,safe,0.0,False,False,8.160200013662688e-05,2.82239998341538e-05,0.0
1755016110,3,304.0,252,0.8289473684210527,safe,0.0,False,False,0.0002431629982311,2.257600135635585e-05,0.0
1755016111,3,170.0,160,0.9411764705882352,safe,0.0,,False,6.82319987390656e-05,2.9761002224404365e-05,0.0
1755016112,3,620.0,510,0.8225806451612904,safe,0.0,False,False,0.000144903002365,2.782700175885111e-05,0.0
1755016113,3,2240.0,2120,0.9464285714285714,safe,0.0,False,False,0.0004593320009007,3.3956999686779454e-05,0.0
1755016114,3,160.0,140,0.875,safe,0.0,False,False,9.90070002444554e-05,2.766900070128031e-05,0.0
1755016115,3,304.0,252,0.8289473684210527,safe,0.0,False,False,0.0002866770009859,2.8370002837618813e-05,0.0
1755016116,3,122.0,111,0.9098360655737704,safe,0.0,False,False,0.0003033550019608,3.5744000342674553e-05,0.0
1755016117,3,212.0,206,0.9716981132075472,safe,0.0,False,False,0.0008524410004611,3.701100285979919e-05,0.0
1755016118,3,260.0,230,0.8846153846153846,safe,0.0,False,False,0.00011125400124,2.929699985543266e-05,0.0
1755016119,3,2012.0,2006,0.9970178926441352,safe,0.0,False,False,0.0550006039993604,5.0014001317322254e-05,0.0
1755016120,3,2014.0,2008,0.997020854021847,safe,0.0,False,False,0.0312847540008078,4.339500083005987e-05,0.0
1755016121,3,400.0,300,0.75,safe,0.0,False,False,6.487099744845182e-05,3.3035998058039695e-05,0.0
1755016122,3,2022.0,2011,0.9945598417408508,safe,0.0,False,False,0.0321223699975234,5.9863999922527e-05,0.0
1755016123,3,250.0,225,0.9,safe,0.0,False,False,0.0002170970001316,3.733999983523972e-05,0.0
1755016124,3,8.0,8,1.0,safe,0.0,,False,6.564300201716833e-05,3.068699879804626e-05,0.0
1755016125,3,222.0,211,0.9504504504504504,safe,0.0,False,False,0.0009293270013586,3.635900066001341e-05,0.0
1755016126,3,80.0,61,0.7625,safe,0.0,,False,0.0002049690010608,3.4977998438989744e-05,0.0
1755016127,3,142.0,131,0.9225352112676056,safe,0.0,False,False,0.0021580850007012,3.5091001336695626e-05,0.0
1755016128,3,444.0,422,0.9504504504504504,safe,0.0,False,False,0.001002602999506,3.81499994546175e-05,0.0
1755016129,3,24.0,22,0.9166666666666666,safe,0.0,False,False,0.000157611000759,3.7136000173632056e-05,0.0
1755016130,3,35.0,30,0.8571428571428571,safe,0.0,False,False,6.408099943655543e-05,0.003625078999903,0.0
1755016131,3,212.0,206,0.9716981132075472,safe,0.0,False,False,0.0015518760010309,0.000119870997878,0.0
1755016132,3,112.0,106,0.9464285714285714,safe,0.0,False,False,0.000518300999829,3.714399645105004e-05,0.0
1755016133,3,700.0,650,0.9285714285714286,safe,0.0,False,False,9.262200183002278e-05,3.6723002267535776e-05,0.0
1755016134,3,2042.0,2021,0.9897159647404504,safe,0.0,False,False,0.0201954649965045,5.284500002744608e-05,0.0
1755016135,3,2080.0,2040,0.9807692307692308,safe,0.0,False,False,0.0010482399993634,3.5404002119321376e-05,0.0
1755016136,3,408.0,404,0.9901960784313726,safe,0.0,False,False,0.0027171349975105,3.337799716973677e-05,0.0
1755016137,3,460.0,430,0.9347826086956522,safe,0.0,False,False,0.0002697739982977,3.60570011253003e-05,0.0
1755016138,3,2110.0,2055,0.9739336492890996,safe,0.0,False,False,0.0026210479991277,5.366899858927354e-05,0.0
1755016139,3,224.0,212,0.9464285714285714,safe,0.0,False,False,0.0125033309996069,5.106200114823878e-05,0.0
1755016140,3,2050.0,2025,0.9878048780487804,safe,0.0,False,False,0.0065849679995153,6.182700235513039e-05,0.0
1755016141,3,2420.0,2210,0.9132231404958676,safe,0.0,False,False,0.0009826030000112,3.716500214068219e-05,0.0
1755016142,3,2410.0,2205,0.9149377593360996,safe,0.0,False,False,0.0018982330002472,5.1562001317506656e-05,0.0
1755016143,3,23.0,22,0.9565217391304348,safe,0.0,False,False,0.0001439530024072,3.572299829102121e-05,0.0
1755016144,3,46.0,44,0.9565217391304348,safe,0.0,False,False,0.0001384249990223,4.220299888402224e-05,0.0
1755016145,3,203.0,202,0.9950738916256158,safe,0.0,False,False,0.0026945589997922,3.782700150622986e-05,0.0
1755016146,3,122.0,111,0.9098360655737704,safe,0.0,False,False,0.0004472170003282,3.642999945441261e-05,0.0
1755016147,3,320.0,260,0.8125,safe,0.0,False,False,0.0001388609998684,3.585800004657358e-05,0.0
1755016148,3,150.0,135,0.9,safe,0.0,False,False,0.0002427840008749,3.152100180159323e-05,0.0
1755016149,3,70.0,65,0.9285714285714286,safe,0.0,False,False,9.568899986334144e-05,3.642599767772481e-05,0.0
1755016150,3,34.0,32,0.9411764705882352,safe,0.0,,False,9.807300011743791e-05,3.408300108276308e-05,0.0
1755016151,3,160.0,140,0.875,safe,0.0,False,False,0.0001833610003814,3.608100087149069e-05,0.0
1755016152,3,124.0,112,0.9032258064516128,safe,0.0,False,False,0.0002781479997793,3.469900184427388e-05,0.0
1755016153,3,2140.0,2080,0.97196261682243,safe,0.0,False,False,0.000711010001396,3.998999818577431e-05,0.0
1755016154,3,103.0,102,0.9902912621359224,safe,0.0,False,False,0.0009462750022066,3.8474001485155895e-05,0.0
1755016155,3,422.0,411,0.9739336492890996,safe,0.0,False,False,0.0024666280005476,3.948399898945354e-05,0.0
1755016156,3,604.0,502,0.8311258278145696,safe,0.0,False,False,0.000933529001486,3.255399860790931e-05,0.0
1755016157,3,112.0,106,0.9464285714285714,safe,0.0,False,False,0.0009779339998203,3.627900150604546e-05,0.0
1755016158,3,3004.0,3002,0.9993342210386152,safe,0.0,False,False,0.0044861829992441,5.716099985875189e-05,0.0
1755016159,3,3400.0,3200,0.9411764705882352,safe,0.0,,False,9.18000005185604e-05,4.667300163418986e-05,0.0
1755016160,3,620.0,510,0.8225806451612904,safe,0.0,False,False,0.0001711350014375,3.0625000363215804e-05,0.0
1755016161,3,142.0,131,0.9225352112676056,safe,0.0,False,False,0.0007047789986245,5.8102999901166186e-05,0.0
1755016162,3,442.0,421,0.9524886877828054,safe,0.0,False,False,0.0012913900027342,2.894099816330709e-05,0.0
1755016163,3,40.0,32,0.8,safe,0.0,,False,6.13269985478837e-05,2.564500027801841e-05,0.0
1755016164,3,3200.0,3100,0.96875,safe,0.0,,False,0.0001097439999284,3.0366001738002524e-05,0.0
1755016165,3,2110.0,2055,0.9739336492890996,safe,0.0,False,False,0.0018564560014056,3.137699968647212e-05,0.0
1755016166,3,610.0,505,0.8278688524590164,safe,0.0,False,False,0.0003125370021734,3.1632000172976404e-05,0.0
1755016167,3,34.0,28,0.8235294117647058,safe,0.0,False,False,7.674599692109041e-05,3.021399970748461e-05,0.0
1755016168,3,2120.0,2060,0.9716981132075472,safe,0.0,False,False,0.0009195039965561,2.84609996015206e-05,0.0
1755016169,3,540.0,480,0.8888888888888888,safe,0.0,False,False,0.0001092400016204,3.110499892500229e-05,0.0
1755016170,3,460.0,430,0.9347826086956522,safe,0.0,False,False,0.0001681489993643,2.676499934750609e-05,0.0
1755016171,3,19.0,18,0.9473684210526316,safe,0.0,False,False,6.507299985969439e-05,2.742500146268867e-05,0.0
1755016172,3,304.0,252,0.8289473684210527,safe,0.0,False,False,0.0002591759985079,2.3829001293051988e-05,0.0
1755016173,3,3200.0,3100,0.96875,safe,0.0,,False,9.082600081455894e-05,2.9601000278489664e-05,0.0
1755016174,3,3400.0,3200,0.9411764705882352,safe,0.0,False,False,7.772899698466063e-05,3.180100247845985e-05,0.0
1755016175,3,2012.0,2006,0.9970178926441352,safe,0.0,False,False,0.0559250990008877,5.003199839848094e-05,0.0
1755016176,3,2500.0,2250,0.9,safe,0.0,False,False,0.0002274479993502,3.543100319802761e-05,0.0
1755016177,3,414.0,408,0.9855072463768116,safe,0.0,False,False,0.0016426699985458,4.037100006826222e-05,0.0
1755016178,3,140.0,120,0.8571428571428571,safe,0.0,False,False,8.764100130065344e-05,2.7968999347649515e-05,0.0
1755016179,3,150.0,135,0.9,safe,0.0,False,False,0.0003012729976035,3.691799793159589e-05,0.0
1755016180,3,208.0,204,0.9807692307692308,safe,0.0,False,False,0.0008679679995111,3.942200055462308e-05,0.0
1755016181,3,302.0,301,0.9966887417218544,safe,0.0,,False,0.0007883140024205,3.987699892604724e-05,0.0
1755016182,3,304.0,302,0.993421052631579,safe,0.0,,False,0.0004453639994608,3.780100087169558e-05,0.0
1755016183,3,2420.0,2210,0.9132231404958676,safe,0.0,False,False,0.001044988999638,4.209200051263906e-05,0.0
1755016184,3,40.0,30,0.75,safe,0.0,False,False,6.554300125571899e-05,3.031799860764295e-05,0.0
1755016185,3,8.0,7,0.875,safe,0.0,,False,6.365399895003065e-05,3.778499740292318e-05,0.0
1755016186,3,440.0,420,0.9545454545454546,safe,0.0,False,False,0.0002808099998219,3.1183000828605145e-05,0.0
1755016187,3,310.0,305,0.9838709677419356,safe,0.0,False,False,0.0001937119996,3.214199750800617e-05,0.0
1755016188,3,422.0,411,0.9739336492890996,safe,0.0,False,False,0.0023210379986267,4.5361000957200304e-05,0.0
1755016189,3,212.0,206,0.9716981132075472,safe,0.0,False,False,0.0011305949992674,3.504900087136775e-05,0.0
1755016190,3,2440.0,2220,0.9098360655737704,safe,0.0,False,False,0.0006535909997182,3.725300121004693e-05,0.0
1755016191,3,40.0,30,0.75,safe,0.0,False,False,0.0001104000002669,2.7555997803574428e-05,0.0
1755016192,3,34.0,28,0.8235294117647058,safe,0.0,False,False,6.17199984844774e-05,2.7868998586200178e-05,0.0
1755016193,3,2440.0,2220,0.9098360655737704,safe,0.0,False,False,0.0003549409993865,3.198600097675808e-05,0.0
1755016194,3,310.0,255,0.8225806451612904,safe,0.0,False,False,0.0001554760019644,2.896099977078848e-05,0.0
1755016195,3,214.0,208,0.97196261682243,safe,0.0,False,False,0.0004267279982741,3.0761999369133264e-05,0.0
1755016196,3,424.0,412,0.9716981132075472,safe,0.0,False,False,0.0008102270003291,2.713499998208136e-05,0.0
