seeds,num_tasks,per_jitter,final_e2e_max,max_reaction_time,R,exceed,false_percentage,added
1755016067,3,0,2102,1263.0,0.6008563273073264,safe,0.0,False
1755016068,3,0,2104,1908.0,0.9068441064638784,safe,0.0,False
1755016069,3,0,2300,2273.0,0.9882608695652174,safe,0.0,False
1755016070,3,0,414,386.0,0.9323671497584541,safe,0.0,False
1755016071,3,0,2500,1890.0,0.756,safe,0.0,False
1755016072,3,0,106,103.0,0.9716981132075472,safe,0.0,False
1755016073,3,0,34,29.0,0.8529411764705882,safe,0.0,False
1755016074,3,0,450,370.0,0.8222222222222222,safe,0.0,False
1755016075,3,0,957,898.0,0.9383490073145245,safe,0.0,False
1755016076,3,0,442,434.0,0.9819004524886877,safe,0.0,False
1755016067,3,0.02,2123.02,2076.3307034583054,0.9780080750338223,safe,0.0,False
1755016068,3,0.02,2125.04,2073.08364046497,0.9755504086817048,safe,0.0,False
1755016069,3,0.02,2323.0,2273.573014249234,0.978722778411207,safe,0.0,False
1755016070,3,0.02,418.13999999999993,413.0627746990672,0.9878575948224692,safe,0.0,False
1755016071,3,0.02,2525.0,2308.0284593816978,0.9140706769828506,safe,0.0,False
1755016072,3,0.02,107.06,106.01396158136731,0.9902294188433337,safe,0.0,False
1755016073,3,0.02,34.339999999999996,31.176725968094388,0.9078836915577866,safe,0.0,False
1755016074,3,0.02,454.5,433.65884806575923,0.9541448802326936,safe,0.0,False
1755016075,3,0.02,963.0,899.8769546526746,0.9344516663059965,safe,0.0,False
1755016076,3,0.02,446.42,435.00685441429505,0.974434063022031,safe,0.0,False
1755016067,3,0.05,2154.55,2107.261767650094,0.9780519215845972,safe,0.0,False
1755016068,3,0.05,2156.6000000000004,2106.0383201733093,0.9765549105876421,safe,0.0,False
1755016069,3,0.05,2357.5,2324.454621857323,0.9859828724739441,safe,0.0,False
1755016070,3,0.05,424.35,414.1876534122682,0.9760519698651307,safe,0.0,False
1755016071,3,0.05,2562.5,2333.086624467178,0.9104728290603621,safe,0.0,False
1755016072,3,0.05,108.65,108.00304280793216,0.9940454929400107,safe,0.0,False
1755016073,3,0.05,34.85,31.439050188612768,0.9021248260721023,safe,0.0,False
1755016074,3,0.05,461.25,439.49116594373936,0.9528263760297873,safe,0.0,False
1755016075,3,0.05,972.0,902.3029280047958,0.9282951934205719,safe,0.0,False
1755016076,3,0.05,453.04999999999995,434.87887841191696,0.9598915757905684,safe,0.0,False
1755016067,3,0.1,2207.1,2153.812751126683,0.9758564410886155,safe,0.0,False
1755016068,3,0.1,2209.2,2155.982628300935,0.9759110213203582,safe,0.0,False
1755016069,3,0.1,2415.0,2369.3724096206342,0.9811065878346311,safe,0.0,False
1755016070,3,0.1,434.70000000000005,414.19673039416136,0.9528335182750433,safe,0.0,False
1755016071,3,0.1,2625.0,2562.510994909564,0.976194664727453,safe,0.0,False
1755016072,3,0.1,111.3,110.00786487082587,0.9883905199535119,safe,0.0,False
1755016073,3,0.1,35.7,31.729595761070016,0.8887841949879556,safe,0.0,False
1755016074,3,0.1,472.5,448.9355919740283,0.9501282369820705,safe,0.0,False
1755016075,3,0.1,987.0,906.7570331718307,0.918700134925867,safe,0.0,False
1755016076,3,0.1,464.1,455.98832106346526,0.9825217002013903,safe,0.0,False
1755016067,3,0.2,2312.2,2228.225569340749,0.9636820211663132,safe,0.0,False
1755016068,3,0.2,2314.4,2207.936366509727,0.953999467036695,safe,0.0,False
1755016069,3,0.2,2530.0,2425.4277359109674,0.9586670892928725,safe,0.0,False
1755016070,3,0.2,455.4,428.89922107858865,0.9418076879196062,safe,0.0,False
1755016071,3,0.2,2750.0,2644.662239260091,0.9616953597309422,safe,0.0,False
1755016072,3,0.2,116.6,113.99326420408079,0.9776437753351698,safe,0.0,False
