seeds,num_tasks,per_jitter,final_e2e_max,max_reaction_time,R,exceed,false_percentage,added
1755016104,3,0.4,602.4000000000001,567.527895419279,0.9421113801780859,safe,0.0,False
1755016105,3,0.4,487.2,461.705224792103,0.9476708226438897,safe,0.0,False
1755016106,3,0.4,4311.0,4246.041594267444,0.9849319402151344,safe,0.0,True
1755016097,3,0.5,2555.0,2448.4806631003144,0.9583094571821191,safe,0.0,False
1755016098,3,0.5,4031.0,3872.7804501870005,0.9607493054296702,safe,0.0,True
1755016099,3,0.5,637.5,605.7112379578903,0.9501352752280632,safe,0.0,False
1755016100,3,0.5,2775.0,2662.279015216016,0.9593798253030689,safe,0.0,False
1755016101,3,0.5,95.5,88.79247806750277,0.9297641682461023,safe,0.0,True
1755016102,3,0.5,2650.0,2496.3318927765104,0.9420120350100039,safe,0.0,False
1755016103,3,0.5,2550.0,2469.0166936597525,0.9682418406508834,safe,0.0,False
1755016104,3,0.5,627.5,581.8110166836013,0.9271888712089265,safe,0.0,False
1755016105,3,0.5,507.5,494.83328586488926,0.9750409573692399,safe,0.0,False
1755016106,3,0.5,4411.0,4354.940021467395,0.9872908686165031,safe,0.0,True
1755016097,5,0,2802,2689.0,0.9596716630977873,safe,0.0,False
1755016098,5,0,82,71.0,0.8658536585365854,safe,0.0,False
1755016099,5,0,2512,2415.0,0.9613853503184714,safe,0.0,False
1755016100,5,0,4153,4149.0,0.9990368408379485,safe,0.0,False
1755016101,5,0,2026,1385.0,0.6836130306021717,safe,0.0,False
1755016102,5,0,532,365.0,0.6860902255639098,safe,0.0,False
1755016103,5,0,2410,2312.0,0.9593360995850623,safe,0.0,False
1755016104,5,0,3544,2701.0,0.7621331828442438,safe,0.0,False
1755016105,5,0,444,426.0,0.9594594594594594,safe,0.0,False
1755016106,5,0,777,773.0,0.9948519948519948,safe,0.0,False
1755016097,5,0.02,2830.02,2690.5222688853974,0.9507078638615265,safe,0.0,False
1755016098,5,0.02,82.82000000000001,76.30027293334842,0.9212783498351657,safe,0.0,False
1755016099,5,0.02,2537.12,2418.9847249357263,0.9534372536323573,safe,0.0,False
1755016100,5,0.02,4173.1,4169.044330808203,0.9990281399458922,safe,0.0,False
1755016101,5,0.02,2046.26,2029.8783436856957,0.9919943426962828,safe,0.0,False
1755016102,5,0.02,537.3199999999999,529.110860426572,0.9847220658575375,safe,0.0,False
1755016103,5,0.02,2434.1,2312.8562413675536,0.9501894915441246,safe,0.0,False
1755016104,5,0.02,3564.6,3538.8755333070935,0.9927833510932765,safe,0.0,False
1755016105,5,0.02,448.44000000000005,441.0222286169883,0.9834587204910094,safe,0.0,False
1755016106,5,0.02,781.24,773.0145548309083,0.989471295416144,safe,0.0,False
1755016097,5,0.05,2872.05,2692.0953614455357,0.9373427904965218,safe,0.0,False
1755016098,5,0.05,84.05,76.58731165052131,0.9112113224333291,safe,0.0,False
1755016099,5,0.05,2574.8,2424.429980892979,0.9415993401013589,safe,0.0,False
1755016100,5,0.05,4203.25,4197.4316311921575,0.9986157452428853,safe,0.0,False
1755016101,5,0.05,2076.65,2063.903251251742,0.9938618694781219,safe,0.0,False
1755016102,5,0.05,545.3,524.208736948858,0.9613217255618156,safe,0.0,False
