seeds,num_tasks,per_jitter,final_e2e_max,max_reaction_time,R,exceed,false_percentage,adjusted,inserted
1755016041,3,0,2044,1956.0,0.9569471624266145,safe,0.0,False,False
1755016042,3,0,316,311.0,0.9841772151898734,safe,0.0,,False
1755016041,3,0.02,2064.44,2049.5457830262917,0.9927853476130533,safe,0.0,False,False
1755016042,3,0.02,318.1,312.8697648087268,0.9835578899991412,safe,0.0,,False
1755016041,3,0.05,2095.1,2082.02094808098,0.9937573137706935,safe,0.0,False,False
1755016042,3,0.05,321.25,318.18194846853567,0.9904496450382433,safe,0.0,,False
1755016041,3,0.1,2146.2,2089.5752805626753,0.973616289517601,safe,0.0,False,False
1755016042,3,0.1,361.0,355.0259142425746,0.9834512859905112,safe,0.0,True,False
1755016041,3,0.2,2248.4,2154.0509803769673,0.9580372622206758,safe,0.0,False,False
1755016042,3,0.2,393.4,383.50027286730733,0.974835467380039,safe,0.0,True,False
1755016041,3,0.3,2350.6,2188.126354169662,0.9308799260485248,safe,0.0,False,False
1755016042,3,0.3,392.8,382.10139420216683,0.972763223528938,safe,0.0,True,False
1755016041,3,0.4,2452.8,2370.791544170983,0.9665653718896701,safe,0.0,False,False
1755016042,3,0.4,399.3,388.5531758370197,0.9730858398122206,safe,0.0,True,False
1755016041,3,0.5,2555.0,2461.642888778684,0.96346101322062,safe,0.0,False,False
1755016042,3,0.5,468.5,453.6116247192142,0.9682211840324743,safe,0.0,False,False
1755016041,5,0,2402,2292.0,0.9542048293089093,safe,0.0,False,False
1755016042,5,0,2958,2879.0,0.9732927653820149,safe,0.0,False,False
1755016041,5,0.02,2426.02,2342.842793908276,0.965714542299023,safe,0.0,False,False
1755016042,5,0.02,2984.2,2880.630167572075,0.9652939372602625,safe,0.0,False,False
1755016041,5,0.05,2462.05,2342.437947419661,0.9514176996485291,safe,0.0,False,False
1755016042,5,0.05,3023.5,2882.9675618681285,0.9535199476990668,safe,0.0,False,False
1755016041,5,0.1,2522.1,2395.2079928800176,0.9496879556242884,safe,0.0,False,False
1755016042,5,0.1,3089.0,2984.7127345941117,0.9662391500790262,safe,0.0,False,False
1755016041,5,0.2,2642.2,2477.6042062077286,0.9377050208946063,safe,0.0,False,False
1755016042,5,0.2,3220.0,3085.570663713268,0.958251758917164,safe,0.0,False,False
1755016041,5,0.3,2761.3,2572.7312753712904,0.9317101638254772,safe,0.0,False,False
1755016042,5,0.3,3351.0,3175.31560597699,0.947572547292447,safe,0.0,False,False
1755016041,5,0.4,2868.4,2593.241910087767,0.9040726223984684,safe,0.0,False,False
1755016042,5,0.4,3458.0,3173.906120190586,0.9178444534964101,safe,0.0,False,False
1755016041,5,0.5,2978.5,2763.5401913132155,0.9278295085825803,safe,0.0,False,False
1755016042,5,0.5,3613.0,3291.1879679204285,0.9109294126544225,safe,0.0,False,False
1755016041,8,0,2928,2766.0,0.944672131147541,safe,0.0,False,False
1755016042,8,0,2866,2143.0,0.7477320307048151,safe,0.0,False,False
1755016041,8,0.02,2953.6800000000003,2823.723073678457,0.9560016906633273,safe,0.0,False,False
1755016042,8,0.02,2894.6600000000003,2543.1626120444416,0.8785704062115901,safe,0.0,False,False
1755016041,8,0.05,2992.2,2850.0363751626937,0.9524885954022773,safe,0.0,False,False
1755016042,8,0.05,2937.6500000000005,2753.1031990932024,0.9371787650309608,safe,0.0,False,False
1755016041,8,0.1,3056.3999999999996,2872.3114340921074,0.9397694785015404,safe,0.0,False,False
1755016042,8,0.1,3009.3,2759.571597142123,0.9170144542392328,safe,0.0,False,False
1755016041,8,0.2,3112.0,2976.698912710611,0.9565227868607361,safe,0.0,False,False
1755016042,8,0.2,3152.5999999999995,2783.0573474699195,0.8827816238881938,safe,0.0,False,False
1755016041,8,0.3,3290.3999999999996,3021.57112136454,0.9182990278885669,safe,0.0,False,False
1755016042,8,0.3,3295.9000000000005,2954.7513620342215,0.8964930252842079,safe,0.0,False,False
1755016041,8,0.4,3399.2000000000003,3131.9122499056366,0.9213674540790882,safe,0.0,False,True
1755016042,8,0.4,3439.2,3024.403246016882,0.8793914997722965,safe,0.0,False,False
1755016041,8,0.5,3570.0,3229.067052799215,0.9045005750137858,safe,0.0,False,False
1755016042,8,0.5,3782.5,3210.9366223277248,0.8488926959227296,safe,0.0,False,True
1755016041,10,0,2367,1634.0,0.6903253062948881,safe,0.0,False,False
1755016042,10,0,6999,6710.0,0.9587083869124161,safe,0.0,,False
1755016041,10,0.02,2390.58,2266.012873464043,0.9478925087066917,safe,0.0,False,False
1755016042,10,0.02,7024.4,6877.901865858497,0.9791443918140336,safe,0.0,,False
1755016041,10,0.05,2425.9500000000003,2367.9056984717286,0.976073578792526,safe,0.0,False,False
1755016042,10,0.05,7062.5,6907.158175557079,0.9780046974240112,safe,0.0,,False
1755016041,10,0.1,2484.9,2358.8701885447367,0.9492817371100393,safe,0.0,False,False
1755016042,10,0.1,7126.0,6951.795156719654,0.975553628504021,safe,0.0,,False
1755016041,10,0.2,2602.7,2442.1215263633094,0.9383031184398162,safe,0.0,False,False
1755016042,10,0.2,7253.0,7052.945273124125,0.9724176579517614,safe,0.0,,False
1755016041,10,0.3,2720.1000000000004,2550.5445058440077,0.9376657129679083,safe,0.0,False,False
1755016042,10,0.3,7380.0,7121.516821022986,0.9649751790004046,safe,0.0,,False
1755016041,10,0.4,2837.3999999999996,2586.333617816167,0.9115153372158199,safe,0.0,False,True
1755016042,10,0.4,7763.8,7502.950854056398,0.9664018720286971,safe,0.0,True,False
1755016041,10,0.5,2957.5,2652.170422508738,0.896760920543952,safe,0.0,False,True
1755016042,10,0.5,8618.0,8292.861374523058,0.9622721483549614,safe,0.0,True,True
