seeds,num_tasks,final_e2e_max,max_reaction_time,R,exceed,false_percentage,adjust,inserted
1756819220,3,268.93384747554313,292.0866730799222,1.0860911552105192,exceed,0.0,False,False
1756819221,3,103.53785321679389,96.00893285001365,0.9272834028051969,safe,0.0,False,False
1756819222,3,279.2053693218122,278.46585272465654,0.9973513525225107,safe,0.0,False,False
1756819223,3,223.5798875527843,278.5798875527822,1.2459970823047004,exceed,0.0,False,False
1756819224,3,133.29467062367937,154.70650445163875,1.1606353331890498,exceed,0.0,False,False
1756819225,3,180.4798415521195,100.47984155211844,0.5567371995010401,safe,0.0,False,False
1756819226,3,1617.8343335359114,1494.0665797560096,0.923497881572709,safe,0.0,False,False
1756819227,3,170.09585396521612,121.44279933781706,0.7139668399128153,safe,0.0,False,False
1756819228,3,1685.2216328197596,1441.1486525586297,0.8551686166924286,safe,0.0,False,False
1756819229,3,33.96146487986791,31.826501631211897,0.937135713780073,safe,0.0,False,False
1756819220,5,352.4244259274627,227.49672119411628,0.6455191651243279,safe,0.2,False,False
1756819221,5,1188.8543541030924,1308.6196618532085,1.1007401010365736,exceed,0.2,False,False
1756819222,5,1555.8064555184,1460.4702866172156,0.9387223464955876,safe,0.2,False,False
1756819223,5,1432.5783527228336,1276.2129258982252,0.8908503492828772,safe,0.2,False,False
1756819224,5,1534.236763209249,1352.4869768966664,0.8815373280898273,safe,0.2,False,False
1756819225,5,231.91513886699371,211.52755317505216,0.912090319797389,safe,0.2,False,False
1756819226,5,102.78023063299668,84.8390144689165,0.8254409816597521,safe,0.2,False,False
1756819227,5,122.85150590914881,96.21961057567498,0.7832188125299118,safe,0.2,False,False
1756819228,5,146.3737053010699,160.80459279599904,1.0985893433881917,exceed,0.2,False,False
1756819229,5,438.4602864717996,382.5261724837055,0.8724306038337373,safe,0.2,False,False
