seeds,num_tasks,per_jitter,final_e2e_max,max_reaction_time,R,exceed,false_percentage,adjust,inserted,mrt,let,rm
1755016010,3,0,2210.0,1778.0763131523595,0.8045594177159998,safe,0.0,False,False,1773.0763131523663,2980.153418155242,0.8022969742770888
1755016011,3,0,320.0,296.1112052953971,0.925347516548116,safe,0.0,False,False,96.1112052953971,298.85153466128264,0.3003475165481159
1755016012,3,0,85.38604137251795,84.74096485510752,0.9924451759673911,safe,0.0,,False,24.74096485510752,85.87763025838292,0.2897542087373377
1755016013,3,0,2032.4343462103823,1159.629348815443,0.57056177532999,safe,0.0,False,False,1149.629348815443,2198.6923163940896,0.5656415671969962
1755016014,3,0,64.0,47.619430653673895,0.7440536039636546,safe,0.0,False,False,27.61943065367389,67.50314838008838,0.43155360396365455
1755016015,3,0,107.22966315523055,81.4850877701053,0.7599118133211308,safe,0.0,False,False,79.48508777010532,140.82553674486235,0.7412602579478319
1755016016,3,0,510.0,478.5998153091805,0.9384310104101579,safe,0.0,False,False,328.5998153091806,644.8141571956778,0.6443133633513345
1755016017,3,0,415.6974018137361,415.6974018137361,1.0,safe,0.0,True,False,193.88137465624305,572.4653474987499,0.46640025607645386
1755016018,3,0,2030.0,2023.8384653828934,0.9969647612723613,safe,0.0,False,False,8.838465382893443,2032.3636300483126,0.004353923833937657
1755016019,3,0,242.0,180.43174911596125,0.7455857401486002,safe,0.0,False,False,179.43174911596128,327.576845789657,0.7414535087436417
1755016020,3,0,2110.0,2080.757034032386,0.9861407744229317,safe,0.0,False,False,1030.7570340323864,2165.2253973811016,0.48851044266937743
1755016021,3,0,333.0268460256149,333.0268460256149,1.0,safe,0.0,,False,233.0268460256149,527.9950058277894,0.6997239075665737
1755016022,3,0,32.0,27.91689576915655,0.8724029927861422,safe,0.0,False,False,3.916895769156554,40.026243847384166,0.1224029927861423
1755016023,3,0,214.0,210.94532581324347,0.9857258215572124,safe,0.0,False,False,50.94532581324353,267.9582157165919,0.2380622701553436
1755016024,3,0,2080.0,1746.9623980833176,0.8398857683092873,safe,0.0,False,False,26.962398083317794,2788.44701334663,0.012962691386210479
1755016025,3,0,604.0,511.6466341524887,0.8470970764114051,safe,0.0,False,False,101.64663415248867,694.1098375241138,0.16828912939153753
1755016026,3,0,107.68953638215515,85.68911760025553,0.7957051397841728,safe,0.0,False,False,83.68911760025553,145.1232827719582,0.7771332332908376
1755016027,3,0,70.50419535496533,69.80769522078472,0.9901211533487623,safe,0.0,False,False,18.807695220784723,86.82488616759208,0.2667599442287681
1755016028,3,0,242.0,165.91321833417427,0.6855918112982408,safe,0.0,False,False,165.9132183341745,274.429060038337,0.6855918112982418
1755016029,3,0,540.0,492.39773223861516,0.9118476522937318,safe,0.0,False,False,292.39773223861533,620.5066568788338,0.5414772819233618
1755016030,3,0,250.0,234.01213207909012,0.9360485283163605,safe,0.0,False,False,134.01213207909018,278.69502764007865,0.5360485283163607
1755016031,3,0,2500.0,1728.2650012257002,0.6913060004902801,safe,0.0,False,False,328.2650012257004,2775.2861479715407,0.13130600049028016
1755016032,3,0,2220.0,1967.198390200111,0.886125400991041,safe,0.0,False,False,167.1983902001141,3084.948239789288,0.07531459018023157
1755016033,3,0,26.0,20.639991571269405,0.7938458296642079,safe,0.0,False,False,0.6399915712694089,32.93352326628427,0.024615060433438803
1755016034,3,0,430.0,287.2704252002102,0.6680707562795586,safe,0.0,False,False,287.2704252002089,510.0107246606329,0.6680707562795555
1755016035,3,0,510.0,490.3267201184108,0.9614249414086485,safe,0.0,False,False,90.32672011841089,723.0287625712442,0.17711121591845272
