seeds,num_tasks,final_e2e_max,mrt,R,exceed,false_percentage,adjust,inserted
1756827092,3,476.1593082291394,300.6887272614394,0.6314876598332521,safe,0.0,True,False
1756827093,3,204.54255083098678,156.08510166197198,0.7630935520646013,safe,0.0,False,False
1756827094,3,188.31586733859052,165.63173467718093,0.8795421066636744,safe,0.0,False,False
1756827095,3,1409.447117515676,1358.2759788151538,0.9636941762024265,safe,0.0,False,False
1756827096,3,26.380159109157116,24.380159109157084,0.92418544589802,safe,0.0,False,False
1756827097,3,1887.2843463800164,1944.694316162118,1.0304193535500992,exceed,0.0,False,False
1756827098,3,1071.6010906497645,1037.5894148004797,0.9682608797750832,safe,0.0,False,False
1756827099,3,1727.274798730641,1262.6833544622482,0.731026328520617,safe,0.0,True,False
1756827100,3,28.13230606016391,25.570982247025967,0.9089543598857385,safe,0.0,False,False
1756827101,3,82.72475389425614,68.29205735812229,0.8255335210234339,safe,0.0,False,False
1756827092,5,199.61983315256808,187.2377011363041,0.9379714338965488,safe,0.1,False,False
1756827093,5,2170.130473685819,1272.1988470916551,0.5862315019847225,safe,0.1,True,False
1756827094,5,481.3692654668296,375.8215636239106,0.7807344394109597,safe,0.1,,False
1756827095,5,1489.7745422031767,1252.4633759255769,0.8407066575814564,safe,0.1,False,False
1756827096,5,1297.589786796042,1265.2533385545528,0.975079606382127,safe,0.1,False,False
1756827097,5,0,213.25993903991503,,,0.1,False,False
1756827098,5,1682.5305657150539,1429.8698143987563,0.849832890727355,safe,0.1,False,False
1756827099,5,1417.8112189797419,1304.142542771467,0.9198280598385511,safe,0.1,False,False
1756827100,5,1235.4092723344847,1173.976263897145,0.9502731525389532,safe,0.1,False,False
1756827101,5,328.71825983284754,288.6846747098989,0.8782130778396502,safe,0.1,False,False
1756827092,8,2721.915929834584,1508.2201716540949,0.5541024082054409,safe,0.0,False,False
1756827093,8,1217.8467732931715,1175.9636689947192,0.9656088883947227,safe,0.0,False,False
1756827094,8,1656.2832978005213,1280.7689849032506,0.7732789351942757,safe,0.0,False,False
1756827095,8,534.8785532304059,394.87855323035694,0.7382583407868624,safe,0.0,False,False
1756827096,8,1429.4501177809138,1373.8554720832472,0.9611076700011245,safe,0.0,False,False
1756827097,8,256.82878749664525,246.53983529568973,0.9599384776868523,safe,0.0,False,False
1756827098,8,330.06708239516547,277.78081159442036,0.841588956943769,safe,0.0,False,False
1756827099,8,1246.1307156654198,1070.6568303917456,0.8591850091906506,safe,0.0,False,False
1756827100,8,280.5094273238859,240.5400640461821,0.8575115151778703,safe,0.0,False,False
1756827101,8,378.7272749372769,277.6549023625032,0.7331262381577539,safe,0.0,False,False
1756827092,10,1276.2541269912854,1268.8181276341375,0.9941735746824357,safe,0.3,False,False
1756827093,10,0,293.94406846049236,,,0.3,False,False
1756827094,10,0,348.5626358298955,,,0.3,False,False
1756827095,10,502.2255825325721,359.0756120959267,0.7149687801350475,safe,0.3,,False
1756827096,10,195.63710273186862,162.8559937231796,0.8324392022222016,safe,0.3,False,False
1756827097,10,3865.796186798622,2314.834475123491,0.5987988924580301,safe,0.3,False,False
1756827098,10,1599.3587452758136,1300.6169309978625,0.8132115041979326,safe,0.3,False,False
1756827099,10,1693.2687003297603,1880.8505845277473,1.11078093167461,exceed,0.3,False,False
1756827100,10,1933.1465637476254,1823.7825438432012,0.9434269382594512,safe,0.3,True,False
1756827101,10,0,354.7137285202167,,,0.3,False,False
