seed,num_tasks,per_jitter,chain_type,final_e2e_max,max_reaction_time,R,exceed,false_percentage
1751634420,3,0,asc,32.0,29.58282959318565,0.9244634247870516,safe,0.0
1751634420,3,0,desc,32.0,29.58282959318565,0.9244634247870516,safe,0.0
1751634420,3,0,max_period,32.0,29.58282959318565,0.9244634247870516,safe,0.0
1751634420,3,0,min_period,32.0,29.58282959318565,0.9244634247870516,safe,0.0
1751634420,3,0.02,asc,32.32,29.778433210531603,0.9213624136921906,safe,0.0
1751634420,3,0.02,desc,32.32,29.778433210531603,0.9213624136921906,safe,0.0
1751634420,3,0.02,max_period,32.32,29.778433210531603,0.9213624136921906,safe,0.0
1751634420,3,0.02,min_period,32.32,29.778433210531603,0.9213624136921906,safe,0.0
1751634420,3,0.05,asc,32.8,30.04775854626061,0.9160901995811163,safe,0.0
1751634420,3,0.05,desc,32.800000000000004,30.04775854626061,0.916090199581116,safe,0.0
1751634420,3,0.05,max_period,32.800000000000004,30.04775854626061,0.916090199581116,safe,0.0
1751634420,3,0.05,min_period,32.8,30.04775854626061,0.9160901995811163,safe,0.0
1751634420,3,0.1,asc,33.6,30.550440794368797,0.9092393093562141,safe,0.1
1751634420,3,0.1,desc,33.599999999999994,30.550440794368797,0.9092393093562143,safe,0.2
1751634420,3,0.1,max_period,33.599999999999994,30.550440794368797,0.9092393093562143,safe,0.2
1751634420,3,0.1,min_period,33.6,30.550440794368797,0.9092393093562141,safe,0.1
1751634420,3,0.2,asc,35.2,31.37201385049252,0.8912503934799011,safe,0.2
1751634420,3,0.2,desc,35.2,31.37201385049252,0.8912503934799011,safe,0.4
1751634420,3,0.2,max_period,35.2,31.37201385049252,0.8912503934799011,safe,0.4
1751634420,3,0.2,min_period,35.2,31.37201385049252,0.8912503934799011,safe,0.2
1751634420,3,0.3,asc,0,32.43274262301679,,,0.3
1751634420,3,0.3,desc,0,32.43274262301679,,,0.5
1751634420,3,0.3,max_period,0,32.43274262301679,,,0.5
1751634420,3,0.3,min_period,0,32.43274262301679,,,0.3
1751634420,3,0.4,asc,0,32.97155420823742,,,0.5
1751634420,3,0.4,desc,0,32.97155420823742,,,0.6
1751634420,3,0.4,max_period,0,32.97155420823742,,,0.6
1751634420,3,0.4,min_period,0,32.97155420823742,,,0.5
1751634420,3,0.5,asc,0,33.96228152646631,,,0.6
1751634420,3,0.5,desc,0,33.96228152646631,,,0.6
1751634420,3,0.5,max_period,0,33.96228152646631,,,0.6
1751634420,3,0.5,min_period,0,33.96228152646631,,,0.6
1751634420,5,0,asc,2440.0,2111.891810847397,0.8655294306751627,safe,0.1
1751634420,5,0,desc,2440.0,2111.891810847397,0.8655294306751627,safe,0.1
1751634420,5,0,max_period,2440.0000000000005,2111.891810847397,0.8655294306751626,safe,0.1
1751634420,5,0,min_period,2440.0,2111.891810847397,0.8655294306751627,safe,0.1
1751634420,5,0.02,asc,2464.3999999999996,2383.7469057644194,0.9672727259229101,safe,0.1
1751634420,5,0.02,desc,2464.4,2383.7469057644194,0.9672727259229099,safe,0.1
1751634420,5,0.02,max_period,2464.4,2383.7469057644194,0.9672727259229099,safe,0.1
