seeds,num_tasks,final_e2e_max,mrt,R,exceed,false_percentage,run_time_our,run_time_G,finalpercent
1755016037,10,0.0,148.28984722034238,,,0.702,2.768899867078289e-05,0.0065182460020878,0.7155
1755016038,10,2120.545517180378,2046.1141434517035,0.9648998933879792,safe,0.702,9.216299804393202e-05,0.1750299189989164,0.7155
1755016039,10,0.0,1279.4668570571357,,,0.702,2.6252000679960474e-05,0.4174550370007637,0.7155
1755016040,10,0.0,339.21046040153544,,,0.702,2.7576003049034625e-05,0.0301607539986434,0.7155
1755016041,10,0.0,1064.5719374958016,,,0.702,5.495900040841661e-05,0.3043784080000478,0.7155
1755016042,10,0.0,2275.6226448275493,,,0.702,6.384500011336058e-05,0.0813788560008106,0.7155
1755016043,10,364.6786918455705,318.1851927038094,0.8725083198404979,safe,0.702,5.4052998166298494e-05,0.0011896300020453,0.7155
1755016044,10,164.834957890189,147.8007741977362,0.8966591558581841,safe,0.702,5.824999971082434e-05,0.0050259749987162,0.7155
1755016045,10,593.0148393101608,461.07730344762655,0.7775139387472767,safe,0.702,4.023600195068866e-05,0.0011162769988004,0.7155
1755016046,10,503.1639312660136,389.76288912752045,0.7746240636661611,safe,0.702,4.6766999730607495e-05,0.0032639280034345,0.7155
1755016047,10,0.0,2379.28905485004,,,0.702,3.4669999877223745e-05,0.443138505997922,0.7155
1755016048,10,434.8165816618677,299.39596701580984,0.6885569217979667,safe,0.702,5.79189982090611e-05,0.0081382860007579,0.7155
1755016049,10,538.6040628077285,424.8943516429405,0.7888807028821463,safe,0.702,5.787599729956128e-05,0.0112687719993118,0.7155
1755016050,10,0.0,1133.7233307618276,,,0.702,3.503900006762706e-05,0.6043291690002661,0.7155
1755016051,10,0.0,405.89239132428446,,,0.702,0.0001096200030588,0.030240309999499,0.7155
1755016052,10,2511.4669615136017,2371.887332769943,0.9444230679190232,safe,0.702,9.525899804430082e-05,0.5616882950016588,0.7155
1755016053,10,0.0,436.8685679381539,,,0.702,9.25860003917478e-05,0.0345700270008819,0.7155
1755016054,10,2171.6620013708034,1914.749630738768,0.8816978100321935,safe,0.702,0.0001019269984681,0.3039200759994855,0.7155
1755016055,10,2265.9078017227007,2055.503655855926,0.9071435538079656,safe,0.702,8.296499800053425e-05,0.4375020940024114,0.7155
1755016056,10,0.0,1344.9483078988171,,,0.702,6.127799861133099e-05,0.7448051009996561,0.7155
1755016057,10,0.0,1137.6202279636836,,,0.702,6.569199831574224e-05,1.3823673369988685,0.7155
1755016058,10,0.0,1481.3640048142988,,,0.702,5.7220000599045306e-05,1.646824152998306,0.7155
1755016059,10,0.0,362.5529350870533,,,0.702,7.611399996676482e-05,0.0183295410024584,0.7155
1755016060,10,0.0,1312.785215899423,,,0.702,7.075899702613242e-05,0.8686374429998978,0.7155
1755016061,10,0.0,1543.95779861785,,,0.702,4.481900032260455e-05,0.7684245649979857,0.7155
1755016062,10,1519.5242031970158,1337.9595267568538,0.8805121523841757,safe,0.702,9.80870026978664e-05,0.0111408709999523,0.7155
1755016063,10,0.0,304.30795266677137,,,0.702,7.940100113046356e-05,0.0098526900001161,0.7155
1755016064,10,0.0,1113.8330809607232,,,0.702,8.858100045472383e-05,0.7800768060005794,0.7155
1755016065,10,520.8398303686856,446.9024953959152,0.8580420876789846,safe,0.702,0.0001009879997582,0.0225433660016278,0.7155
1755016066,10,0.0,438.5293304343424,,,0.702,3.981600093538873e-05,0.0352433480002218,0.7155
1755016067,10,0.0,1119.1488269318802,,,0.702,9.337300070910716e-05,0.8910665709991008,0.7155
1755016068,10,1262.33147613053,1160.714551381343,0.9195006013312153,safe,0.702,0.0001413770005456,0.6843282820009335,0.7155
1755016069,10,1729.9321592187628,1499.2758823071867,0.8666674437593319,safe,0.702,0.0001262890000361,0.4410370770019653,0.7155
1755016070,10,0.0,1165.7945165922351,,,0.702,0.0001152439981524,3.506833141000243,0.7155
1755016071,10,0.0,1426.9899668622554,,,0.702,9.159000182989983e-05,1.510088442999404,0.7155
1755016072,10,0.0,384.5771202141361,,,0.702,7.472599827451631e-05,0.0419404019994544,0.7155
1755016073,10,0.0,1357.692479964505,,,0.702,6.240099901333451e-05,1.436279994999495,0.7155
1755016074,10,2316.7218266366062,2134.52169290806,0.9213543328190325,safe,0.702,0.0001259199998457,0.295231177999085,0.7155
1755016075,10,0.0,2017.46675809188,,,0.702,7.849800022086129e-05,0.3139053840022825,0.7155
1755016076,10,2240.592996835176,2193.1217586027788,0.9788130917576506,safe,0.702,0.0001363310002489,0.3444057759988936,0.7155
