seeds,num_tasks,final_e2e_max,mrt,R,exceed,false_percentage,run_time_our,run_time_G,finalpercent
1755016037,8,0.0,1533.1551256124503,,,0.577,4.55230001534801e-05,0.0663950180023675,0.5757
1755016038,8,510.2707851049589,487.4919522404269,0.9553593238542032,safe,0.577,4.522800008999184e-05,0.0088689469994278,0.5757
1755016039,8,302.1082390984285,274.60690245207337,0.908968597717075,safe,0.577,5.247100125416182e-05,0.023425227998814,0.5757
1755016040,8,0.0,171.50352815584384,,,0.577,3.709100201376714e-05,0.0035437119986454,0.5757
1755016041,8,0.0,123.09440617168062,,,0.577,2.9668000934179872e-05,0.0011983380027231,0.5757
1755016042,8,1588.1356151200482,1555.6870039331,0.9795681106336152,safe,0.577,5.275999865261838e-05,0.0556950829995912,0.5757
1755016043,8,0.0,1732.7553698600857,,,0.577,2.548699922044761e-05,0.0156482530001085,0.5757
1755016044,8,2051.57066783664,1942.42411986382,0.9467985433385466,safe,0.577,5.073699867352843e-05,0.021420577999379,0.5757
1755016045,8,1887.5294611695435,1740.580809464143,0.9221476248564888,safe,0.577,5.615700138150714e-05,0.0089769149999483,0.5757
1755016046,8,0.0,1130.7870691595442,,,0.577,3.633799860836007e-05,0.4191233390010893,0.5757
1755016047,8,1423.5241149863089,1198.712397763011,0.842073825896894,safe,0.577,5.3609001042786986e-05,0.2167627240014553,0.5757
1755016048,8,0.0,155.73974217957743,,,0.577,2.488000245648436e-05,0.0084014040003239,0.5757
1755016049,8,522.4905820233078,447.226783109075,0.8559518553946388,safe,0.577,4.011099736089818e-05,0.0036925249987689,0.5757
1755016050,8,2231.09267587794,2159.528093927687,0.967923976119866,safe,0.577,5.345400131773204e-05,0.0501888819999294,0.5757
1755016051,8,0.0,1344.350826008387,,,0.577,6.928700167918578e-05,0.8823188140013372,0.5757
1755016052,8,0.0,120.6865358444624,,,0.577,7.984600233612582e-05,0.0100618100004794,0.5757
1755016053,8,0.0,326.9096727992454,,,0.577,4.821399852517061e-05,0.0443068829990807,0.5757
1755016054,8,0.0,93.73216427430694,,,0.577,4.900499698123895e-05,0.0126830449989938,0.5757
1755016055,8,0.0,1455.0395730163427,,,0.577,4.476499816519208e-05,0.2215556779992766,0.5757
1755016056,8,1974.878117647432,1772.8673052699291,0.897709731769094,safe,0.577,9.97280003502965e-05,0.5284549919997517,0.5757
1755016057,8,0.0,1170.1509103988774,,,0.577,9.152100028586574e-05,0.229629058001592,0.5757
1755016058,8,0.0,1201.056529735192,,,0.577,8.696399891050532e-05,0.3011424029973568,0.5757
1755016059,8,0.0,493.186752164292,,,0.577,4.5900000259280205e-05,0.0491265150012623,0.5757
1755016060,8,0.0,286.7425301347449,,,0.577,0.0001242500002263,0.054787993998616,0.5757
1755016061,8,253.4110501770176,225.612922646325,0.8903042013705619,safe,0.577,8.27430012577679e-05,0.005999052998959,0.5757
1755016062,8,0.0,259.7016233154544,,,0.577,3.6336001357994974e-05,0.0566200190005474,0.5757
1755016063,8,1729.289492300462,1541.856854689975,0.8916129205404779,safe,0.577,8.843799878377467e-05,0.3120407720016374,0.5757
1755016064,8,0.0,1445.079479672533,,,0.577,4.353500116849318e-05,0.2831114000000525,0.5757
1755016065,8,2948.496845915458,2893.546982942312,0.981363431658654,safe,0.577,9.599300028639846e-05,0.2847708189983677,0.5757
