seeds,num_tasks,per_jitter,chain_type,final_e2e_max,max_reaction_time,R,exceed,justed,inserted,false_percentage_global,false_percentage_by_chain_type,false_percentage_by_num_tasks
1754657734,10,0.02,desc,3304.7200000000003,3097.822120195342,0.9373932194543991,safe,False,False,0.0,0.0,0.0
1754657734,10,0.05,asc,3353.8,3057.201549564372,0.9115634651930263,safe,False,False,0.0,0.0,0.0
1754657734,10,0.05,desc,3353.8,3148.415221815463,0.9387605766042886,safe,False,False,0.0,0.0,0.0
1754657734,10,0.1,asc,3435.6,3062.6197248379613,0.8914366412964144,safe,False,False,0.0,0.0,0.0
1754657734,10,0.1,desc,3435.6000000000004,3151.3784346160246,0.9172716365746956,safe,False,False,0.0,0.0,0.0
1754657734,10,0.2,asc,3599.2,3067.4049308999874,0.8522463133196232,safe,False,False,0.0,0.0,0.0
1754657734,10,0.2,desc,3599.2,3350.8528595623648,0.9309993497339312,safe,False,False,0.0,0.0,0.0
1754657734,10,0.3,asc,3762.8,3223.773678377933,0.8567486123041174,safe,False,False,0.0,0.0,0.0
1754657734,10,0.3,desc,3762.8,3551.653431386221,0.9438857848905658,safe,False,True,0.0,0.0,0.0
1754657734,10,0.4,asc,3926.4,3274.5389620728165,0.8339799720030604,safe,False,False,0.0,0.0,0.0
1754657734,10,0.4,desc,3926.3999999999996,3609.3014177908262,0.919239358646808,safe,False,True,0.0,0.0,0.0
1754657734,10,0.5,asc,0,3489.836176375051,,,False,False,1.0,1.0,1.0
1754657734,10,0.5,desc,0,3542.5586766092965,,,False,False,1.0,1.0,1.0
