seeds,num_tasks,per_jitter,final_e2e_max,max_reaction_time,R,exceed,false_percentage,adjust
1751036957,3,0,44.0,34.25086088222003,0.7784286564140916,safe,0.0,False
1751036958,3,0,70.0,60.30754453027549,0.8615363504325071,safe,0.0,False
1751036959,3,0,52.0,37.16377543553444,0.7146879891448931,safe,0.0,False
1751036960,3,0,600.0,540.7937880941788,0.9013229801569647,safe,0.0,False
1751036961,3,0,602.0,494.98019878758817,0.822226243833203,safe,0.0,False
1751036962,3,0,25.153608133074105,25.153608133074105,1.0,safe,0.0,
1751036963,3,0,2024.0,2019.5614034855764,0.9978070175323994,safe,0.0,False
1751036964,3,0,2042.0,1484.2920853016878,0.7268815305101312,safe,0.0,False
1751036965,3,0,3666.9568868485057,3493.410204959871,0.9526728327483048,safe,0.0,
1751036966,3,0,204.0,203.41908974530833,0.9971524007122957,safe,0.0,False
1751036967,3,0,310.0,261.3616642985148,0.8431021428984349,safe,0.0,False
1751036968,3,0,2420.0,1984.2585926227669,0.8199415671994904,safe,0.0,False
1751036969,3,0,2102.0,2089.1692692557363,0.993895941605964,safe,0.0,False
1751036970,3,0,237.00058957281573,172.36149459116407,0.7272618810857767,safe,0.0,False
1751036971,3,0,2044.0,1140.8070439838384,0.5581247769001166,safe,0.0,False
1751036972,3,0,168.88910433250888,167.7823863856597,0.9934470731476539,safe,0.0,
1751036973,3,0,2420.0,2378.3916274652092,0.9828064576302518,safe,0.0,False
1751036974,3,0,124.0,74.52354480695314,0.6009963290883318,safe,0.0,False
1751036975,3,0,46.0,45.12403983751689,0.9809573877721063,safe,0.0,False
1751036976,3,0,39.674278387152164,37.379364741928256,0.942156133935707,safe,0.0,False
1751036977,3,0,2210.0,1393.0631480190436,0.6303453158457211,safe,0.0,False
1751036978,3,0,250.0,233.54556070478486,0.9341822428191394,safe,0.0,False
1751036979,3,0,540.0,440.8057548169784,0.8163069533647748,safe,0.0,False
1751036980,3,0,2204.0,2195.8740975249825,0.9963131113997198,safe,0.0,False
1751036981,3,0,76.41968226884777,75.50288325756483,0.9880031035976099,safe,0.0,False
1751036982,3,0,412.0,326.7437789081333,0.7930674245343042,safe,0.0,False
1751036983,3,0,604.0,601.6792394626107,0.9961576812294879,safe,0.0,False
1751036984,3,0,240.0,232.79063552722852,0.9699609813634521,safe,0.0,False
1751036985,3,0,2600.0,1726.182755362282,0.6639164443701084,safe,0.0,False
1751036986,3,0,2440.0,2426.848446197161,0.9946100189332627,safe,0.0,False
1751036987,3,0,2004.0,1317.9519770997981,0.6576606672154681,safe,0.0,False
1751036988,3,0,2410.0,2222.4523837870674,0.9221794123597791,safe,0.0,False
1751036989,3,0,2006.0,2005.4409810334862,0.9997213265371317,safe,0.0,False
1751036990,3,0,197.37513206881277,188.42741900338044,0.954666461921288,safe,0.0,False
1751036991,3,0,3037.323932717656,3037.323932717656,1.0,safe,0.0,
1751036992,3,0,106.0,87.11848064320094,0.8218724588981221,safe,0.0,False
1751036993,3,0,2200.0,1414.148175580177,0.6427946252637168,safe,0.0,False
1751036994,3,0,34.0,28.103240432241215,0.826565895065918,safe,0.0,False
1751036995,3,0,16.0,14.084528300430248,0.8802830187768905,safe,0.0,False
1751036996,3,0,460.0,400.10896447166454,0.8698020966775316,safe,0.0,False
1751036997,3,0,414.0,366.7009250666761,0.8857510267311017,safe,0.0,False
1751036998,3,0,80.0,76.28722050660235,0.9535902563325294,safe,0.0,False
1751036999,3,0,34.0,31.345796028759423,0.9219351773164536,safe,0.0,False
1751037000,3,0,520.0,390.3486992613705,0.7506705755026355,safe,0.0,False
1751037001,3,0,2017.1483182120007,1697.801475586586,0.8416840052155988,safe,0.0,False
1751037002,3,0,2220.0,1859.5868297705892,0.837651725121887,safe,0.0,False
1751037003,3,0,43.040046861128275,42.126662229416496,0.9787782612166088,safe,0.0,False
1751037004,3,0,92.58622613631988,88.90060666124988,0.9601925726009887,safe,0.0,False
1751037005,3,0,460.0,446.2350156653326,0.9700761210115926,safe,0.0,False
1751037006,3,0,244.0,175.9553844121867,0.7211286246401094,safe,0.0,False
1751037007,3,0,3338.179531151969,3090.3205144172966,0.9257502436817294,safe,0.0,
1751037008,3,0,16.0,14.428283609405161,0.9017677255878226,safe,0.0,False
1751037009,3,0,220.0,153.9444747238052,0.6997476123809327,safe,0.0,False
1751037010,3,0,424.0,326.3756351781819,0.7697538565523158,safe,0.0,False
1751037011,3,0,2008.0,1046.9822190961468,0.5214054875976827,safe,0.0,False
1751037012,3,0,302.0,259.3268551139987,0.8586981957417176,safe,0.0,False
1751037013,3,0,54.0,51.493679159328885,0.953586651098683,safe,0.0,False
1751037014,3,0,166.49397426698692,166.33168714151014,0.9990252672735378,safe,0.0,False
1751037015,3,0,2120.0,1619.2178145329503,0.7637819879872407,safe,0.0,False
1751037016,3,0,2014.0,2009.4131511819558,0.9977225179652214,safe,0.0,False
1751037017,3,0,260.0,241.27901132324985,0.9279961973971148,safe,0.0,False
1751037018,3,0,2035.4384866649516,1439.6076989123587,0.7072715330597603,safe,0.0,False
1751037019,3,0,502.0,478.91005032341434,0.9540040843095903,safe,0.0,False
1751037020,3,0,412.0,339.02416392202053,0.8228741842767489,safe,0.0,False
1751037021,3,0,411.39756394169586,406.94585898270657,0.9891790682561742,safe,0.0,False
1751037022,3,0,304.0,272.2500346633332,0.8955593245504382,safe,0.0,False
1751037023,3,0,160.0,157.41636317106608,0.983852269819163,safe,0.0,False
1751037024,3,0,450.0,289.97822996687745,0.644396066593061,safe,0.0,False
