seeds,num_tasks,final_e2e_max,let,R,exceed,false_percentage,run_time_our,run_time_G
1755024037,3,604,502,0.8311258278145696,safe,0.0,6.132898852229118e-05,0.0006518770242109895
1755024038,3,2440,2220,0.9098360655737705,safe,0.0,2.6057998184114695e-05,0.0003720609820447862
1755024039,3,114,108,0.9473684210526315,safe,0.0,2.3706990759819746e-05,0.00010646297596395016
1755024040,3,800,700,0.875,safe,0.0,2.188299549743533e-05,3.9040984120219946e-05
1755024041,3,610,505,0.8278688524590164,safe,0.0,2.614001277834177e-05,0.0002689079847186804
1755024042,3,2500,2250,0.9,safe,0.0,3.113498678430915e-05,0.0001831340487115085
1755024043,3,2500,2250,0.9,safe,0.0,2.323399530723691e-05,0.00016079697525128722
1755024044,3,55,50,0.9090909090909091,safe,0.0,3.0151044484227896e-05,5.9470999985933304e-05
1755024045,3,80,70,0.875,safe,0.0,2.6644032914191484e-05,4.208099562674761e-05
1755024046,3,2060,2040,0.9902912621359223,safe,0.0,2.397398930042982e-05,0.0005918460083194077
1755024047,3,414,408,0.9855072463768116,safe,0.0,2.3171014618128538e-05,0.0008676059660501778
1755024048,3,2410,2205,0.9149377593360996,safe,0.0,2.6890949811786413e-05,0.0009416289976797998
1755024049,3,640,520,0.8125,safe,0.0,2.022995613515377e-05,6.353197386488318e-05
1755024050,3,112,106,0.9464285714285714,safe,0.0,2.0084960851818323e-05,0.0002549479831941426
1755024051,3,16,14,0.875,safe,0.0,2.1809013560414314e-05,6.460800068452954e-05
1755024052,3,26,23,0.8846153846153846,safe,0.0,2.270401455461979e-05,6.811198545619845e-05
1755024053,3,2102,2051,0.9757373929590866,safe,0.0,2.1837011445313692e-05,0.006788200989831239
1755024054,3,320,260,0.8125,safe,0.0,1.786596840247512e-05,5.850294837728143e-05
1755024055,3,222,211,0.9504504504504504,safe,0.0,1.9020983017981052e-05,0.0004914079909212887
1755024056,3,442,421,0.9524886877828054,safe,0.0,2.3678992874920368e-05,0.0010388460359536111
1755024057,3,2800,2400,0.8571428571428571,safe,0.0,2.290599513798952e-05,5.295901792123914e-05
1755024058,3,602,501,0.8322259136212624,safe,0.0,2.2639986127614975e-05,0.0008283190545625985
1755024059,3,142,131,0.9225352112676056,safe,0.0,2.118799602612853e-05,0.00046185700921341777
1755024060,3,80,60,0.75,safe,0.0,2.230098471045494e-05,3.336602821946144e-05
1755024061,3,2015,2010,0.9975186104218362,safe,0.0,2.2873980924487114e-05,0.006763343000784516
1755024062,3,250,225,0.9,safe,0.0,1.919199712574482e-05,0.00011159601854160428
1755024063,3,112,106,0.9464285714285714,safe,0.0,1.9931001588702202e-05,0.00026265898486599326
1755024064,3,230,215,0.9347826086956522,safe,0.0,1.9866041839122772e-05,0.00011612399248406291
1755024065,3,2030,2015,0.9926108374384236,safe,0.0,2.160901203751564e-05,0.0036653190036304295
1755024066,3,2200,2100,0.9545454545454546,safe,0.0,1.9783037714660168e-05,0.00015934702241793275
1755024067,3,2240,2120,0.9464285714285714,safe,0.0,1.949502620846033e-05,0.0002885080175474286
1755024068,3,40,32,0.8,safe,0.0,1.76579924300313e-05,3.747898153960705e-05
1755024069,3,214,208,0.9719626168224299,safe,0.0,1.867697574198246e-05,0.0003117190208286047
1755024070,3,400,300,0.75,safe,0.0,1.7395010218024254e-05,2.6074994821101427e-05
1755024071,3,244,222,0.9098360655737705,safe,0.0,2.2610998712480068e-05,0.00022946199169382453
1755024072,3,304,302,0.993421052631579,safe,0.0,2.0154984667897224e-05,0.00021313299657776952
1755024073,3,62,61,0.9838709677419355,safe,0.0,1.700600842013955e-05,8.87200003489852e-05
1755024074,3,200,151,0.755,safe,0.0,1.85440294444561e-05,0.00019911699928343296
1755024075,3,2200,2100,0.9545454545454546,safe,0.0,1.988699659705162e-05,0.0001649500336498022
1755024076,3,55,50,0.9090909090909091,safe,0.0,2.2940977942198515e-05,4.5829976443201303e-05
1755024077,3,510,455,0.8921568627450981,safe,0.0,2.0155974198132753e-05,0.00019722199067473412
1755024078,3,142,131,0.9225352112676056,safe,0.0,2.2787018679082394e-05,0.0004484300152398646
1755024079,3,26,23,0.8846153846153846,safe,0.0,2.0025006961077452e-05,6.370199844241142e-05
1755024080,3,406,404,0.9950738916256158,safe,0.0,2.2218970116227865e-05,0.001657788990996778
1755024081,3,200,180,0.9,safe,0.0,1.8157996237277985e-05,4.112097667530179e-05
1755024082,3,422,411,0.9739336492890995,safe,0.0,1.756096025928855e-05,0.0012717880308628082
1755024083,3,70,55,0.7857142857142857,safe,0.0,1.941696973517537e-05,3.5375996958464384e-05
1755024084,3,230,215,0.9347826086956522,safe,0.0,1.8892984371632338e-05,0.0001146509894169867
1755024085,3,144,132,0.9166666666666666,safe,0.0,2.1009996999055147e-05,0.00023877702187746763
1755024086,3,160,140,0.875,safe,0.0,1.7063983250409365e-05,6.167101673781872e-05
1755024087,3,414,408,0.9855072463768116,safe,0.0,2.297095488756895e-05,0.0009040849981829524
1755024088,3,400,400,1.0,safe,0.0,1.782702747732401e-05,2.2527005057781935e-05
1755024089,3,442,421,0.9524886877828054,safe,0.0,2.490798942744732e-05,0.0010447619715705514
1755024090,3,424,412,0.9716981132075472,safe,0.0,1.9386003259569407e-05,0.0006531929830089211
