seeds,num_tasks,final_e2e_max,let,R,exceed,false_percentage,run_time_our,run_time_G
1755020037,3,2404,2202,0.9159733777038269,safe,0.0,7.5930031016469e-05,0.004940426035318524
1755020038,3,70,55,0.7857142857142857,safe,0.0,3.5496021155267954e-05,6.447697523981333e-05
1755020039,3,142,131,0.9225352112676056,safe,0.0,3.603100776672363e-05,0.0008492139750160277
1755020040,3,400,305,0.7625,safe,0.0,3.4051015973091125e-05,0.00018431403441354632
1755020041,3,150,135,0.9,safe,0.0,3.4835946280509233e-05,0.00019354198593646288
1755020042,3,302,251,0.8311258278145696,safe,0.0,3.455101978033781e-05,0.0007235169759951532
1755020043,3,104,102,0.9807692307692307,safe,0.0,3.3215037547051907e-05,0.004301364009734243
1755020044,3,2044,2022,0.9892367906066536,safe,0.0,3.3028016332536936e-05,0.03304050402948633
1755020045,3,52,46,0.8846153846153846,safe,0.0,4.302698653191328e-05,0.00020152900833636522
1755020046,3,244,222,0.9098360655737705,safe,0.0,3.303599078208208e-05,0.00296539202099666
1755020047,3,2210,2105,0.9524886877828054,safe,0.0,4.287197953090072e-05,0.00602531002368778
1755020048,3,2042,2021,0.9897159647404505,safe,0.0,3.71299684047699e-05,0.041655746987089515
1755020049,3,4000,3050,0.7625,safe,0.0,3.762601409107447e-05,0.00020364002557471395
1755020050,3,2210,2105,0.9524886877828054,safe,0.0,3.233004827052355e-05,0.002055665012449026
1755020051,3,212,206,0.9716981132075472,safe,0.0,3.502896288409829e-05,0.0010787159553728998
1755020052,3,440,420,0.9545454545454546,safe,0.0,3.3228949178010225e-05,0.0002825460396707058
1755020053,3,62,51,0.8225806451612904,safe,0.0,3.4402008168399334e-05,0.00017888000002130866
1755020054,3,34,28,0.8235294117647058,safe,0.0,3.6509998608380556e-05,7.431698031723499e-05
1755020055,3,2140,2080,0.9719626168224299,safe,0.0,3.440602449700236e-05,0.0007187529699876904
1755020056,3,610,505,0.8278688524590164,safe,0.0,3.751105396077037e-05,0.00037489202804863453
1755020057,3,40,32,0.8,safe,0.0,3.1378003768622875e-05,6.344198482111096e-05
1755020058,3,502,451,0.898406374501992,safe,0.0,3.9954029489308596e-05,0.0011093789944425225
1755020059,3,430,415,0.9651162790697675,safe,0.0,3.126001683995128e-05,0.0005075589870102704
1755020060,3,2800,2400,0.8571428571428571,safe,0.0,3.62659920938313e-05,9.234203025698662e-05
1755020061,3,224,212,0.9464285714285714,safe,0.0,3.741303225979209e-05,0.0004938950296491385
1755020062,3,2120,2060,0.9716981132075472,safe,0.0,3.5138975363224745e-05,0.00124060595408082
1755020063,3,2300,2200,0.9565217391304348,safe,0.0,4.149595042690635e-05,0.00015566899674013257
1755020064,3,152,151,0.993421052631579,safe,0.0,3.1077011954039335e-05,0.0003652539453469217
1755020065,3,412,406,0.9854368932038835,safe,0.0,3.2610027119517326e-05,0.0029612950165756047
1755020066,3,2110,2055,0.9739336492890995,safe,0.0,0.0010369050432927907,0.002498003013897687
1755020067,3,34,28,0.8235294117647058,safe,0.0,2.837099600583315e-05,6.446399493142962e-05
1755020068,3,206,203,0.9854368932038835,safe,0.0,2.932903589680791e-05,0.001645152980927378
1755020069,3,208,204,0.9807692307692307,safe,0.0,3.396900137886405e-05,0.0008599970024079084
1755020070,3,2110,2055,0.9739336492890995,safe,0.0,3.85869643650949e-05,0.0025372509844601154
1755020071,3,40,30,0.75,safe,0.0,4.0187034755945206e-05,5.250598769634962e-05
1755020072,3,212,206,0.9716981132075472,safe,0.0,3.410503268241882e-05,0.0010795749840326607
1755020073,3,2120,2060,0.9716981132075472,safe,0.0,3.660796210169792e-05,0.001284805010072887
1755020074,3,130,115,0.8846153846153846,safe,0.0,3.562303027138114e-05,0.00011838704813271761
1755020075,3,16,14,0.875,safe,0.0,3.615597961470485e-05,0.0001228720066137612
1755020076,3,260,230,0.8846153846153846,safe,0.0,3.447599010542035e-05,0.00011631497181952
1755020077,3,200,160,0.8,safe,0.0,3.6026001907885075e-05,7.420603651553392e-05
1755020078,3,2104,2052,0.9752851711026616,safe,0.0,9.631796274334192e-05,0.006662567961029708
1755020079,3,2300,2150,0.9347826086956522,safe,0.0,3.523100167512894e-05,0.000261075037997216
1755020080,3,2044,2022,0.9892367906066536,safe,0.0,5.351903382688761e-05,0.015218238986562937
1755020081,3,242,221,0.9132231404958677,safe,0.0,3.431900404393673e-05,0.0009077360155060887
1755020082,3,2044,2022,0.9892367906066536,safe,0.0,3.435305552557111e-05,0.009572942042723298
