seeds,num_tasks,per_jitter,final_e2e_max,max_reaction_time,R,exceed,false_percentage
1955016057,3,0,3317,3317.0,1.0,safe,0.0
1955016058,3,0,444,310.0,0.6981981981981982,safe,0.0
1955016059,3,0,114,108.0,0.9473684210526315,safe,0.0
1955016060,3,0,230,227.0,0.9869565217391304,safe,0.0
1955016061,3,0,150,140.0,0.9333333333333333,safe,0.0
1955016062,3,0,510,488.0,0.9568627450980393,safe,0.0
1955016063,3,0,106,102.0,0.9622641509433962,safe,0.0
1955016064,3,0,430,425.0,0.9883720930232558,safe,0.0
1955016065,3,0,52,32.0,0.6153846153846154,safe,0.0
1955016066,3,0,604,598.0,0.9900662251655629,safe,0.0
1955016057,3,0.02,3337.0,3335.309288218821,0.9994933437874801,safe,0.0
1955016058,3,0.02,448.44000000000005,434.2109062577345,0.9682697936351228,safe,0.0
1955016059,3,0.02,115.14000000000001,113.06219409651135,0.9819540915104337,safe,0.0
1955016060,3,0.02,232.3,227.1359678936078,0.9777699866276702,safe,0.0
1955016061,3,0.02,151.5,140.07111467244977,0.9245618130194704,safe,0.0
1955016062,3,0.02,515.1,491.49844425021365,0.9541806333725755,safe,0.0
1955016063,3,0.02,107.06,105.01152133404335,0.98086606887767,safe,0.0
1955016064,3,0.02,434.3,425.089118743148,0.9787914315983145,safe,0.0
1955016065,3,0.02,52.519999999999996,51.08791668177621,0.9727326100871327,safe,0.0
1955016066,3,0.02,610.04,599.8420590200258,0.9832831601534748,safe,0.0
1955016057,3,0.05,3367.0,3363.483382032624,0.9989555634192527,safe,0.0
1955016058,3,0.05,455.1,432.4683744993207,0.9502710931648444,safe,0.0
1955016059,3,0.05,116.85000000000001,113.18693755252934,0.9686515836759036,safe,0.0
1955016060,3,0.05,235.75,227.406440270237,0.9646084422915673,safe,0.0
1955016061,3,0.05,153.75,140.16853769785666,0.9116652858397182,safe,0.0
1955016062,3,0.05,522.75,496.57889293346125,0.9499357110157078,safe,0.0
1955016063,3,0.05,108.64999999999999,105.94946171657193,0.9751446085280436,safe,0.0
1955016064,3,0.05,440.75,434.9655067410931,0.9868757952151858,safe,0.0
1955016065,3,0.05,53.3,51.23263195048685,0.9612126069509728,safe,0.0
1955016066,3,0.05,619.0999999999999,602.1456604521882,0.9726145379618611,safe,0.0
1955016057,3,0.1,3417.0,3414.326096132747,0.9992174703344299,safe,0.0
1955016058,3,0.1,466.2,451.6801599056122,0.96885491185245,safe,0.0
1955016059,3,0.1,119.69999999999997,118.39903037566182,0.9891314150013522,safe,0.0
1955016060,3,0.1,241.5,237.89884503612393,0.9850883852427492,safe,0.0
1955016061,3,0.1,157.5,150.15477359420947,0.9533636418679966,safe,0.0
1955016062,3,0.1,535.5,506.1531603519652,0.9451973115816343,safe,0.0
1955016063,3,0.1,111.3,108.00551592840634,0.9703999634178467,safe,0.0
1955016064,3,0.1,451.5,441.5372631730779,0.9779341377033841,safe,0.0
1955016065,3,0.1,54.6,52.025842195768234,0.9528542526697479,safe,0.0
1955016066,3,0.1,634.2,607.2412334208348,0.9574916957124483,safe,0.0
1955016057,3,0.2,3517.0,3502.930470154897,0.9959995650141874,safe,0.0
1955016058,3,0.2,488.4,460.9847985371146,0.9438673188720611,safe,0.0
1955016059,3,0.2,125.39999999999999,118.82631183460035,0.9475782442950587,safe,0.0
1955016060,3,0.2,253.0,248.52836211309113,0.9823255419489768,safe,0.0
1955016061,3,0.2,165.0,155.82524277825723,0.9443954107773166,safe,0.0
1955016062,3,0.2,561.0,522.9817614308631,0.93223130379833,safe,0.0
1955016063,3,0.2,116.6,111.65647351391415,0.9576026887985777,safe,0.0
1955016064,3,0.2,473.0,464.7728793790011,0.9826065103150129,safe,0.0
1955016065,3,0.2,57.2,51.81081214963939,0.9057834291894997,safe,0.0
1955016066,3,0.2,664.4000000000001,616.5655980990559,0.9280036094206139,safe,0.0
1955016057,3,0.3,3617.0,3604.8848331699555,0.9966504929969465,safe,0.1
1955016058,3,0.3,510.6,474.0371635499281,0.9283924080492129,safe,0.1
1955016059,3,0.3,131.10000000000002,124.09053168062383,0.9465334224303875,safe,0.1
1955016060,3,0.3,264.5,256.424694429641,0.969469544157433,safe,0.1
1955016061,3,0.3,0,159.3477948758191,,,0.1
1955016062,3,0.3,586.5,544.2319265378646,0.9279316735513463,safe,0.1
1955016063,3,0.3,121.9,116.81873871309068,0.9583161502304404,safe,0.1
1955016064,3,0.3,494.5,479.92353827258194,0.9705228276493062,safe,0.1
1955016065,3,0.3,59.8,56.319486150188,0.941797427260669,safe,0.1
1955016066,3,0.3,694.5999999999999,623.7620965322749,0.8980162633634825,safe,0.1
1955016057,3,0.4,0,4577.712841632485,,,0.3
1955016058,3,0.4,532.8,483.3138152475438,0.9071205241132579,safe,0.3
1955016059,3,0.4,136.8,129.38000671861664,0.9457602830308234,safe,0.3
1955016060,3,0.4,276.0,260.12588868500825,0.9424851039311893,safe,0.3
1955016061,3,0.4,0,163.12538122378464,,,0.3
1955016062,3,0.4,612.0,553.9516371971968,0.9051497339823477,safe,0.3
1955016063,3,0.4,127.2,122.25342854490509,0.961111859629757,safe,0.3
1955016064,3,0.4,516.0,493.2097556228837,0.9558328597342707,safe,0.3
1955016065,3,0.4,62.4,56.25475345292912,0.9015184848225821,safe,0.3
1955016066,3,0.4,0,635.4262426935238,,,0.3
1955016057,3,0.5,0,4653.985255300635,,,0.3
1955016058,3,0.5,555.0,482.8468940261037,0.8699944036506373,safe,0.3
1955016059,3,0.5,142.5,134.39304554254886,0.9431090915266587,safe,0.3
