seeds,num_tasks,final_e2e_max,ic,R,exceed,false_percentage,run_time_our,run_time_G
1755018037,3,152.64691879636683,150.59833218121327,0.9865795744106279,safe,0.139,6.20849896222353e-05,0.001638852001633495
1755018038,3,0,283.7881448427264,,,0.139,7.569097215309739e-05,0.018386240990366787
1755018039,3,146.22642730990822,129.11131164400533,0.8829547026432535,safe,0.139,2.5479006581008434e-05,9.505095658823848e-05
1755018040,3,27.967342105854375,25.52269044667105,0.9125890601283992,safe,0.139,3.847997868433595e-05,0.0003197310143150389
1755018041,3,153.73030933485217,145.90289345181662,0.9490834571471132,safe,0.139,5.210901144891977e-05,0.0015205329982563853
1755018042,3,138.77021868042226,117.35475514326762,0.8456768048591687,safe,0.139,4.696001997217536e-05,0.000876815989613533
1755018043,3,8.939894096337317,6.920966524063733,0.7741665001265797,safe,0.139,3.8833997678011656e-05,0.00011825398541986942
1755018044,3,0,13.689434223318365,,,0.139,2.5824003387242556e-05,4.313996760174632e-05
1755018045,3,223.87631311550555,218.7128043065424,0.976935885993892,safe,0.139,3.8300990127027035e-05,0.008610015967860818
1755018046,3,190.50060900743927,155.9625016341959,0.8186981786924649,safe,0.139,5.320901982486248e-05,8.849997539073229e-05
1755018047,3,77.28478368184595,71.63361513856991,0.9268786393122365,safe,0.139,4.015100421383977e-05,0.0004372099647298455
1755018048,3,0,1331.2420938370417,,,0.139,7.026700768619776e-05,0.00010788999497890472
1755018049,3,38.038316982050546,29.348110046156386,0.7715407088069938,safe,0.139,3.970199031755328e-05,8.167698979377747e-05
1755018050,3,1384.0231632241575,1348.251853910949,0.9741541108099107,safe,0.139,5.334499292075634e-05,0.004640324041247368
1755018051,3,207.20225239228688,202.90831363892596,0.9792765826443267,safe,0.139,4.2999046854674816e-05,0.009597709053196013
1755018052,3,356.0688533985111,323.64690894105206,0.9089447331660527,safe,0.139,4.3092004489153624e-05,0.00017069396562874317
1755018053,3,1686.426444509375,1552.1763065844657,0.9203937187050182,safe,0.139,4.6127999667078257e-05,0.00020361499628052115
1755018054,3,295.1656021495976,293.43887172163903,0.9941499605123926,safe,0.139,5.8511970564723015e-05,0.0005696060252375901
1755018055,3,1366.0042583939048,1172.3354976725175,0.8582224326671605,safe,0.139,6.478698924183846e-05,0.01815569296013564
1755018056,3,252.27093196447285,226.6530967513944,0.898451101704075,safe,0.139,5.4217991419136524e-05,0.00047691300278529525
1755018057,3,108.03784769731215,103.90743379325849,0.9617688246101888,safe,0.139,4.531501326709986e-05,0.0030482459696941078
1755018058,3,29.79219017274204,26.70418910289642,0.8963486386217102,safe,0.139,4.48060454800725e-05,0.0003022570163011551
1755018059,3,1177.9713632631713,1173.5602191509313,0.9962553044583186,safe,0.139,6.419699639081955e-05,0.08126837899908423
1755018060,3,58.778299923804795,52.77829992380465,0.8979215117181335,safe,0.139,4.220200935378671e-05,0.0009492189856246114
1755018061,3,269.0930942405976,263.0930942405965,0.9777028837661791,safe,0.139,5.4396979976445436e-05,0.010752739966847003
1755018062,3,1200.6699393608214,1139.7590687186937,0.9492692632293653,safe,0.139,4.693999653682113e-05,0.0010063359513878822
1755018063,3,324.07245951489864,302.72776932072935,0.9341360564050398,safe,0.139,5.031598266214132e-05,0.00042977597331628203
1755018064,3,1488.7744392992113,1406.8134912717478,0.9449473702234948,safe,0.139,4.3930020183324814e-05,0.002144135010894388
1755018065,3,410.2124880480168,260.2124880480166,0.634335851856265,safe,0.139,5.1033974159508944e-05,6.15559983998537e-05
1755018066,3,254.74925470977195,252.44401474831807,0.9909509452183475,safe,0.139,4.43059834651649e-05,0.011109952989500016
1755018067,3,198.16027463196494,159.6507130070248,0.805664572798648,safe,0.139,3.183598164469004e-05,6.486795609816909e-05
1755018068,3,0,23.718636453643974,,,0.139,0.001944236981216818,0.0005997809930704534
1755018069,3,21.33676069331872,15.763175405397888,0.7387801565555303,safe,0.139,4.485104000195861e-05,8.659600280225277e-05
1755018070,3,94.48828577374914,92.84878275623959,0.9826486108401277,safe,0.139,5.604198668152094e-05,0.00026100396644324064
1755018071,3,52.04577439299582,52.04577439299582,1.0,safe,0.139,3.610097337514162e-05,3.1616014894098043e-05
1755018072,3,1098.9813100806327,1047.9813100806314,0.9535933873195173,safe,0.139,5.764001980423927e-05,0.017975515977013856
1755018073,3,78.85742991635638,67.85742991635638,0.8605077541625737,safe,0.139,5.1359005738049746e-05,0.0006020059809088707
1755018074,3,324.95641085112436,277.5213397198496,0.8540263569288169,safe,0.139,4.884297959506512e-05,0.002794697997160256
1755018075,3,33.280203668245534,27.858431898329687,0.8370871817984379,safe,0.139,3.452500095590949e-05,0.00011816603364422917
1755018076,3,146.88039484509673,137.34994589099358,0.9351142202187421,safe,0.139,3.30620096065104e-05,0.0011543509899638593
1755018077,3,10.742351456889024,9.742351456888986,0.9069105117242519,safe,0.139,4.075601464137435e-05,6.87769497744739e-05
1755018078,3,24.914930731014657,22.91493073101465,0.9197268488685637,safe,0.139,3.352802013978362e-05,0.00014352501602843404
1755018079,3,0,232.2239037097611,,,0.139,3.936700522899628e-05,6.8419030867517e-05
