seeds,num_tasks,final_e2e_max,mrt,R,exceed,false_percentage,adjust,inserted,run_time_our,run_time_G,finalpercent
1755016037,5,179.60814002488308,154.21216613608755,0.8586034358727997,safe,0.0,,False,4.89310004923027e-05,0.0009296550015278,0.0
1755016038,5,1162.7178058642933,1151.6730563585943,0.9905009199566795,safe,0.0,False,False,4.3283002014504746e-05,0.257687811001233,0.0
1755016039,5,1285.332818866622,1248.8869818087792,0.9716448249644944,safe,0.0,False,False,4.989699664292857e-05,0.1335055390009074,0.0
1755016040,5,420.87771817600105,274.07673903197895,0.6512027774237423,safe,0.0,False,False,2.968100307043641e-05,0.0001744219989632,0.0
1755016041,5,483.7893994837396,468.711068238153,0.9688328614440976,safe,0.0,,False,7.022999852779321e-05,0.0003409589990042,0.0
1755016042,5,96.5131790512665,84.66224811723401,0.8772091951531569,safe,0.0,False,False,0.0001046620018314,0.0014366989998961,0.0
1755016043,5,664.2617079620553,363.3079051874316,0.546934891523485,safe,0.0,True,False,0.0005725529990741,0.0020456780002859,0.0
1755016044,5,1295.896095311098,1287.5026517390934,0.99352305821248,safe,0.0,False,False,4.2326002585468814e-05,0.0241903850001108,0.0
1755016045,5,239.00702631968585,202.5128534405921,0.8473092049173455,safe,0.0,False,False,3.2621999707771465e-05,9.46769978327211e-05,0.0
1755016046,5,1212.295221350335,1072.4192850628965,0.8846189163959293,safe,0.0,False,False,3.646199911599979e-05,0.004031673001009,0.0
1755016047,5,1185.1888776616572,1144.5086919527405,0.965676200244827,safe,0.0,False,False,4.215800072415732e-05,0.0452445420014555,0.0
1755016048,5,106.53900522280792,96.01420183123352,0.9012117358373716,safe,0.0,False,False,3.248600114602596e-05,0.0002370760012126,0.0
1755016049,5,277.5316726527129,267.53167265271287,0.9639680764922516,safe,0.0,False,False,0.0001009610023174,0.0012124269997002,0.0
1755016050,5,320.155053106481,289.70295281392725,0.9048832745350248,safe,0.0,False,False,3.7152000004425645e-05,0.0053267879993654,0.0
1755016051,5,1324.484480000604,1254.1638184901667,0.9469071457066788,safe,0.0,False,False,4.048100163345225e-05,0.012386639999022,0.0
1755016052,5,337.75870772677507,261.91128581848324,0.7754390333301266,safe,0.0,False,False,0.0002007679977396,0.0172882170008961,0.0
1755016053,5,305.6057736943684,223.96495077615089,0.7328557574966983,safe,0.0,False,False,6.503700205939822e-05,0.0012156359989603,0.0
1755016054,5,44.43984220097079,37.950848170858414,0.8539825141419917,safe,0.0,,False,0.0001722919987514,0.0005887810002604,0.0
1755016055,5,1242.4734027091672,1191.094753043532,0.9586480889219792,safe,0.0,False,False,0.0007442530004482,0.1865214639983605,0.0
1755016056,5,135.89338871104104,121.70413978197968,0.8955854360271134,safe,0.0,False,False,0.0001244070008397,0.0012097430007997,0.0
1755016057,5,1141.005754766816,1126.1034861942203,0.9869393572202964,safe,0.0,False,False,8.859199806465767e-05,0.0148696649994235,0.0
1755016058,5,1147.6147561005628,1137.721072096518,0.9913789153098188,safe,0.0,False,False,5.124300150782801e-05,0.779674265999347,0.0
1755016059,5,222.15207369245744,213.5323872505087,0.9611991628136604,safe,0.0,True,False,0.0006517750007333,0.0003993489990534,0.0
1755016060,5,116.73603386795496,95.44683756524996,0.817629607608683,safe,0.0,False,False,6.773800123482943e-05,0.0004888740004389,0.0
1755016061,5,1326.0476296904026,1117.7930107888023,0.8429508757915263,safe,0.0,False,False,0.0001200549995701,0.502603568998893,0.0
1755016062,5,95.97613344818312,84.853474780217,0.8841101608456525,safe,0.0,False,False,0.0001057230001606,0.0054105849994812,0.0
1755016063,5,46.03903400390232,31.20909444213361,0.6778833465421601,safe,0.0,False,False,0.0001716719998512,0.0002212830004282,0.0
1755016064,5,488.8549052107693,373.5717653888588,0.7641771851052486,safe,0.0,False,False,8.21899993752595e-05,0.0007158929984143,0.0
1755016065,5,81.14289557958975,62.81429978154924,0.7741195249796978,safe,0.0,False,False,7.520199869759381e-05,0.0049517439983901,0.0
1755016066,5,533.9724952128194,519.8046623703023,0.973467111191054,safe,0.0,,False,7.171299876063131e-05,0.0001659729969105,0.0
1755016067,5,1706.7524846911708,1600.688571638478,0.9378563007793806,safe,0.0,False,False,8.055500074988231e-05,0.000876755999343,0.0
1755016068,5,2386.965888569255,1348.8561111087722,0.5650923281175481,safe,0.0,True,False,0.0055062319988792,0.7846657089976361,0.0
1755016069,5,297.10477079152736,242.5511368753621,0.8163825044921796,safe,0.0,False,False,0.0001267739971808,0.0250944590006838,0.0
1755016070,5,1208.0066525382065,1092.7853587161317,0.9046186595247822,safe,0.0,False,False,0.0001019919982354,0.0449528459976136,0.0
1755016071,5,95.20644145107804,83.29365370718571,0.8748741412626609,safe,0.0,False,False,9.071100066648796e-05,0.0032834059966262,0.0
1755016072,5,192.33351939060296,158.7300355670978,0.8252853484406892,safe,0.0,False,False,9.465200128033756e-05,0.0074933289979526,0.0
1755016073,5,1513.9815877352123,1227.8736825120895,0.8110228634608985,safe,0.0,False,False,8.953500218922272e-05,0.0101526609978463,0.0
1755016074,5,176.68540632258697,127.92311507429471,0.7240163052331355,safe,0.0,False,False,0.0002274279977427,0.0077347639999061,0.0
1755016075,5,141.2163885974332,134.7855845936822,0.954461347810817,safe,0.0,False,False,0.0001572949986439,0.0012246949991094,0.0
1755016076,5,384.3676078806355,277.50696527052565,0.7219832253833024,safe,0.0,False,False,0.0001058359994203,0.0046194950009521,0.0
1755016077,5,188.854447504704,124.83056779767364,0.6609882343097289,safe,0.0,True,False,0.0009102170006372,0.0005347309997887,0.0
