seeds,num_tasks,per_jitter,final_e2e_max,max_reaction_time,R,exceed,false_percentage,adjust,inserted,finalpercent
1755016095,10,0.2,4369.4,4312.47105136246,0.9869709917522907,safe,0.1,False,False,0.22
1755016096,10,0.2,0.0,3001.624702065308,,,0.1,False,False,0.22
1755016097,10,0.2,0.0,3108.799120652073,,,0.5,False,False,0.22
1755016098,10,0.2,0.0,5852.536107935643,,,0.5,False,False,0.22
1755016099,10,0.2,2945.8,2717.290727842421,0.9224287894094716,safe,0.5,False,False,0.22
1755016100,10,0.2,1207.5,1120.0420660094169,0.9275710691589374,safe,0.5,False,False,0.22
1755016101,10,0.2,0.0,1158.1409706640734,,,0.5,False,False,0.22
1755016102,10,0.2,6925.5,6876.612400032656,0.9929409284575348,safe,0.5,True,False,0.22
1755016103,10,0.2,2602.6000000000004,2386.4600854476203,0.9169523113223776,safe,0.5,False,False,0.22
1755016104,10,0.2,3412.8,3269.53894445101,0.9580224286366062,safe,0.5,False,False,0.22
1755016105,10,0.2,0.0,5063.580437338329,,,0.5,False,False,0.22
1755016106,10,0.2,0.0,6300.128810203983,,,0.5,False,False,0.22
1755016107,10,0.2,3795.0,3384.5036558263937,0.8918323203758614,safe,0.2,False,False,0.22
1755016108,10,0.2,4724.099999999999,4630.86961434752,0.9802649423906185,safe,0.2,True,False,0.22
1755016109,10,0.2,850.0,800.6347062006716,0.941923183765496,safe,0.2,False,False,0.22
1755016110,10,0.2,0.0,825.1911919517952,,,0.2,False,False,0.22
1755016111,10,0.2,1328.7000000000005,1259.7816104750827,0.948130962952572,safe,0.2,False,True,0.22
1755016112,10,0.2,5444.2,5245.805380273041,0.96355853573951,safe,0.2,False,False,0.22
1755016113,10,0.2,0.0,4556.853666891649,,,0.2,False,False,0.22
1755016114,10,0.2,3381.8,3115.121054172654,0.9211428985074972,safe,0.2,False,False,0.22
1755016115,10,0.2,2793.9999999999995,2640.2803181087475,0.944982218363904,safe,0.2,False,False,0.22
1755016116,10,0.2,1035.6,898.1070173715079,0.8672335046074817,safe,0.2,False,True,0.22
1755016117,10,0.2,0.0,495.322201391238,,,0.2,False,False,0.22
1755016118,10,0.2,4107.2,3697.227893077512,0.9001820931723586,safe,0.2,False,True,0.22
1755016119,10,0.2,0.0,970.008117406258,,,0.2,False,False,0.22
1755016120,10,0.2,996.7999999999998,954.9443184669836,0.9580099503079692,safe,0.2,False,False,0.22
1755016121,10,0.2,2811.4,2634.1114756982406,0.9369394165534042,safe,0.2,False,False,0.22
1755016122,10,0.2,4216.999999999999,4000.8460735539065,0.9487422512577444,safe,0.2,False,False,0.22
1755016123,10,0.2,3029.4000000000005,2795.887971521559,0.9229180601840492,safe,0.2,False,False,0.22
1755016124,10,0.2,3839.0,3777.648468017404,0.9840188767953644,safe,0.2,,False,0.22
1755016125,10,0.2,4011.9,3740.811150699845,0.932428811959382,safe,0.2,False,True,0.22
1755016126,10,0.2,4881.0,4685.975775721949,0.9600442072775964,safe,0.2,False,False,0.22
1755016127,10,0.2,0.0,1199.5121430228287,,,0.2,False,False,0.22
1755016128,10,0.2,2656.0,2470.173361620962,0.9300351512127116,safe,0.2,False,False,0.22
1755016129,10,0.2,0.0,968.4763010346652,,,0.2,False,False,0.22
1755016130,10,0.2,4801.8,4743.113314248294,0.9877781903136936,safe,0.2,False,False,0.22
1755016131,10,0.2,3940.400000000001,3818.047211420222,0.9689491451173032,safe,0.2,False,False,0.22
1755016132,10,0.2,4284.4,4179.552289287351,0.9755280294294068,safe,0.2,True,False,0.22
1755016133,10,0.2,7858.299999999999,7746.89750017245,0.9858235878208328,safe,0.2,True,False,0.22
1755016134,10,0.2,7312.299999999999,7147.7522136977805,0.9774971231620396,safe,0.2,True,False,0.22
1755016135,10,0.2,373.8,331.61842577174593,0.8871546970886729,safe,0.2,False,True,0.22
1755016136,10,0.2,316.80000000000007,306.1397334638332,0.9663501687620994,safe,0.2,False,True,0.22
