seeds,num_tasks,final_e2e_max,let,R,exceed,false_percentage,run_time_our,run_time_G
1755022037,3,2014,2008,0.997020854021847,safe,0.0,5.8905003243125975e-05,0.02075761200103443
1755022038,3,46,43,0.9347826086956522,safe,0.0,2.2726999304722995e-05,0.00019576699924073182
1755022039,3,640,520,0.8125,safe,0.0,2.2774998797103763e-05,0.00012488699940149672
1755022040,3,2044,2022,0.9892367906066536,safe,0.0,2.336500256205909e-05,0.007210229003248969
1755022041,3,142,131,0.9225352112676056,safe,0.0,2.2386000637197867e-05,0.0006570959994860459
1755022042,3,340,280,0.8235294117647058,safe,0.0,2.7600999601418152e-05,6.995500007178634e-05
1755022043,3,520,460,0.8846153846153846,safe,0.0,2.4629996914882213e-05,0.000178672002220992
1755022044,3,2204,2102,0.9537205081669692,safe,0.0,2.665699867065996e-05,0.0028677910013357177
1755022045,3,2120,2060,0.9716981132075472,safe,0.0,2.3720000172033906e-05,0.0009756120016390923
1755022046,3,2404,2202,0.9159733777038269,safe,0.0,1.7526999727124348e-05,0.0016847539991431404
1755022047,3,160,140,0.875,safe,0.0,1.3490000128513202e-05,5.142999725649133e-05
1755022048,3,222,211,0.9504504504504504,safe,0.0,1.280499782296829e-05,0.0004496930014283862
1755022049,3,504,452,0.8968253968253969,safe,0.0,2.6964000426232815e-05,0.001013531997159589
1755022050,3,510,455,0.8921568627450981,safe,0.0,2.084199877572246e-05,0.0002356060031161178
1755022051,3,2440,2220,0.9098360655737705,safe,0.0,3.0316998163471e-05,0.000356475000444334
1755022052,3,2030,2015,0.9926108374384236,safe,0.0,2.8858001314802095e-05,0.004410127003211528
1755022053,3,450,425,0.9444444444444444,safe,0.0,4.408799941302277e-05,0.00045679600225412287
1755022054,3,406,403,0.9926108374384236,safe,0.0,7.058799747028388e-05,0.004457899998669745
1755022055,3,2006,2003,0.9985044865403788,safe,0.0,5.599699943559244e-05,0.10326560199973756
1755022056,3,2004,2002,0.999001996007984,safe,0.0,1.647099998081103e-05,0.15398465500038583
1755022057,3,112,106,0.9464285714285714,safe,0.0,2.444200072204694e-05,0.0003372630017111078
1755022058,3,26,23,0.8846153846153846,safe,0.0,1.1100997653556988e-05,4.6036999265197664e-05
1755022059,3,19,18,0.9473684210526315,safe,0.0,2.1412000933196396e-05,5.740000051446259e-05
1755022060,3,2008,2004,0.99800796812749,safe,0.0,2.5277000531787053e-05,0.0363570699992124
1755022061,3,412,406,0.9854368932038835,safe,0.0,3.033800021512434e-05,0.0022604719997616485
1755022062,3,320,260,0.8125,safe,0.0,2.185800258303061e-05,6.434100214391947e-05
1755022063,3,130,115,0.8846153846153846,safe,0.0,2.298400067957118e-05,8.491599874105304e-05
1755022064,3,3040,3020,0.993421052631579,safe,0.0,3.12470001517795e-05,0.0003561370031093247
1755022065,3,32,26,0.8125,safe,0.0,2.7675996534526348e-05,9.122499977820553e-05
1755022066,3,48,44,0.9166666666666666,safe,0.0,2.18760033021681e-05,9.598699762136675e-05
1755022067,3,230,215,0.9347826086956522,safe,0.0,2.4442997528240085e-05,0.00016987999697448686
1755022068,3,62,51,0.8225806451612904,safe,0.0,2.985399987665005e-05,0.00015178799731074832
1755022069,3,206,203,0.9854368932038835,safe,0.0,2.678300006664358e-05,0.0021585129979939666
1755022070,3,2204,2102,0.9537205081669692,safe,0.0,2.3701002646703273e-05,0.0019255289989814628
1755022071,3,8,6,0.75,safe,0.0,3.04770001093857e-05,4.54379987786524e-05
1755022072,3,2102,2051,0.9757373929590866,safe,0.0,2.077699900837615e-05,0.004514836997259408
1755022073,3,2240,2120,0.9464285714285714,safe,0.0,3.0588998924940825e-05,0.00042717600081232376
1755022074,3,415,410,0.9879518072289156,safe,0.0,2.3199001589091495e-05,0.0004938999991281889
1755022075,3,2044,2022,0.9892367906066536,safe,0.0,2.5877001462504268e-05,0.00743094399877009
1755022076,3,510,455,0.8921568627450981,safe,0.0,2.7221001801081002e-05,0.0002858519983419683
1755022077,3,2006,2003,0.9985044865403788,safe,0.0,1.641999915591441e-05,0.08180695800183457
1755022078,3,422,411,0.9739336492890995,safe,0.0,2.5401997845619917e-05,0.0018065859985654242
1755022079,3,480,440,0.9166666666666666,safe,0.0,2.8914000722579658e-05,0.00011512800119817257
1755022080,3,34,28,0.8235294117647058,safe,0.0,2.872400000342168e-05,9.966099969460629e-05
1755022081,3,2042,2021,0.9897159647404505,safe,0.0,1.5130000974750146e-05,0.008803494001767831
1755022082,3,14,12,0.8571428571428571,safe,0.0,1.5109999367268756e-05,4.430499757290818e-05
1755022083,3,700,550,0.7857142857142857,safe,0.0,1.9113998860120773e-05,4.789500235347077e-05
1755022084,3,2110,2055,0.9739336492890995,safe,0.0,1.8074999388772994e-05,0.0009574899995641317
1755022085,3,215,210,0.9767441860465116,safe,0.0,2.2568998247152194e-05,0.00019768499987549148
1755022086,3,64,62,0.96875,safe,0.0,2.5733999791555107e-05,6.184299854794517e-05
