num_tasks,per_jitter,final_e2e_max,max_reaction_time,R,false_percentage,ratios
3,0,1156.9470893552188,1137.25061700071,0.9829754769809863,0.0,1.0
3,0,4033.8190967339387,3300.27608777034,0.8181517337856012,0.0,1.0
3,0,5525.949452111276,5003.263824961575,0.9054125211098338,0.0,1.0
3,0,1246.185248819601,875.7516181209505,0.7027459352054369,0.0,1.0
3,0,3318.9457473776283,2809.9019170144506,0.8466248414077319,0.0,1.0
3,0,3224.3833961348114,2557.5298506331196,0.7931841646681738,0.0,1.0
3,0,3388.1802276935027,2853.5523837725264,0.842207967701611,0.0,1.0
3,0,4178.199026069861,3698.838942014846,0.8852711225425,0.0,1.0
3,0,3687.877333914374,3355.2540017071938,0.9098062917797408,0.0,1.0
3,0,5548.7821796414855,4523.37640362485,0.8152016527556524,0.0,1.0
3,0.02,1168.516560248771,1149.591149182804,0.9838038999961303,0.2,1.0
3,0.02,4074.1572877012777,3881.0045752287488,0.9525907570982588,0.2,1.0
3,0.02,5581.208946632389,5466.625857824482,0.9794698442750394,0.2,1.0
3,0.02,1258.6471013077971,1239.5334608971714,0.9848141386169597,0.2,1.0
3,0.02,3352.1352048514045,3294.3107672897136,0.9827499685937476,0.2,1.0
3,0.02,3256.6272300961596,3167.1247291862865,0.9725168112325738,0.2,1.0
3,0.02,0,3387.4086366589895,,0.2,1.0
3,0.02,4219.98101633056,4143.625270506256,0.9819061399734215,0.2,1.0
3,0.02,3724.7561072535177,3664.4012048826767,0.9837962807139756,0.2,1.0
3,0.02,0,5461.848724213827,,0.2,1.0
3,0.05,1185.8707665890993,1152.608077333149,0.9719508312430846,0.5,1.0
3,0.05,4134.664574152288,3876.1085948508417,0.9374662745515561,0.5,1.0
3,0.05,0,5514.06982367603,,0.5,1.0
3,0.05,1277.339880040091,1226.169811394593,0.9599401307004585,0.5,1.0
3,0.05,3401.919391062069,3284.74964086129,0.9655577523357487,0.5,1.0
3,0.05,0,3222.9652042431485,,0.5,1.0
3,0.05,0,3396.420291012803,,0.5,1.0
3,0.05,0,4133.111851898146,,0.5,1.0
