seeds,num_tasks,final_e2e_max,letG2023,R,exceed,false_percentage,adjust,inserted,run_time_G,run_time_our,finalpercent
1755016010,10,7254.0,6130,0.8450510063413289,safe,0.067,False,False,0.059670721000657,7.7310998676694e-05,0.063
1755016011,10,2840.0,2421,0.8524647887323944,safe,0.067,False,False,0.2118553510008496,0.0001091880003514,0.063
1755016012,10,2270.0,2145,0.9449339207048458,safe,0.067,False,False,0.2755104090010718,0.0001616299996385,0.063
1755016013,10,2484.0,2302,0.926731078904992,safe,0.067,False,False,0.341613636999682,0.0001208560006489,0.063
1755016014,10,4250.0,3407,0.8016470588235294,safe,0.067,,False,0.2918740389995946,0.0001113270009227,0.063
1755016015,10,5200.0,4590,0.8826923076923077,safe,0.067,,False,0.0042144099988945,0.0001178639995487,0.063
1755016016,10,4520.0,3346,0.7402654867256637,safe,0.067,False,False,0.1171798140003375,0.0001350570000795,0.063
1755016017,10,3068.0,2534,0.8259452411994785,safe,0.067,False,False,0.4107589430004736,0.0001062800001818,0.063
1755016018,10,3570.0,3295,0.92296918767507,safe,0.067,False,False,0.3141783800001576,0.0001105290011764,0.063
1755016019,10,2260.0,2193,0.970353982300885,safe,0.067,False,False,0.2087099550008133,0.0001051459985319,0.063
1755016020,10,2750.0,2375,0.8636363636363636,safe,0.067,False,False,0.296923304998927,8.671599971421529e-05,0.063
1755016021,10,5536.0,4469,0.8072615606936416,safe,0.067,False,False,0.1699058949998289,0.00010968999959,0.063
1755016022,10,1152.0,794,0.6892361111111112,safe,0.067,,False,0.0150737280000612,7.80040008976357e-05,0.063
1755016023,10,4980.0,3561,0.7150602409638555,safe,0.067,False,False,0.0527534520006156,0.0001092439997592,0.063
1755016024,10,5418.0,4322,0.7977113325950536,safe,0.067,False,False,0.1279844450000382,8.688600064488128e-05,0.063
1755016025,10,296.0,223,0.7533783783783784,safe,0.067,False,False,0.0033196139993378,6.99419997545192e-05,0.063
1755016026,10,3310.0,2665,0.8051359516616314,safe,0.067,False,False,0.0201417419993958,8.508800056006294e-05,0.063
1755016027,10,5330.0,4170,0.7823639774859287,safe,0.067,False,False,0.3543943049990048,0.0001036180001392,0.063
1755016028,10,0.0,2234,,,0.067,False,False,0.1115600969988008,0.0004423020000103,0.063
1755016029,10,4350.0,3305,0.7597701149425288,safe,0.067,False,False,0.0244353300004149,0.0001201900013256,0.063
1755016030,10,2524.0,2262,0.8961965134706814,safe,0.067,False,False,0.3189358710005763,0.0001022280011966,0.063
1755016031,10,5504.0,4294,0.7801598837209303,safe,0.067,False,False,0.3461435980007081,0.0001199359994643,0.063
1755016032,10,4444.0,3340,0.7515751575157515,safe,0.067,,False,0.0967185110002901,0.0001118029995268,0.063
1755016033,10,3220.0,2615,0.812111801242236,safe,0.067,False,False,0.4278865590003988,9.558100100548472e-05,0.063
1755016034,10,4216.0,3124,0.7409867172675522,safe,0.067,False,False,0.3935691269998642,0.0001093410010071,0.063
1755016035,10,4550.0,3538,0.7775824175824175,safe,0.067,False,False,0.0438673619992187,0.0001057169993146,0.063
1755016036,10,2990.0,2505,0.8377926421404682,safe,0.067,False,False,0.2510484129998076,9.881900041364132e-05,0.063
1755016037,10,782.0,591,0.7557544757033248,safe,0.067,False,False,0.0085718969985464,8.099200022115838e-05,0.063
1755016038,10,800.0,671,0.83875,safe,0.067,,False,0.0122428579998086,8.34359998407308e-05,0.063
1755016039,10,2240.0,2145,0.9575892857142856,safe,0.067,False,False,0.5421585380008764,0.0001012180000543,0.063
1755016040,10,3494.0,2747,0.7862049227246709,safe,0.067,False,False,0.2657165380005608,9.94140009424882e-05,0.063
1755016041,10,4350.0,3705,0.8517241379310345,safe,0.067,False,False,0.0134608680000383,8.859000081429258e-05,0.063
1755016042,10,3466.0,2733,0.7885170225043278,safe,0.067,False,False,0.1679851030003192,9.7479000032763e-05,0.063
1755016043,10,4062.0,3132,0.7710487444608567,safe,0.067,False,False,0.73210493499937,9.318199954577722e-05,0.063
1755016044,10,626.0,419,0.6693290734824281,safe,0.067,,True,0.0033624120005697,0.0001235789986822,0.063
1755016045,10,4200.0,3299,0.7854761904761904,safe,0.067,,False,0.1786133020013949,9.01729999895906e-05,0.063
1755016046,10,820.0,641,0.7817073170731708,safe,0.067,False,False,0.0218073130017728,0.0001072449995263,0.063
1755016047,10,3840.0,3440,0.8958333333333334,safe,0.067,False,False,0.006871671999761,9.203000081470236e-05,0.063
1755016048,10,2212.0,2116,0.9566003616636528,safe,0.067,False,False,0.4907961909993901,9.774600039236248e-05,0.063
1755016049,10,2864.0,2433,0.8495111731843575,safe,0.067,False,False,0.3650752670000656,9.259999933419748e-05,0.063
1755016050,10,916.0,759,0.8286026200873362,safe,0.067,False,False,0.0103799300013633,8.442199941782746e-05,0.063
1755016051,10,3282.0,2641,0.8046922608165753,safe,0.067,False,False,0.071549670999957,8.598199929110706e-05,0.063
1755016052,10,4400.0,3420,0.7772727272727272,safe,0.067,False,False,0.0166017539995664,8.519599941791967e-05,0.063
1755016053,10,2896.0,2449,0.8456491712707183,safe,0.067,False,False,0.17250134599999,0.000101990000985,0.063
1755016054,10,4862.0,3433,0.7060880296174414,safe,0.067,False,False,0.2186901519999082,9.802299973671325e-05,0.063
1755016055,10,2674.0,2337,0.8739715781600599,safe,0.067,False,False,0.2801970660002553,9.819499973673372e-05,0.063
1755016056,10,4452.0,3846,0.8638814016172507,safe,0.067,False,False,0.0731684299989865,9.088699880521744e-05,0.063
1755016057,10,4840.0,3491,0.7212809917355372,safe,0.067,False,False,0.0565126180008519,0.000105920000351,0.063
