seeds,num_tasks,per_jitter,final_e2e_max,max_reaction_time,R,exceed,false_percentage,inserted
1754657734,3,0,18.0,16.02175260115217,0.8900973667306761,safe,0.0,False
1754657734,3,0.02,18.180000000000003,16.05931843282997,0.8833508488905372,safe,0.0,False
1754657734,3,0.05,18.449999999999996,17.066709966732844,0.9250249304462248,safe,0.0,False
1754657734,3,0.1,0,17.178445329162287,,,1.0,False
1754657734,3,0.2,0,17.361473041300655,,,1.0,False
1754657734,3,0.3,0,18.317986493355875,,,1.0,False
1754657734,3,0.4,0,18.720466208722883,,,1.0,False
1754657734,3,0.5,0,19.592021911925713,,,1.0,False
1754657734,5,0,2038.0,1267.961677057601,0.6221598022853784,safe,0.0,False
1754657734,5,0.02,2058.38,2032.307347269923,0.9873334113574378,safe,0.0,False
1754657734,5,0.05,2088.95,2040.5831631111275,0.9768463405591937,safe,0.0,False
1754657734,5,0.1,2139.9,2084.4129175854523,0.9740702451448443,safe,0.0,False
1754657734,5,0.2,2241.8,2168.2929813147284,0.9672107151907968,safe,0.0,False
1754657734,5,0.3,2343.7,2196.535763050236,0.9372085860179358,safe,0.0,False
1754657734,5,0.4,0,2310.636962683103,,,1.0,False
1754657734,5,0.5,0,2435.018645463133,,,1.0,False
1754657734,8,0,1035.624769753461,864.553898627821,0.8348138475228197,safe,0.0,False
1754657734,8,0.02,1042.4647697534608,926.4505164745733,0.8887115836957018,safe,0.0,False
1754657734,8,0.05,1052.7247697534608,929.1976734518194,0.8826596468034371,safe,0.0,False
1754657734,8,0.1,1069.824769753461,1033.7646955455202,0.9662934760650095,safe,0.0,False
1754657734,8,0.2,1104.024769753461,1042.44914167345,0.9442262259262884,safe,0.0,False
1754657734,8,0.3,0,1050.4629041492444,,,1.0,False
1754657734,8,0.4,0,1056.6949540489168,,,1.0,False
1754657734,8,0.5,0,1070.1979199979323,,,1.0,False
1754657734,10,0,706.4470597953681,443.3122215634012,0.6275236274489026,safe,0.0,False
1754657734,10,0.02,713.1270597953682,609.1402675495685,0.8541819570335213,safe,0.0,False
1754657734,10,0.05,723.1470597953681,612.8731976034508,0.8475083861599022,safe,0.0,False
1754657734,10,0.1,739.8470597953682,621.869717748139,0.8405382024767928,safe,0.0,False
1754657734,10,0.2,0,648.0596394701224,,,1.0,False
1754657734,10,0.3,0,751.7662874676039,,,1.0,False
1754657734,10,0.4,0,743.9283741528743,,,1.0,False
1754657734,10,0.5,0,787.9290536273868,,,1.0,False
